date,O,O_EPS,PE Ratio
1995-02-27,9.25,0.0,inf
1995-02-28,9.5,0.0,inf
1995-03-01,9.44,0.0,inf
1995-03-02,9.38,0.0,inf
1995-03-03,9.38,0.0,inf
1995-03-06,9.25,0.0,inf
1995-03-07,9.25,0.0,inf
1995-03-08,9.25,0.0,inf
1995-03-09,9.31,0.0,inf
1995-03-10,9.31,0.0,inf
1995-03-13,9.31,0.0,inf
1995-03-14,9.25,0.0,inf
1995-03-15,9.06,0.0,inf
1995-03-16,9.19,0.0,inf
1995-03-17,9.19,0.0,inf
1995-03-20,9.13,0.0,inf
1995-03-21,9.06,0.0,inf
1995-03-22,9.06,0.0,inf
1995-03-23,9.13,0.0,inf
1995-03-24,9.0,0.0,inf
1995-03-27,9.0,0.0,inf
1995-03-28,9.0,0.0,inf
1995-03-29,9.13,0.0,inf
1995-03-30,9.0,0.0,inf
1995-03-31,9.06,0.0,inf
1995-04-03,9.0,0.0,inf
1995-04-04,9.06,0.0,inf
1995-04-05,9.06,0.0,inf
1995-04-06,9.0,0.0,inf
1995-04-07,9.06,0.0,inf
1995-04-10,9.13,0.0,inf
1995-04-11,9.06,0.0,inf
1995-04-12,9.13,0.0,inf
1995-04-13,9.19,0.0,inf
1995-04-17,9.19,0.0,inf
1995-04-18,9.19,0.0,inf
1995-04-19,9.13,0.0,inf
1995-04-20,9.19,0.0,inf
1995-04-21,9.13,0.0,inf
1995-04-24,9.25,0.0,inf
1995-04-25,9.25,0.0,inf
1995-04-26,9.06,0.0,inf
1995-04-27,9.13,0.0,inf
1995-04-28,9.19,0.0,inf
1995-05-01,9.19,0.0,inf
1995-05-02,9.25,0.0,inf
1995-05-03,9.13,0.0,inf
1995-05-04,9.31,0.0,inf
1995-05-05,9.56,0.0,inf
1995-05-08,9.88,0.0,inf
1995-05-09,10.31,0.0,inf
1995-05-10,10.75,0.0,inf
1995-05-11,10.56,0.0,inf
1995-05-12,10.13,0.0,inf
1995-05-15,10.19,0.0,inf
1995-05-16,10.13,0.0,inf
1995-05-17,10.13,0.0,inf
1995-05-18,9.69,0.0,inf
1995-05-19,9.75,0.0,inf
1995-05-22,10.06,0.0,inf
1995-05-23,10.31,0.0,inf
1995-05-24,10.25,0.0,inf
1995-05-25,10.06,0.0,inf
1995-05-26,9.69,0.0,inf
1995-05-30,9.75,0.0,inf
1995-05-31,9.88,0.0,inf
1995-06-01,10.0,0.0,inf
1995-06-02,10.0,0.0,inf
1995-06-05,9.94,0.0,inf
1995-06-06,10.06,0.0,inf
1995-06-07,10.13,0.0,inf
1995-06-08,10.19,0.0,inf
1995-06-09,10.06,0.0,inf
1995-06-12,9.88,0.0,inf
1995-06-13,9.94,0.0,inf
1995-06-14,9.88,0.0,inf
1995-06-15,9.88,0.0,inf
1995-06-16,10.06,0.0,inf
1995-06-19,10.06,0.0,inf
1995-06-20,10.13,0.0,inf
1995-06-21,10.0,0.0,inf
1995-06-22,9.94,0.0,inf
1995-06-23,10.0,0.0,inf
1995-06-26,10.0,0.0,inf
1995-06-27,10.13,0.0,inf
1995-06-28,10.19,0.0,inf
1995-06-29,10.19,0.0,inf
1995-06-30,10.56,0.0,inf
1995-07-03,10.38,0.0,inf
1995-07-05,10.44,0.0,inf
1995-07-06,10.44,0.0,inf
1995-07-07,10.5,0.0,inf
1995-07-10,10.75,0.0,inf
1995-07-11,10.69,0.0,inf
1995-07-12,10.63,0.0,inf
1995-07-13,10.63,0.0,inf
1995-07-14,10.69,0.0,inf
1995-07-17,10.63,0.0,inf
1995-07-18,10.63,0.0,inf
1995-07-19,10.63,0.0,inf
1995-07-20,10.63,0.0,inf
1995-07-21,10.63,0.0,inf
1995-07-24,10.94,0.0,inf
1995-07-25,10.75,0.0,inf
1995-07-26,10.75,0.0,inf
1995-07-27,10.75,0.0,inf
1995-07-28,10.75,0.0,inf
1995-07-31,10.75,0.0,inf
1995-08-01,10.81,0.0,inf
1995-08-02,10.81,0.0,inf
1995-08-03,10.88,0.0,inf
1995-08-04,10.94,0.0,inf
1995-08-07,10.94,0.0,inf
1995-08-08,10.88,0.0,inf
1995-08-09,10.69,0.0,inf
1995-08-10,10.63,0.0,inf
1995-08-11,10.63,0.0,inf
1995-08-14,10.56,0.0,inf
1995-08-15,10.56,0.0,inf
1995-08-16,10.63,0.0,inf
1995-08-17,10.69,0.0,inf
1995-08-18,10.81,0.0,inf
1995-08-21,10.88,0.0,inf
1995-08-22,10.69,0.0,inf
1995-08-23,10.56,0.0,inf
1995-08-24,10.69,0.0,inf
1995-08-25,10.69,0.0,inf
1995-08-28,10.63,0.0,inf
1995-08-29,10.69,0.0,inf
1995-08-30,10.75,0.0,inf
1995-08-31,10.81,0.0,inf
1995-09-01,10.69,0.0,inf
1995-09-05,10.69,0.0,inf
1995-09-06,10.75,0.0,inf
1995-09-07,10.75,0.0,inf
1995-09-08,10.81,0.0,inf
1995-09-11,10.69,0.0,inf
1995-09-12,10.56,0.0,inf
1995-09-13,10.44,0.0,inf
1995-09-14,10.69,0.0,inf
1995-09-15,10.69,0.0,inf
1995-09-18,10.63,0.0,inf
1995-09-19,10.63,0.0,inf
1995-09-20,10.5,0.0,inf
1995-09-21,10.5,0.0,inf
1995-09-22,10.63,0.0,inf
1995-09-25,10.63,0.0,inf
1995-09-26,10.69,0.0,inf
1995-09-27,10.56,0.0,inf
1995-09-28,10.25,0.0,inf
1995-09-29,10.56,0.0,inf
1995-10-02,10.5,0.0,inf
1995-10-03,10.44,0.0,inf
1995-10-04,10.31,0.0,inf
1995-10-05,10.25,0.0,inf
1995-10-06,10.25,0.0,inf
1995-10-09,10.25,0.0,inf
1995-10-10,10.19,0.0,inf
1995-10-11,10.06,0.0,inf
1995-10-12,10.13,0.0,inf
1995-10-13,10.0,0.0,inf
1995-10-16,10.13,0.0,inf
1995-10-17,10.19,0.0,inf
1995-10-18,10.25,0.0,inf
1995-10-19,10.38,0.0,inf
1995-10-20,10.5,0.0,inf
1995-10-23,10.31,0.0,inf
1995-10-24,10.13,0.0,inf
1995-10-25,10.0,0.0,inf
1995-10-26,10.06,0.0,inf
1995-10-27,10.0,0.0,inf
1995-10-30,9.88,0.0,inf
1995-10-31,9.81,0.0,inf
1995-11-01,9.88,0.0,inf
1995-11-02,9.81,0.0,inf
1995-11-03,9.88,0.0,inf
1995-11-06,9.88,0.0,inf
1995-11-07,9.81,0.0,inf
1995-11-08,9.81,0.0,inf
1995-11-09,9.81,0.0,inf
1995-11-10,9.88,0.0,inf
1995-11-13,9.88,0.0,inf
1995-11-14,9.81,0.0,inf
1995-11-15,9.81,0.0,inf
1995-11-16,9.81,0.0,inf
1995-11-17,9.94,0.0,inf
1995-11-20,9.88,0.0,inf
1995-11-21,9.88,0.0,inf
1995-11-22,9.88,0.0,inf
1995-11-24,9.88,0.0,inf
1995-11-27,9.88,0.0,inf
1995-11-28,9.81,0.0,inf
1995-11-29,9.81,0.0,inf
1995-11-30,9.75,0.0,inf
1995-12-01,9.69,0.0,inf
1995-12-04,9.63,0.0,inf
1995-12-05,9.69,0.0,inf
1995-12-06,9.69,0.0,inf
1995-12-07,9.81,0.0,inf
1995-12-08,9.81,0.0,inf
1995-12-11,9.81,0.0,inf
1995-12-12,9.88,0.0,inf
1995-12-13,10.31,0.0,inf
1995-12-14,10.31,0.0,inf
1995-12-15,10.25,0.0,inf
1995-12-18,10.5,0.0,inf
1995-12-19,10.69,0.0,inf
1995-12-20,10.75,0.0,inf
1995-12-21,10.5,0.0,inf
1995-12-22,10.5,0.0,inf
1995-12-26,10.5,0.0,inf
1995-12-27,10.75,0.0,inf
1995-12-28,10.94,0.0,inf
1995-12-29,11.25,0.0,inf
1996-01-02,11.19,0.0,inf
1996-01-03,11.13,0.0,inf
1996-01-04,11.06,0.0,inf
1996-01-05,10.88,0.0,inf
1996-01-08,10.88,0.0,inf
1996-01-09,11.19,0.0,inf
1996-01-10,11.06,0.0,inf
1996-01-11,11.38,0.0,inf
1996-01-12,11.56,0.0,inf
1996-01-15,11.38,0.0,inf
1996-01-16,11.44,0.0,inf
1996-01-17,11.38,0.0,inf
1996-01-18,11.44,0.0,inf
1996-01-19,11.38,0.0,inf
1996-01-22,11.44,0.0,inf
1996-01-23,11.31,0.0,inf
1996-01-24,11.31,0.0,inf
1996-01-25,11.38,0.0,inf
1996-01-26,11.44,0.0,inf
1996-01-29,11.25,0.0,inf
1996-01-30,11.38,0.0,inf
1996-01-31,11.56,0.0,inf
1996-02-01,11.44,0.0,inf
1996-02-02,11.25,0.0,inf
1996-02-05,11.19,0.0,inf
1996-02-06,11.19,0.0,inf
1996-02-07,11.0,0.0,inf
1996-02-08,10.94,0.0,inf
1996-02-09,11.0,0.0,inf
1996-02-12,10.94,0.0,inf
1996-02-13,10.75,0.0,inf
1996-02-14,10.75,0.0,inf
1996-02-15,10.44,0.0,inf
1996-02-16,10.63,0.0,inf
1996-02-20,10.44,0.0,inf
1996-02-21,10.31,0.0,inf
1996-02-22,10.44,0.0,inf
1996-02-23,10.5,0.0,inf
1996-02-26,11.0,0.0,inf
1996-02-27,10.88,0.0,inf
1996-02-28,10.69,0.0,inf
1996-02-29,10.81,0.0,inf
1996-03-01,10.63,0.0,inf
1996-03-04,10.94,0.0,inf
1996-03-05,11.19,0.0,inf
1996-03-06,11.0,0.0,inf
1996-03-07,11.19,0.0,inf
1996-03-08,10.63,0.0,inf
1996-03-11,10.81,0.0,inf
1996-03-12,10.88,0.0,inf
1996-03-13,10.88,0.0,inf
1996-03-14,10.81,0.0,inf
1996-03-15,10.63,0.0,inf
1996-03-18,10.5,0.0,inf
1996-03-19,10.56,0.0,inf
1996-03-20,10.5,0.0,inf
1996-03-21,10.56,0.0,inf
1996-03-22,10.69,0.0,inf
1996-03-25,10.81,0.0,inf
1996-03-26,10.69,0.0,inf
1996-03-27,10.69,0.0,inf
1996-03-28,10.44,0.0,inf
1996-03-29,10.38,0.0,inf
1996-04-01,10.31,0.0,inf
1996-04-02,10.31,0.0,inf
1996-04-03,10.19,0.0,inf
1996-04-04,10.06,0.0,inf
1996-04-08,10.0,0.0,inf
1996-04-09,10.0,0.0,inf
1996-04-10,9.94,0.0,inf
1996-04-11,9.94,0.0,inf
1996-04-12,10.25,0.0,inf
1996-04-15,10.19,0.0,inf
1996-04-16,10.25,0.0,inf
1996-04-17,10.25,0.0,inf
1996-04-18,10.19,0.0,inf
1996-04-19,10.06,0.0,inf
1996-04-22,10.0,0.0,inf
1996-04-23,9.94,0.0,inf
1996-04-24,10.0,0.0,inf
1996-04-25,10.0,0.0,inf
1996-04-26,10.06,0.0,inf
1996-04-29,9.88,0.0,inf
1996-04-30,10.13,0.0,inf
1996-05-01,10.06,0.0,inf
1996-05-02,10.0,0.0,inf
1996-05-03,10.0,0.0,inf
1996-05-06,9.81,0.0,inf
1996-05-07,9.94,0.0,inf
1996-05-08,10.0,0.0,inf
1996-05-09,10.0,0.0,inf
1996-05-10,10.0,0.0,inf
1996-05-13,10.0,0.0,inf
1996-05-14,10.06,0.0,inf
1996-05-15,10.31,0.0,inf
1996-05-16,10.19,0.0,inf
1996-05-17,10.13,0.0,inf
1996-05-20,10.25,0.0,inf
1996-05-21,10.38,0.0,inf
1996-05-22,10.31,0.0,inf
1996-05-23,10.25,0.0,inf
1996-05-24,10.25,0.0,inf
1996-05-28,10.25,0.0,inf
1996-05-29,10.19,0.0,inf
1996-05-30,10.31,0.0,inf
1996-05-31,10.44,0.0,inf
1996-06-03,10.38,0.0,inf
1996-06-04,10.31,0.0,inf
1996-06-05,10.25,0.0,inf
1996-06-06,10.19,0.0,inf
1996-06-07,10.25,0.0,inf
1996-06-10,10.38,0.0,inf
1996-06-11,10.31,0.0,inf
1996-06-12,10.38,0.0,inf
1996-06-13,10.31,0.0,inf
1996-06-14,10.44,0.0,inf
1996-06-17,10.5,0.0,inf
1996-06-18,10.5,0.0,inf
1996-06-19,10.38,0.0,inf
1996-06-20,10.38,0.0,inf
1996-06-21,10.38,0.0,inf
1996-06-24,10.56,0.0,inf
1996-06-25,10.56,0.0,inf
1996-06-26,10.69,0.0,inf
1996-06-27,10.5,0.0,inf
1996-06-28,10.38,0.0,inf
1996-07-01,10.63,0.0,inf
1996-07-02,10.81,0.0,inf
1996-07-03,10.63,0.0,inf
1996-07-05,10.56,0.0,inf
1996-07-08,10.5,0.0,inf
1996-07-09,10.63,0.0,inf
1996-07-10,10.56,0.0,inf
1996-07-11,10.38,0.0,inf
1996-07-12,10.38,0.0,inf
1996-07-15,10.25,0.0,inf
1996-07-16,10.5,0.0,inf
1996-07-17,10.75,0.0,inf
1996-07-18,10.75,0.0,inf
1996-07-19,10.75,0.0,inf
1996-07-22,10.75,0.0,inf
1996-07-23,10.75,0.0,inf
1996-07-24,10.44,0.0,inf
1996-07-25,10.38,0.0,inf
1996-07-26,10.38,0.0,inf
1996-07-29,10.5,0.0,inf
1996-07-30,10.38,0.0,inf
1996-07-31,10.81,0.0,inf
1996-08-01,10.56,0.0,inf
1996-08-02,10.63,0.0,inf
1996-08-05,10.69,0.0,inf
1996-08-06,10.81,0.0,inf
1996-08-07,10.75,0.0,inf
1996-08-08,10.75,0.0,inf
1996-08-09,10.63,0.0,inf
1996-08-12,10.69,0.0,inf
1996-08-13,10.69,0.0,inf
1996-08-14,10.88,0.0,inf
1996-08-15,10.88,0.0,inf
1996-08-16,10.88,0.0,inf
1996-08-19,10.81,0.0,inf
1996-08-20,10.88,0.0,inf
1996-08-21,10.88,0.0,inf
1996-08-22,10.94,0.0,inf
1996-08-23,11.25,0.0,inf
1996-08-26,11.38,0.0,inf
1996-08-27,11.38,0.0,inf
1996-08-28,11.38,0.0,inf
1996-08-29,11.31,0.0,inf
1996-08-30,11.19,0.0,inf
1996-09-03,11.19,0.0,inf
1996-09-04,11.38,0.0,inf
1996-09-05,11.31,0.0,inf
1996-09-06,11.25,0.0,inf
1996-09-09,11.13,0.0,inf
1996-09-10,11.13,0.0,inf
1996-09-11,11.25,0.0,inf
1996-09-12,11.31,0.0,inf
1996-09-13,11.38,0.0,inf
1996-09-16,11.31,0.0,inf
1996-09-17,11.38,0.0,inf
1996-09-18,11.38,0.0,inf
1996-09-19,11.31,0.0,inf
1996-09-20,11.25,0.0,inf
1996-09-23,11.25,0.0,inf
1996-09-24,11.44,0.0,inf
1996-09-25,11.44,0.0,inf
1996-09-26,11.56,0.0,inf
1996-09-27,11.38,0.0,inf
1996-09-30,11.38,0.0,inf
1996-10-01,11.44,0.0,inf
1996-10-02,11.38,0.0,inf
1996-10-03,11.13,0.0,inf
1996-10-04,11.19,0.0,inf
1996-10-07,11.25,0.0,inf
1996-10-08,11.31,0.0,inf
1996-10-09,11.44,0.0,inf
1996-10-10,11.38,0.0,inf
1996-10-11,11.5,0.0,inf
1996-10-14,11.5,0.0,inf
1996-10-15,11.44,0.0,inf
1996-10-16,11.44,0.0,inf
1996-10-17,11.44,0.0,inf
1996-10-18,11.38,0.0,inf
1996-10-21,11.25,0.0,inf
1996-10-22,11.31,0.0,inf
1996-10-23,11.31,0.0,inf
1996-10-24,11.44,0.0,inf
1996-10-25,11.44,0.0,inf
1996-10-28,11.44,0.0,inf
1996-10-29,11.38,0.0,inf
1996-10-30,11.25,0.0,inf
1996-10-31,11.5,0.0,inf
1996-11-01,11.56,0.0,inf
1996-11-04,11.69,0.0,inf
1996-11-05,11.94,0.0,inf
1996-11-06,12.06,0.0,inf
1996-11-07,11.94,0.0,inf
1996-11-08,11.69,0.0,inf
1996-11-11,11.56,0.0,inf
1996-11-12,11.63,0.0,inf
1996-11-13,11.75,0.0,inf
1996-11-14,11.75,0.0,inf
1996-11-15,11.56,0.0,inf
1996-11-18,11.5,0.0,inf
1996-11-19,11.63,0.0,inf
1996-11-20,11.69,0.0,inf
1996-11-21,11.69,0.0,inf
1996-11-22,11.75,0.0,inf
1996-11-25,11.94,0.0,inf
1996-11-26,11.88,0.0,inf
1996-11-27,11.88,0.0,inf
1996-11-29,11.88,0.0,inf
1996-12-02,11.88,0.0,inf
1996-12-03,12.06,0.0,inf
1996-12-04,12.06,0.0,inf
1996-12-05,11.69,0.0,inf
1996-12-06,11.63,0.0,inf
1996-12-09,11.75,0.0,inf
1996-12-10,11.88,0.0,inf
1996-12-11,11.69,0.0,inf
1996-12-12,11.75,0.0,inf
1996-12-13,12.0,0.0,inf
1996-12-16,11.63,0.0,inf
1996-12-17,11.69,0.0,inf
1996-12-18,11.75,0.0,inf
1996-12-19,11.81,0.0,inf
1996-12-20,11.75,0.0,inf
1996-12-23,11.81,0.0,inf
1996-12-24,11.94,0.0,inf
1996-12-26,11.94,0.0,inf
1996-12-27,11.94,0.0,inf
1996-12-30,11.94,0.0,inf
1996-12-31,11.94,0.0,inf
1997-01-02,11.81,0.0,inf
1997-01-03,12.0,0.0,inf
1997-01-06,11.94,0.0,inf
1997-01-07,11.94,0.0,inf
1997-01-08,11.94,0.0,inf
1997-01-09,11.94,0.0,inf
1997-01-10,11.94,0.0,inf
1997-01-13,11.88,0.0,inf
1997-01-14,11.94,0.0,inf
1997-01-15,11.88,0.0,inf
1997-01-16,12.0,0.0,inf
1997-01-17,12.0,0.0,inf
1997-01-20,12.19,0.0,inf
1997-01-21,12.31,0.0,inf
1997-01-22,12.38,0.0,inf
1997-01-23,12.38,0.0,inf
1997-01-24,13.0,0.0,inf
1997-01-27,12.88,0.0,inf
1997-01-28,12.75,0.0,inf
1997-01-29,12.75,0.0,inf
1997-01-30,12.81,0.0,inf
1997-01-31,13.25,0.0,inf
1997-02-03,13.0,0.0,inf
1997-02-04,13.06,0.0,inf
1997-02-05,12.94,0.0,inf
1997-02-06,12.88,0.0,inf
1997-02-07,13.0,0.0,inf
1997-02-10,12.94,0.0,inf
1997-02-11,12.88,0.0,inf
1997-02-12,12.81,0.0,inf
1997-02-13,12.94,0.0,inf
1997-02-14,13.06,0.0,inf
1997-02-18,12.94,0.0,inf
1997-02-19,13.0,0.0,inf
1997-02-20,12.94,0.0,inf
1997-02-21,12.81,0.0,inf
1997-02-24,12.94,0.0,inf
1997-02-25,12.88,0.0,inf
1997-02-26,12.81,0.0,inf
1997-02-27,12.69,0.0,inf
1997-02-28,12.5,0.0,inf
1997-03-03,12.63,0.0,inf
1997-03-04,12.81,0.0,inf
1997-03-05,12.88,0.0,inf
1997-03-06,12.94,0.0,inf
1997-03-07,13.06,0.0,inf
1997-03-10,13.0,0.0,inf
1997-03-11,13.0,0.0,inf
1997-03-12,13.06,0.0,inf
1997-03-13,13.0,0.0,inf
1997-03-14,13.19,0.0,inf
1997-03-17,13.0,0.0,inf
1997-03-18,12.56,0.0,inf
1997-03-19,12.06,0.0,inf
1997-03-20,11.75,0.0,inf
1997-03-21,11.81,0.0,inf
1997-03-24,11.94,0.0,inf
1997-03-25,11.94,0.0,inf
1997-03-26,11.94,0.0,inf
1997-03-27,11.81,0.0,inf
1997-03-31,11.5,0.0,inf
1997-04-01,11.63,0.0,inf
1997-04-02,11.75,0.0,inf
1997-04-03,11.88,0.0,inf
1997-04-04,11.63,0.0,inf
1997-04-07,11.75,0.0,inf
1997-04-08,11.94,0.0,inf
1997-04-09,11.88,0.0,inf
1997-04-10,11.69,0.0,inf
1997-04-11,11.69,0.0,inf
1997-04-14,11.88,0.0,inf
1997-04-15,11.94,0.0,inf
1997-04-16,12.06,0.0,inf
1997-04-17,11.94,0.0,inf
1997-04-18,12.13,0.0,inf
1997-04-21,11.88,0.0,inf
1997-04-22,12.0,0.0,inf
1997-04-23,12.13,0.0,inf
1997-04-24,12.0,0.0,inf
1997-04-25,11.94,0.0,inf
1997-04-28,12.0,0.0,inf
1997-04-29,12.13,0.0,inf
1997-04-30,12.38,0.0,inf
1997-05-01,12.38,0.0,inf
1997-05-02,12.69,0.0,inf
1997-05-05,12.81,0.0,inf
1997-05-06,12.5,0.0,inf
1997-05-07,12.19,0.0,inf
1997-05-08,12.25,0.0,inf
1997-05-09,12.25,0.0,inf
1997-05-12,12.44,0.0,inf
1997-05-13,12.63,0.0,inf
1997-05-14,12.44,0.0,inf
1997-05-15,12.56,0.0,inf
1997-05-16,12.63,0.0,inf
1997-05-19,12.69,0.0,inf
1997-05-20,12.69,0.0,inf
1997-05-21,12.63,0.0,inf
1997-05-22,12.63,0.0,inf
1997-05-23,12.69,0.0,inf
1997-05-27,12.81,0.0,inf
1997-05-28,12.88,0.0,inf
1997-05-29,12.63,0.0,inf
1997-05-30,12.75,0.0,inf
1997-06-02,12.69,0.0,inf
1997-06-03,12.63,0.0,inf
1997-06-04,12.75,0.0,inf
1997-06-05,12.63,0.0,inf
1997-06-06,12.5,0.0,inf
1997-06-09,12.63,0.0,inf
1997-06-10,12.69,0.0,inf
1997-06-11,12.69,0.0,inf
1997-06-12,12.69,0.0,inf
1997-06-13,13.0,0.0,inf
1997-06-16,13.06,0.0,inf
1997-06-17,13.06,0.0,inf
1997-06-18,12.94,0.0,inf
1997-06-19,13.19,0.0,inf
1997-06-20,13.13,0.0,inf
1997-06-23,13.0,0.0,inf
1997-06-24,12.91,0.0,inf
1997-06-25,13.0,0.0,inf
1997-06-26,12.91,0.0,inf
1997-06-27,13.13,0.0,inf
1997-06-30,13.13,0.0,inf
1997-07-01,13.19,0.0,inf
1997-07-02,13.25,0.0,inf
1997-07-03,13.19,0.0,inf
1997-07-07,13.0,0.0,inf
1997-07-08,13.19,0.0,inf
1997-07-09,13.0,0.0,inf
1997-07-10,13.06,0.0,inf
1997-07-11,13.03,0.0,inf
1997-07-14,12.97,0.0,inf
1997-07-15,13.0,0.0,inf
1997-07-16,13.25,0.0,inf
1997-07-17,13.09,0.0,inf
1997-07-18,13.0,0.0,inf
1997-07-21,13.0,0.0,inf
1997-07-22,13.0,0.0,inf
1997-07-23,13.0,0.0,inf
1997-07-24,12.81,0.0,inf
1997-07-25,12.84,0.0,inf
1997-07-28,12.88,0.0,inf
1997-07-29,12.88,0.0,inf
1997-07-30,12.84,0.0,inf
1997-07-31,12.88,0.0,inf
1997-08-01,12.88,0.0,inf
1997-08-04,12.91,0.0,inf
1997-08-05,12.91,0.0,inf
1997-08-06,13.22,0.0,inf
1997-08-07,13.34,0.0,inf
1997-08-08,13.06,0.0,inf
1997-08-11,13.19,0.0,inf
1997-08-12,13.22,0.0,inf
1997-08-13,13.22,0.0,inf
1997-08-14,13.25,0.0,inf
1997-08-15,13.06,0.0,inf
1997-08-18,13.34,0.0,inf
1997-08-19,13.38,0.0,inf
1997-08-20,13.5,0.0,inf
1997-08-21,13.81,0.0,inf
1997-08-22,13.63,0.0,inf
1997-08-25,13.69,0.0,inf
1997-08-26,13.59,0.0,inf
1997-08-27,13.56,0.0,inf
1997-08-28,13.69,0.0,inf
1997-08-29,13.81,0.0,inf
1997-09-02,13.63,0.0,inf
1997-09-03,13.78,0.0,inf
1997-09-04,13.56,0.0,inf
1997-09-05,13.63,0.0,inf
1997-09-08,13.69,0.0,inf
1997-09-09,13.5,0.0,inf
1997-09-10,13.22,0.0,inf
1997-09-11,13.28,0.0,inf
1997-09-12,13.41,0.0,inf
1997-09-15,13.25,0.0,inf
1997-09-16,13.19,0.0,inf
1997-09-17,13.13,0.0,inf
1997-09-18,13.19,0.0,inf
1997-09-19,13.22,0.0,inf
1997-09-22,13.44,0.0,inf
1997-09-23,13.41,0.0,inf
1997-09-24,13.66,0.0,inf
1997-09-25,13.53,0.0,inf
1997-09-26,13.5,0.0,inf
1997-09-29,13.31,0.0,inf
1997-09-30,13.47,0.0,inf
1997-10-01,13.47,0.0,inf
1997-10-02,13.56,0.0,inf
1997-10-03,13.5,0.0,inf
1997-10-06,13.5,0.0,inf
1997-10-07,13.47,0.0,inf
1997-10-08,13.53,0.0,inf
1997-10-09,13.47,0.0,inf
1997-10-10,13.38,0.0,inf
1997-10-13,13.34,0.0,inf
1997-10-14,13.34,0.0,inf
1997-10-15,13.38,0.0,inf
1997-10-16,13.25,0.0,inf
1997-10-17,13.34,0.0,inf
1997-10-20,13.28,0.0,inf
1997-10-21,13.19,0.0,inf
1997-10-22,12.88,0.0,inf
1997-10-23,12.66,0.0,inf
1997-10-24,12.97,0.0,inf
1997-10-27,12.31,0.0,inf
1997-10-28,12.84,0.0,inf
1997-10-29,12.81,0.0,inf
1997-10-30,12.84,0.0,inf
1997-10-31,13.06,0.0,inf
1997-11-03,13.13,0.0,inf
1997-11-04,13.19,0.0,inf
1997-11-05,13.22,0.0,inf
1997-11-06,12.94,0.0,inf
1997-11-07,12.75,0.0,inf
