date,PAYC,PAYC_EPS,PE Ratio
2015-03-31,32.06,0.05,641.2
2015-04-01,31.66,0.05,633.1999999999999
2015-04-02,31.5,0.05,630.0
2015-04-06,31.97,0.05,639.4
2015-04-07,32.36,0.05,647.1999999999999
2015-04-08,32.28,0.05,645.6
2015-04-09,31.97,0.05,639.4
2015-04-10,31.77,0.05,635.4
2015-04-13,31.47,0.05,629.4
2015-04-14,30.49,0.05,609.8
2015-04-15,31.1,0.05,622.0
2015-04-16,30.82,0.05,616.4
2015-04-17,30.11,0.05,602.1999999999999
2015-04-20,32.2,0.05,644.0
2015-04-21,33.11,0.05,662.1999999999999
2015-04-22,32.95,0.05,659.0
2015-04-23,33.05,0.05,660.9999999999999
2015-04-24,32.91,0.05,658.1999999999999
2015-04-27,32.21,0.05,644.1999999999999
2015-04-28,32.91,0.05,658.1999999999999
2015-04-29,32.38,0.05,647.6
2015-04-30,31.61,0.05,632.1999999999999
2015-05-01,31.93,0.05,638.5999999999999
2015-05-04,32.96,0.05,659.1999999999999
2015-05-05,31.33,0.05,626.5999999999999
2015-05-06,33.05,0.05,660.9999999999999
2015-05-07,35.33,0.05,706.5999999999999
2015-05-08,35.7,0.05,714.0
2015-05-11,38.29,0.05,765.8
2015-05-12,38.95,0.05,779.0
2015-05-13,38.15,0.11,346.8181818181818
2015-05-14,39.24,0.11,356.72727272727275
2015-05-15,35.29,0.11,320.8181818181818
2015-05-18,35.35,0.11,321.3636363636364
2015-05-19,35.67,0.11,324.2727272727273
2015-05-20,35.8,0.11,325.45454545454544
2015-05-21,36.21,0.11,329.1818181818182
2015-05-22,35.67,0.11,324.2727272727273
2015-05-26,35.17,0.11,319.72727272727275
2015-05-27,35.19,0.11,319.9090909090909
2015-05-28,34.71,0.11,315.54545454545456
2015-05-29,34.76,0.11,316.0
2015-06-01,34.75,0.11,315.90909090909093
2015-06-02,35.38,0.11,321.6363636363637
2015-06-03,35.33,0.11,321.1818181818182
2015-06-04,35.23,0.11,320.27272727272725
2015-06-05,35.4,0.11,321.8181818181818
2015-06-08,36.3,0.11,330.0
2015-06-09,36.06,0.11,327.8181818181818
2015-06-10,36.03,0.11,327.54545454545456
2015-06-11,35.76,0.11,325.09090909090907
2015-06-12,35.92,0.11,326.54545454545456
2015-06-15,36.49,0.11,331.72727272727275
2015-06-16,38.24,0.11,347.6363636363636
2015-06-17,38.15,0.11,346.8181818181818
2015-06-18,38.36,0.11,348.72727272727275
2015-06-19,37.71,0.11,342.8181818181818
2015-06-22,38.35,0.11,348.6363636363636
2015-06-23,38.09,0.11,346.2727272727273
2015-06-24,36.75,0.11,334.09090909090907
2015-06-25,37.37,0.11,339.7272727272727
2015-06-26,35.75,0.11,325.0
2015-06-29,34.38,0.11,312.54545454545456
2015-06-30,34.15,0.11,310.45454545454544
2015-07-01,34.48,0.11,313.45454545454544
2015-07-02,34.03,0.11,309.3636363636364
2015-07-06,34.47,0.11,313.3636363636364
2015-07-07,33.52,0.11,304.72727272727275
2015-07-08,33.33,0.11,303.0
2015-07-09,34.2,0.11,310.90909090909093
2015-07-10,34.46,0.11,313.27272727272725
2015-07-13,34.56,0.11,314.1818181818182
2015-07-14,35.1,0.11,319.0909090909091
2015-07-15,34.82,0.11,316.54545454545456
2015-07-16,35.12,0.11,319.27272727272725
2015-07-17,35.07,0.11,318.8181818181818
2015-07-20,35.73,0.11,324.8181818181818
2015-07-21,35.56,0.11,323.2727272727273
2015-07-22,35.72,0.11,324.7272727272727
2015-07-23,35.95,0.11,326.81818181818187
2015-07-24,33.75,0.11,306.8181818181818
2015-07-27,31.6,0.11,287.2727272727273
2015-07-28,31.27,0.11,284.27272727272725
2015-07-29,31.96,0.11,290.54545454545456
2015-07-30,32.22,0.11,292.9090909090909
2015-07-31,32.0,0.11,290.90909090909093
2015-08-03,31.44,0.11,285.8181818181818
2015-08-04,32.05,0.11,291.3636363636363
2015-08-05,37.85,0.11,344.0909090909091
2015-08-06,36.96,0.11,336.0
2015-08-07,37.41,0.1,374.09999999999997
2015-08-10,37.75,0.1,377.5
2015-08-11,38.01,0.1,380.09999999999997
2015-08-12,37.54,0.1,375.4
2015-08-13,37.88,0.1,378.8
2015-08-14,38.35,0.1,383.5
2015-08-17,40.91,0.1,409.09999999999997
2015-08-18,40.0,0.1,400.0
2015-08-19,40.07,0.1,400.7
2015-08-20,38.41,0.1,384.09999999999997
2015-08-21,37.93,0.1,379.29999999999995
2015-08-24,37.46,0.1,374.59999999999997
2015-08-25,36.92,0.1,369.2
2015-08-26,38.2,0.1,382.0
2015-08-27,38.43,0.1,384.29999999999995
2015-08-28,38.31,0.1,383.1
2015-08-31,38.54,0.1,385.4
2015-09-01,37.25,0.1,372.5
2015-09-02,38.03,0.1,380.3
2015-09-03,37.59,0.1,375.90000000000003
2015-09-04,36.75,0.1,367.5
2015-09-08,37.99,0.1,379.9
2015-09-09,37.86,0.1,378.59999999999997
2015-09-10,37.75,0.1,377.5
2015-09-11,38.41,0.1,384.09999999999997
2015-09-14,38.76,0.1,387.59999999999997
2015-09-15,40.6,0.1,406.0
2015-09-16,38.0,0.1,380.0
2015-09-17,37.94,0.1,379.4
2015-09-18,37.83,0.1,378.29999999999995
2015-09-21,38.03,0.1,380.3
2015-09-22,37.75,0.1,377.5
2015-09-23,38.05,0.1,380.49999999999994
2015-09-24,36.03,0.1,360.3
2015-09-25,34.31,0.1,343.1
2015-09-28,34.02,0.1,340.2
2015-09-29,34.55,0.1,345.49999999999994
2015-09-30,35.91,0.1,359.09999999999997
2015-10-01,35.98,0.1,359.79999999999995
2015-10-02,37.05,0.1,370.49999999999994
2015-10-05,38.34,0.1,383.40000000000003
2015-10-06,38.17,0.1,381.7
2015-10-07,39.4,0.1,393.99999999999994
2015-10-08,39.36,0.1,393.59999999999997
2015-10-09,40.33,0.1,403.29999999999995
2015-10-12,40.5,0.1,405.0
2015-10-13,39.38,0.1,393.8
2015-10-14,39.75,0.1,397.5
2015-10-15,40.39,0.1,403.9
2015-10-16,41.86,0.1,418.59999999999997
2015-10-19,40.84,0.1,408.40000000000003
2015-10-20,38.57,0.1,385.7
2015-10-21,38.29,0.1,382.9
2015-10-22,38.63,0.1,386.3
2015-10-23,37.68,0.1,376.79999999999995
2015-10-26,37.42,0.1,374.2
2015-10-27,36.16,0.1,361.59999999999997
2015-10-28,38.96,0.1,389.59999999999997
2015-10-29,38.89,0.1,388.9
2015-10-30,38.01,0.1,380.09999999999997
2015-11-02,38.98,0.1,389.79999999999995
2015-11-03,39.15,0.1,391.49999999999994
2015-11-04,45.73,0.1,457.29999999999995
2015-11-05,44.3,0.1,442.99999999999994
2015-11-06,44.88,0.07,641.1428571428571
2015-11-09,43.46,0.07,620.8571428571428
2015-11-10,43.12,0.07,615.9999999999999
2015-11-11,43.53,0.07,621.8571428571428
2015-11-12,44.35,0.07,633.5714285714286
2015-11-13,41.04,0.07,586.2857142857142
2015-11-16,41.22,0.07,588.8571428571428
2015-11-17,41.58,0.07,593.9999999999999
2015-11-18,42.0,0.07,599.9999999999999
2015-11-19,42.63,0.07,609.0
2015-11-20,42.19,0.07,602.7142857142857
2015-11-23,41.73,0.07,596.142857142857
2015-11-24,42.76,0.07,610.8571428571428
2015-11-25,43.22,0.07,617.4285714285713
2015-11-27,43.68,0.07,623.9999999999999
2015-11-30,43.6,0.07,622.8571428571428
2015-12-01,44.14,0.07,630.5714285714286
2015-12-02,41.42,0.07,591.7142857142857
2015-12-03,40.11,0.07,572.9999999999999
2015-12-04,40.16,0.07,573.7142857142857
2015-12-07,39.48,0.07,563.9999999999999
2015-12-08,39.0,0.07,557.1428571428571
2015-12-09,37.87,0.07,540.9999999999999
2015-12-10,38.68,0.07,552.5714285714286
2015-12-11,37.72,0.07,538.8571428571428
2015-12-14,37.46,0.07,535.1428571428571
2015-12-15,38.66,0.07,552.2857142857142
2015-12-16,38.65,0.07,552.1428571428571
2015-12-17,37.91,0.07,541.5714285714284
2015-12-18,37.77,0.07,539.5714285714286
2015-12-21,38.53,0.07,550.4285714285714
2015-12-22,38.5,0.07,550.0
2015-12-23,39.25,0.07,560.7142857142857
2015-12-24,38.5,0.07,550.0
2015-12-28,38.5,0.07,550.0
2015-12-29,38.72,0.07,553.1428571428571
2015-12-30,38.32,0.07,547.4285714285713
2015-12-31,37.63,0.07,537.5714285714286
2016-01-04,35.97,0.07,513.8571428571428
2016-01-05,34.87,0.07,498.14285714285705
2016-01-06,34.99,0.07,499.85714285714283
2016-01-07,35.54,0.07,507.71428571428567
2016-01-08,33.26,0.07,475.14285714285705
2016-01-11,32.96,0.07,470.85714285714283
2016-01-12,33.23,0.07,474.7142857142856
2016-01-13,30.9,0.07,441.4285714285714
2016-01-14,31.81,0.07,454.4285714285714
2016-01-15,32.02,0.07,457.42857142857144
2016-01-19,31.04,0.07,443.4285714285714
2016-01-20,30.82,0.07,440.2857142857142
2016-01-21,31.42,0.07,448.85714285714283
2016-01-22,32.3,0.07,461.42857142857133
2016-01-25,31.24,0.07,446.2857142857142
2016-01-26,30.5,0.07,435.71428571428567
2016-01-27,28.78,0.07,411.1428571428571
2016-01-28,29.22,0.07,417.4285714285714
2016-01-29,30.15,0.07,430.71428571428567
2016-02-01,31.34,0.07,447.71428571428567
2016-02-02,30.9,0.07,441.4285714285714
2016-02-03,30.27,0.07,432.4285714285714
2016-02-04,30.97,0.07,442.4285714285714
2016-02-05,26.51,0.07,378.7142857142857
2016-02-08,24.24,0.07,346.2857142857142
2016-02-09,22.5,0.07,321.4285714285714
2016-02-10,23.58,0.07,336.8571428571428
2016-02-11,24.36,0.07,347.99999999999994
2016-02-12,24.33,0.07,347.5714285714285
2016-02-16,26.04,0.07,371.99999999999994
2016-02-17,27.26,0.07,389.4285714285714
2016-02-18,27.81,0.07,397.2857142857142
2016-02-19,27.95,0.07,399.2857142857142
2016-02-22,29.27,0.09,325.22222222222223
2016-02-23,29.31,0.09,325.6666666666667
2016-02-24,30.21,0.09,335.6666666666667
2016-02-25,30.26,0.09,336.22222222222223
2016-02-26,31.84,0.09,353.77777777777777
2016-02-29,31.88,0.09,354.22222222222223
2016-03-01,33.14,0.09,368.22222222222223
2016-03-02,33.26,0.09,369.55555555555554
2016-03-03,32.63,0.09,362.5555555555556
2016-03-04,32.71,0.09,363.44444444444446
2016-03-07,33.06,0.09,367.33333333333337
2016-03-08,31.88,0.09,354.22222222222223
2016-03-09,32.31,0.09,359.00000000000006
2016-03-10,31.58,0.09,350.88888888888886
2016-03-11,32.05,0.09,356.1111111111111
2016-03-14,32.74,0.09,363.7777777777778
2016-03-15,31.63,0.09,351.44444444444446
2016-03-16,32.38,0.09,359.7777777777778
2016-03-17,33.47,0.09,371.8888888888889
2016-03-18,33.9,0.09,376.6666666666667
2016-03-21,34.05,0.09,378.3333333333333
2016-03-22,33.94,0.09,377.1111111111111
2016-03-23,33.59,0.09,373.2222222222223
2016-03-24,33.7,0.09,374.4444444444445
2016-03-28,34.08,0.09,378.6666666666667
2016-03-29,35.02,0.09,389.11111111111114
2016-03-30,35.24,0.09,391.5555555555556
2016-03-31,35.6,0.09,395.5555555555556
2016-04-01,35.43,0.09,393.6666666666667
2016-04-04,35.8,0.09,397.77777777777777
2016-04-05,34.43,0.09,382.55555555555554
2016-04-06,35.52,0.09,394.66666666666674
2016-04-07,34.15,0.09,379.44444444444446
2016-04-08,34.3,0.09,381.1111111111111
2016-04-11,33.14,0.09,368.22222222222223
2016-04-12,33.56,0.09,372.8888888888889
2016-04-13,34.82,0.09,386.8888888888889
2016-04-14,35.05,0.09,389.4444444444444
2016-04-15,34.7,0.09,385.5555555555556
2016-04-18,35.53,0.09,394.7777777777778
2016-04-19,36.66,0.09,407.3333333333333
2016-04-20,36.86,0.09,409.55555555555554
2016-04-21,37.47,0.09,416.3333333333333
2016-04-22,37.41,0.09,415.66666666666663
2016-04-25,36.59,0.09,406.5555555555556
2016-04-26,37.11,0.09,412.3333333333333
2016-04-27,37.95,0.09,421.6666666666667
2016-04-28,38.26,0.09,425.1111111111111
2016-04-29,38.21,0.09,424.5555555555556
2016-05-02,38.95,0.09,432.7777777777778
2016-05-03,38.28,0.09,425.33333333333337
2016-05-04,40.05,0.09,445.0
2016-05-05,38.69,0.32,120.90624999999999
2016-05-06,37.46,0.32,117.0625
2016-05-09,38.54,0.32,120.4375
2016-05-10,39.65,0.32,123.90625
2016-05-11,39.57,0.32,123.65625
2016-05-12,38.84,0.32,121.37500000000001
2016-05-13,39.28,0.32,122.75
2016-05-16,39.96,0.32,124.875
2016-05-17,39.4,0.32,123.125
2016-05-18,40.74,0.32,127.3125
2016-05-19,40.11,0.32,125.34375
2016-05-20,40.88,0.32,127.75
2016-05-23,40.79,0.32,127.46875
2016-05-24,41.65,0.32,130.15625
2016-05-25,39.81,0.32,124.40625
2016-05-26,41.25,0.32,128.90625
2016-05-27,40.84,0.32,127.62500000000001
2016-05-31,40.44,0.32,126.37499999999999
2016-06-01,41.07,0.32,128.34375
2016-06-02,41.1,0.32,128.4375
2016-06-03,40.95,0.32,127.96875
2016-06-06,40.8,0.32,127.49999999999999
2016-06-07,41.32,0.32,129.125
2016-06-08,41.61,0.32,130.03125
2016-06-09,41.41,0.32,129.40625
2016-06-10,41.07,0.32,128.34375
2016-06-13,41.18,0.32,128.6875
2016-06-14,41.4,0.32,129.375
2016-06-15,42.11,0.32,131.59375
2016-06-16,41.98,0.32,131.1875
2016-06-17,41.86,0.32,130.8125
2016-06-20,42.43,0.32,132.59375
2016-06-21,42.6,0.32,133.125
2016-06-22,41.75,0.32,130.46875
2016-06-23,43.16,0.32,134.875
2016-06-24,40.87,0.32,127.71874999999999
2016-06-27,39.32,0.32,122.875
2016-06-28,40.39,0.32,126.21875
2016-06-29,41.65,0.32,130.15625
2016-06-30,43.21,0.32,135.03125
2016-07-01,43.58,0.32,136.1875
2016-07-05,43.4,0.32,135.625
2016-07-06,44.04,0.32,137.625
2016-07-07,44.85,0.32,140.15625
2016-07-08,45.48,0.32,142.125
2016-07-11,46.05,0.32,143.90625
2016-07-12,46.49,0.32,145.28125
2016-07-13,45.65,0.32,142.65625
2016-07-14,46.25,0.32,144.53125
2016-07-15,46.2,0.32,144.375
2016-07-18,46.71,0.32,145.96875
2016-07-19,46.29,0.32,144.65625
2016-07-20,47.39,0.32,148.09375
2016-07-21,45.33,0.32,141.65625
2016-07-22,46.81,0.32,146.28125
2016-07-25,47.05,0.32,147.03125
2016-07-26,47.3,0.32,147.8125
2016-07-27,47.28,0.32,147.75
2016-07-28,47.68,0.32,149.0
2016-07-29,47.21,0.32,147.53125
2016-08-01,47.82,0.32,149.4375
2016-08-02,47.34,0.32,147.9375
2016-08-03,50.99,0.18,283.27777777777777
2016-08-04,51.29,0.18,284.94444444444446
2016-08-05,51.5,0.18,286.11111111111114
2016-08-08,50.74,0.18,281.8888888888889
2016-08-09,50.41,0.18,280.05555555555554
2016-08-10,50.11,0.18,278.3888888888889
2016-08-11,50.38,0.18,279.8888888888889
2016-08-12,50.78,0.18,282.11111111111114
2016-08-15,51.22,0.18,284.55555555555554
2016-08-16,50.71,0.18,281.72222222222223
2016-08-17,49.39,0.18,274.3888888888889
2016-08-18,49.43,0.18,274.61111111111114
2016-08-19,48.98,0.18,272.1111111111111
2016-08-22,49.15,0.18,273.05555555555554
2016-08-23,49.97,0.18,277.61111111111114
2016-08-24,50.47,0.18,280.3888888888889
2016-08-25,51.11,0.18,283.94444444444446
2016-08-26,51.28,0.18,284.8888888888889
2016-08-29,51.18,0.18,284.3333333333333
2016-08-30,51.46,0.18,285.8888888888889
2016-08-31,51.34,0.18,285.22222222222223
2016-09-01,51.35,0.18,285.27777777777777
2016-09-02,52.1,0.18,289.44444444444446
2016-09-06,52.0,0.18,288.8888888888889
2016-09-07,52.42,0.18,291.22222222222223
2016-09-08,52.03,0.18,289.0555555555556
2016-09-09,49.5,0.18,275.0
2016-09-12,50.07,0.18,278.1666666666667
2016-09-13,48.13,0.18,267.3888888888889
2016-09-14,48.07,0.18,267.05555555555554
2016-09-15,48.84,0.18,271.33333333333337
2016-09-16,48.56,0.18,269.7777777777778
2016-09-19,47.16,0.18,262.0
2016-09-20,46.52,0.18,258.44444444444446
2016-09-21,47.92,0.18,266.22222222222223
2016-09-22,50.24,0.18,279.11111111111114
2016-09-23,49.99,0.18,277.72222222222223
2016-09-26,50.43,0.18,280.1666666666667
2016-09-27,51.08,0.18,283.77777777777777
2016-09-28,50.47,0.18,280.3888888888889
2016-09-29,49.99,0.18,277.72222222222223
2016-09-30,50.13,0.18,278.5
2016-10-03,49.91,0.18,277.27777777777777
2016-10-04,49.34,0.18,274.11111111111114
2016-10-05,48.83,0.18,271.27777777777777
2016-10-06,49.91,0.18,277.27777777777777
2016-10-07,49.64,0.18,275.77777777777777
2016-10-10,50.51,0.18,280.6111111111111
2016-10-11,49.33,0.18,274.05555555555554
2016-10-12,49.65,0.18,275.8333333333333
2016-10-13,49.93,0.18,277.3888888888889
2016-10-14,49.7,0.18,276.11111111111114
2016-10-17,49.82,0.18,276.77777777777777
2016-10-18,50.01,0.18,277.8333333333333
2016-10-19,49.14,0.18,273.0
2016-10-20,48.75,0.18,270.83333333333337
2016-10-21,49.97,0.18,277.61111111111114
2016-10-24,52.44,0.18,291.3333333333333
2016-10-25,51.96,0.18,288.6666666666667
2016-10-26,51.73,0.18,287.38888888888886
2016-10-27,50.65,0.18,281.3888888888889
2016-10-28,51.64,0.18,286.8888888888889
2016-10-31,51.73,0.18,287.38888888888886
2016-11-01,52.0,0.18,288.8888888888889
2016-11-02,43.7,0.18,242.7777777777778
2016-11-03,43.13,0.11,392.0909090909091
2016-11-04,42.98,0.11,390.7272727272727
2016-11-07,44.61,0.11,405.54545454545456
2016-11-08,45.68,0.11,415.27272727272725
