date,UNP,UNP_EPS,PE Ratio
1980-05-23,3.53,,
1980-05-27,3.67,,
1980-05-28,3.69,,
1980-05-29,3.52,,
1980-05-30,3.59,,
1980-06-02,3.57,,
1980-06-03,3.51,,
1980-06-04,3.66,,
1980-06-05,3.7,,
1980-06-06,3.66,,
1980-06-09,3.65,,
1980-06-10,3.69,,
1980-06-11,3.74,,
1980-06-12,3.76,,
1980-06-13,3.69,,
1980-06-16,3.7,,
1980-06-17,3.61,,
1980-06-18,3.66,,
1980-06-19,3.57,,
1980-06-20,3.41,,
1980-06-23,3.34,,
1980-06-24,3.45,,
1980-06-25,3.47,,
1980-06-26,3.64,,
1980-06-27,3.61,,
1980-06-30,3.59,,
1980-07-01,3.55,,
1980-07-02,3.55,,
1980-07-03,3.7,,
1980-07-07,3.79,,
1980-07-08,3.74,,
1980-07-09,3.75,,
1980-07-10,3.71,,
1980-07-11,3.77,,
1980-07-14,3.99,,
1980-07-15,3.95,,
1980-07-16,4.0,,
1980-07-17,4.17,,
1980-07-18,4.21,,
1980-07-21,4.28,,
1980-07-22,4.22,,
1980-07-23,4.08,,
1980-07-24,4.02,,
1980-07-25,3.97,,
1980-07-28,3.99,,
1980-07-29,4.0,,
1980-07-30,4.07,,
1980-07-31,3.95,,
1980-08-01,3.91,,
1980-08-04,3.91,,
1980-08-05,3.87,,
1980-08-06,3.89,,
1980-08-07,3.94,,
1980-08-08,3.99,,
1980-08-11,4.02,,
1980-08-12,4.1,,
1980-08-13,4.06,,
1980-08-14,4.08,,
1980-08-15,4.14,,
1980-08-18,4.07,,
1980-08-19,4.03,,
1980-08-20,4.06,,
1980-08-21,4.12,,
1980-08-22,4.14,,
1980-08-25,4.1,,
1980-08-26,4.14,,
1980-08-27,4.02,,
1980-08-28,3.95,,
1980-08-29,4.03,,
1980-09-02,4.14,,
1980-09-03,4.16,,
1980-09-04,4.09,,
1980-09-05,4.11,,
1980-09-08,4.01,,
1980-09-09,4.06,,
1980-09-10,4.08,,
1980-09-11,4.01,,
1980-09-12,4.01,,
1980-09-15,4.13,,
1980-09-16,4.39,,
1980-09-17,4.69,,
1980-09-18,4.68,,
1980-09-19,4.65,,
1980-09-22,4.75,,
1980-09-23,4.95,,
1980-09-24,5.09,,
1980-09-25,4.94,,
1980-09-26,4.79,,
1980-09-29,4.66,,
1980-09-30,4.69,,
1980-10-01,4.87,,
1980-10-02,4.96,,
1980-10-03,5.02,,
1980-10-06,5.09,,
1980-10-07,5.16,,
1980-10-08,5.09,,
1980-10-09,5.16,,
1980-10-10,5.06,,
1980-10-13,5.14,,
1980-10-14,5.02,,
1980-10-15,5.13,,
1980-10-16,5.27,,
1980-10-17,5.34,,
1980-10-20,5.57,,
1980-10-21,5.76,,
1980-10-22,5.97,,
1980-10-23,5.85,,
1980-10-24,5.83,,
1980-10-27,5.72,,
1980-10-28,5.73,,
1980-10-29,5.72,,
1980-10-30,5.72,,
1980-10-31,5.7,,
1980-11-03,5.78,,
1980-11-05,6.02,,
1980-11-06,5.94,,
1980-11-07,5.99,,
1980-11-10,5.95,,
1980-11-11,6.21,,
1980-11-12,6.52,,
1980-11-13,6.48,,
1980-11-14,6.59,,
1980-11-17,7.02,,
1980-11-18,7.38,,
1980-11-19,7.1,,
1980-11-20,7.24,,
1980-11-21,7.44,,
1980-11-24,7.41,,
1980-11-25,7.31,,
1980-11-26,7.69,,
1980-11-28,7.67,,
1980-12-01,7.29,,
1980-12-02,7.12,,
1980-12-03,7.06,,
1980-12-04,7.01,,
1980-12-05,6.7,,
1980-12-08,6.41,,
1980-12-09,6.45,,
1980-12-10,6.43,,
1980-12-11,6.39,,
1980-12-12,6.62,,
1980-12-15,6.64,,
1980-12-16,6.72,,
1980-12-17,6.91,,
1980-12-18,6.96,,
1980-12-19,6.77,,
1980-12-22,6.72,,
1980-12-23,6.43,,
1980-12-24,6.62,,
1980-12-26,6.7,,
1980-12-29,6.51,,
1980-12-30,6.64,,
1980-12-31,6.62,,
1981-01-02,6.56,,
1981-01-05,6.51,,
1981-01-06,6.3,,
1981-01-07,6.19,,
1981-01-08,5.99,,
1981-01-09,5.95,,
1981-01-12,5.97,,
1981-01-13,6.05,,
1981-01-14,6.22,,
1981-01-15,6.39,,
1981-01-16,6.58,,
1981-01-19,6.44,,
1981-01-20,6.25,,
1981-01-21,6.16,,
1981-01-22,6.09,,
1981-01-23,6.01,,
1981-01-26,5.76,,
1981-01-27,5.83,,
1981-01-28,5.84,,
1981-01-29,5.87,,
1981-01-30,5.88,,
1981-02-02,5.78,,
1981-02-03,5.87,,
1981-02-04,5.9,,
1981-02-05,5.86,,
1981-02-06,5.86,,
1981-02-09,5.49,,
1981-02-10,5.53,,
1981-02-11,5.44,,
1981-02-12,5.47,,
1981-02-13,5.46,,
1981-02-17,5.51,,
1981-02-18,5.63,,
1981-02-19,5.49,,
1981-02-20,5.46,,
1981-02-23,5.47,,
1981-02-24,5.52,,
1981-02-25,5.56,,
1981-02-26,5.63,,
1981-02-27,5.67,,
1981-03-02,5.74,,
1981-03-03,5.83,,
1981-03-04,6.03,,
1981-03-05,5.88,,
1981-03-06,5.74,,
1981-03-09,5.72,,
1981-03-10,5.72,,
1981-03-11,5.78,,
1981-03-12,6.01,,
1981-03-13,6.16,,
1981-03-16,6.26,,
1981-03-17,6.22,,
1981-03-18,6.03,,
1981-03-19,5.72,,
1981-03-20,5.63,,
1981-03-23,5.81,,
1981-03-24,5.97,,
1981-03-25,6.2,,
1981-03-26,6.17,,
1981-03-27,6.11,,
1981-03-30,6.09,,
1981-03-31,6.22,,
1981-04-01,6.22,,
1981-04-02,6.22,,
1981-04-03,6.26,,
1981-04-06,6.11,,
1981-04-07,6.04,,
1981-04-08,6.05,,
1981-04-09,5.97,,
1981-04-10,5.93,,
1981-04-13,5.55,,
1981-04-14,5.6,,
1981-04-15,5.6,,
1981-04-16,5.67,,
1981-04-20,5.46,,
1981-04-21,5.26,,
1981-04-22,5.21,,
1981-04-23,5.03,,
1981-04-24,4.93,,
1981-04-27,4.94,,
1981-04-28,4.87,,
1981-04-29,4.87,,
1981-04-30,5.06,,
1981-05-01,5.04,,
1981-05-04,4.92,,
1981-05-05,4.87,,
1981-05-06,4.94,,
1981-05-07,4.99,,
1981-05-08,5.02,,
1981-05-11,4.87,,
1981-05-12,4.92,,
1981-05-13,4.9,,
1981-05-14,4.92,,
1981-05-15,4.97,,
1981-05-18,5.01,,
1981-05-19,4.94,,
1981-05-20,4.73,,
1981-05-21,4.72,,
1981-05-22,4.69,,
1981-05-26,4.83,,
1981-05-27,4.79,,
1981-05-28,4.66,,
1981-05-29,4.53,,
1981-06-01,4.43,,
1981-06-02,4.2,,
1981-06-03,4.31,,
1981-06-04,4.41,,
1981-06-05,4.51,,
1981-06-08,4.68,,
1981-06-09,4.7,,
1981-06-10,4.74,,
1981-06-11,4.71,,
1981-06-12,4.6,,
1981-06-15,4.56,,
1981-06-16,4.51,,
1981-06-17,4.69,,
1981-06-18,4.6,,
1981-06-19,4.69,,
1981-06-22,4.71,,
1981-06-23,4.69,,
1981-06-24,4.77,,
1981-06-25,4.79,,
1981-06-26,4.77,,
1981-06-29,4.85,,
1981-06-30,4.85,,
1981-07-01,4.75,,
1981-07-02,4.64,,
1981-07-06,4.49,,
1981-07-07,4.64,,
1981-07-08,4.64,,
1981-07-09,4.71,,
1981-07-10,4.79,,
1981-07-13,4.83,,
1981-07-14,4.83,,
1981-07-15,4.87,,
1981-07-16,4.89,,
1981-07-17,4.92,,
1981-07-20,4.87,,
1981-07-21,5.06,,
1981-07-22,5.05,,
1981-07-23,5.17,,
1981-07-24,5.2,,
1981-07-27,5.22,,
1981-07-28,5.24,,
1981-07-29,5.3,,
1981-07-30,5.26,,
1981-07-31,5.23,,
1981-08-03,5.14,,
1981-08-04,5.15,,
1981-08-05,5.17,,
1981-08-06,5.11,,
1981-08-07,5.03,,
1981-08-10,5.13,,
1981-08-11,5.21,,
1981-08-12,5.18,,
1981-08-13,5.21,,
1981-08-14,5.25,,
1981-08-17,5.2,,
1981-08-18,5.17,,
1981-08-19,5.04,,
1981-08-20,5.03,,
1981-08-21,4.99,,
1981-08-24,4.77,,
1981-08-25,4.61,,
1981-08-26,4.59,,
1981-08-27,4.45,,
1981-08-28,4.44,,
1981-08-31,4.39,,
1981-09-01,4.35,,
1981-09-02,4.39,,
1981-09-03,4.28,,
1981-09-04,4.24,,
1981-09-08,4.14,,
1981-09-09,4.1,,
1981-09-10,4.14,,
1981-09-11,4.17,,
1981-09-14,4.15,,
1981-09-15,4.19,,
1981-09-16,4.16,,
1981-09-17,4.17,,
1981-09-18,4.18,,
1981-09-21,4.18,,
1981-09-22,4.14,,
1981-09-23,3.99,,
1981-09-24,3.93,,
1981-09-25,3.8,,
1981-09-28,3.95,,
1981-09-29,4.03,,
1981-09-30,3.97,,
1981-10-01,3.99,,
1981-10-02,4.12,,
1981-10-05,4.11,,
1981-10-06,4.24,,
1981-10-07,4.36,,
1981-10-08,4.18,,
1981-10-09,4.19,,
1981-10-12,4.17,,
1981-10-13,4.12,,
1981-10-14,4.01,,
1981-10-15,4.11,,
1981-10-16,4.12,,
1981-10-19,4.07,,
1981-10-20,4.19,,
1981-10-21,4.12,,
1981-10-22,4.09,,
1981-10-23,4.08,,
1981-10-26,4.03,,
1981-10-27,4.0,,
1981-10-28,4.06,,
1981-10-29,4.08,,
1981-10-30,4.24,,
1981-11-02,4.45,,
1981-11-03,4.56,,
1981-11-04,4.8,,
1981-11-05,4.68,,
1981-11-06,4.64,,
1981-11-09,4.6,,
1981-11-10,4.57,,
1981-11-11,4.64,,
1981-11-12,4.58,,
1981-11-13,4.43,,
1981-11-16,4.29,,
1981-11-17,4.27,,
1981-11-18,4.18,,
1981-11-19,4.21,,
1981-11-20,4.35,,
1981-11-23,4.41,,
1981-11-24,4.58,,
1981-11-25,4.62,,
1981-11-27,4.59,,
1981-11-30,4.75,,
1981-12-01,4.69,,
1981-12-02,4.6,,
1981-12-03,4.63,,
1981-12-04,4.69,,
1981-12-07,4.69,,
1981-12-08,4.77,,
1981-12-09,4.78,,
1981-12-10,4.79,,
1981-12-11,4.77,,
1981-12-14,4.62,,
1981-12-15,4.53,,
1981-12-16,4.51,,
1981-12-17,4.59,,
1981-12-18,4.6,,
1981-12-21,4.53,,
1981-12-22,4.42,,
1981-12-23,4.41,,
1981-12-24,4.43,,
1981-12-28,4.41,,
1981-12-29,4.36,,
1981-12-30,4.38,,
1981-12-31,4.37,,
1982-01-04,4.31,,
1982-01-05,4.12,,
1982-01-06,4.03,,
1982-01-07,3.97,,
1982-01-08,3.99,,
1982-01-11,3.73,,
1982-01-12,3.76,,
1982-01-13,3.76,,
1982-01-14,3.8,,
1982-01-15,3.89,,
1982-01-18,4.03,,
1982-01-19,3.86,,
1982-01-20,3.81,,
1982-01-21,3.77,,
1982-01-22,3.76,,
1982-01-25,3.83,,
1982-01-26,3.72,,
1982-01-27,3.73,,
1982-01-28,3.93,,
1982-01-29,4.0,,
1982-02-01,3.88,,
1982-02-02,3.86,,
1982-02-03,3.71,,
1982-02-04,3.66,,
1982-02-05,3.47,,
1982-02-08,3.24,,
1982-02-09,3.3,,
1982-02-10,3.34,,
1982-02-11,3.32,,
1982-02-12,3.33,,
1982-02-16,3.27,,
1982-02-17,3.26,,
1982-02-18,3.26,,
1982-02-19,3.09,,
1982-02-22,3.09,,
1982-02-23,3.09,,
1982-02-24,3.21,,
1982-02-25,3.16,,
1982-02-26,3.16,,
1982-03-01,3.13,,
1982-03-02,3.06,,
1982-03-03,2.95,,
1982-03-04,2.86,,
1982-03-05,2.84,,
1982-03-08,2.69,,
1982-03-09,2.77,,
1982-03-10,2.85,,
1982-03-11,2.9,,
1982-03-12,2.92,,
1982-03-15,3.03,,
1982-03-16,2.98,,
1982-03-17,2.96,,
1982-03-18,2.99,,
1982-03-19,3.0,,
1982-03-22,3.03,,
1982-03-23,3.12,,
1982-03-24,3.1,,
1982-03-25,3.08,,
1982-03-26,3.08,,
1982-03-29,3.12,,
1982-03-30,3.11,,
1982-03-31,3.11,,
1982-04-01,3.14,,
1982-04-02,3.3,,
1982-04-05,3.23,,
1982-04-06,3.25,,
1982-04-07,3.3,,
1982-04-08,3.34,,
1982-04-12,3.31,,
1982-04-13,3.24,,
1982-04-14,3.14,,
1982-04-15,3.11,,
1982-04-16,3.19,,
1982-04-19,3.19,,
1982-04-20,3.13,,
1982-04-21,3.06,,
1982-04-22,3.12,,
1982-04-23,3.14,,
1982-04-26,3.15,,
1982-04-27,3.17,,
1982-04-28,3.11,,
1982-04-29,3.04,,
1982-04-30,3.07,,
1982-05-03,3.1,,
1982-05-04,3.12,,
1982-05-05,3.14,,
1982-05-06,3.21,,
1982-05-07,3.35,,
1982-05-10,3.31,,
1982-05-11,3.47,,
1982-05-12,3.39,,
1982-05-13,3.36,,
1982-05-14,3.37,,
1982-05-17,3.28,,
1982-05-18,3.19,,
1982-05-19,3.16,,
1982-05-20,3.17,,
1982-05-21,3.23,,
1982-05-24,3.2,,
1982-05-25,3.13,,
1982-05-26,3.05,,
1982-05-27,3.03,,
1982-05-28,2.98,,
1982-06-01,3.04,,
1982-06-02,3.09,,
1982-06-03,3.09,,
1982-06-04,2.98,,
1982-06-07,3.0,,
1982-06-08,2.97,,
1982-06-09,2.98,,
1982-06-10,3.06,,
1982-06-11,3.11,,
1982-06-14,3.04,,
1982-06-15,2.96,,
1982-06-16,2.95,,
1982-06-17,2.84,,
1982-06-18,2.84,,
1982-06-21,2.85,,
1982-06-22,2.86,,
1982-06-23,2.95,,
1982-06-24,2.92,,
1982-06-25,2.84,,
1982-06-28,2.87,,
1982-06-29,2.85,,
1982-06-30,2.85,,
1982-07-01,2.77,,
1982-07-02,2.71,,
1982-07-06,2.7,,
1982-07-07,2.65,,
1982-07-08,2.66,,
1982-07-09,2.75,,
1982-07-12,2.61,,
1982-07-13,2.6,,
1982-07-14,2.64,,
1982-07-15,2.62,,
1982-07-16,2.61,,
1982-07-19,2.61,,
1982-07-20,2.66,,
1982-07-21,2.61,,
1982-07-22,2.63,,
1982-07-23,2.62,,
1982-07-26,2.62,,
1982-07-27,2.63,,
1982-07-28,2.6,,
1982-07-29,2.61,,
1982-07-30,2.6,,
1982-08-02,2.69,,
1982-08-03,2.64,,
1982-08-04,2.63,,
1982-08-05,2.64,,
1982-08-06,2.63,,
1982-08-09,2.58,,
1982-08-10,2.57,,
1982-08-11,2.54,,
1982-08-12,2.52,,
1982-08-13,2.5,,
1982-08-16,2.51,,
1982-08-17,2.74,,
1982-08-18,2.67,,
1982-08-19,2.66,,
1982-08-20,2.77,,
1982-08-23,2.98,,
1982-08-24,3.05,,
1982-08-25,3.09,,
1982-08-26,3.24,,
1982-08-27,3.17,,
1982-08-30,3.15,,
1982-08-31,3.21,,
1982-09-01,3.19,,
1982-09-02,3.3,,
1982-09-03,3.34,,
1982-09-07,3.39,,
1982-09-08,3.52,,
1982-09-09,3.73,,
1982-09-10,3.61,,
1982-09-13,3.71,,
1982-09-14,3.62,,
1982-09-15,3.5,,
1982-09-16,3.46,,
1982-09-17,3.39,,
1982-09-20,3.37,,
1982-09-21,3.47,,
1982-09-22,3.43,,
1982-09-23,3.5,,
1982-09-24,3.56,,
1982-09-27,3.57,,
1982-09-28,3.61,,
1982-09-29,3.53,,
1982-09-30,3.41,,
1982-10-01,3.43,,
1982-10-04,3.37,,
1982-10-05,3.38,,
1982-10-06,3.53,,
1982-10-07,3.78,,
1982-10-08,3.8,,
1982-10-11,3.91,,
1982-10-12,3.94,,
1982-10-13,4.11,,
1982-10-14,4.04,,
1982-10-15,3.99,,
1982-10-18,4.01,,
1982-10-19,4.1,,
1982-10-20,4.18,,
1982-10-21,4.11,,
1982-10-22,4.15,,
1982-10-25,3.94,,
1982-10-26,3.97,,
1982-10-27,3.95,,
1982-10-28,3.81,,
1982-10-29,3.79,,
1982-11-01,3.79,,
1982-11-02,3.85,,
1982-11-03,4.08,,
1982-11-04,3.99,,
1982-11-05,4.02,,
1982-11-08,3.98,,
1982-11-09,4.12,,
1982-11-10,4.15,,
1982-11-11,4.15,,
1982-11-12,3.78,,
1982-11-15,3.8,,
1982-11-16,3.76,,
1982-11-17,3.86,,
1982-11-18,3.83,,
1982-11-19,3.74,,
1982-11-22,3.62,,
1982-11-23,3.52,,
1982-11-24,3.51,,
1982-11-26,3.53,,
1982-11-29,3.59,,
1982-11-30,3.73,,
1982-12-01,3.58,,
1982-12-02,3.59,,
1982-12-03,3.61,,
1982-12-06,3.72,,
1982-12-07,3.82,,
1982-12-08,3.66,,
1982-12-09,3.6,,
1982-12-10,3.82,,
1982-12-13,3.8,,
1982-12-14,3.79,,
1982-12-15,3.67,,
1982-12-16,3.67,,
1982-12-17,3.74,,
1982-12-20,3.7,,
1982-12-21,3.75,,
1982-12-22,3.78,,
1982-12-23,3.78,,
1982-12-27,3.95,,
1982-12-28,3.87,,
1982-12-29,3.89,,
1982-12-30,3.91,,
1982-12-31,3.95,,
1983-01-03,3.88,,
1983-01-04,4.19,,
1983-01-05,4.27,,
1983-01-06,4.54,,
1983-01-07,4.52,,
1983-01-10,4.59,,
1983-01-11,4.61,,
1983-01-12,4.51,,
1983-01-13,4.28,,
1983-01-14,4.31,,
1983-01-17,4.36,,
1983-01-18,4.32,,
1983-01-19,4.22,,
1983-01-20,4.3,,
1983-01-21,4.14,,
1983-01-24,3.99,,
1983-01-25,3.93,,
1983-01-26,3.89,,
1983-01-27,3.92,,
1983-01-28,3.91,,
1983-01-31,3.91,,
1983-02-01,3.8,,
1983-02-02,3.78,,
1983-02-03,3.87,,
1983-02-04,3.99,,
1983-02-07,4.02,,
1983-02-08,3.97,,
1983-02-09,4.01,,
1983-02-10,4.16,,
1983-02-11,4.24,,
1983-02-14,4.32,,
1983-02-15,4.22,,
1983-02-16,4.27,,
1983-02-17,4.29,,
1983-02-18,4.34,,
1983-02-22,4.09,,
1983-02-23,4.14,,
1983-02-24,4.22,,
1983-02-25,4.12,,
1983-02-28,3.95,,
1983-03-01,3.91,,
1983-03-02,4.03,,
1983-03-03,4.08,,
1983-03-04,4.18,,
1983-03-07,4.24,,
1983-03-08,4.16,,
1983-03-09,4.15,,
1983-03-10,4.03,,
1983-03-11,4.01,,
1983-03-14,4.01,,
1983-03-15,4.02,,
1983-03-16,3.9,,
1983-03-17,3.81,,
1983-03-18,3.85,,
1983-03-21,3.97,,
1983-03-22,3.9,,
1983-03-23,3.91,,
1983-03-24,3.9,,
1983-03-25,3.89,,
1983-03-28,3.9,,
1983-03-29,3.83,,
1983-03-30,3.95,,
1983-03-31,4.16,,
1983-04-04,4.26,,
1983-04-05,4.2,,
1983-04-06,4.15,,
1983-04-07,4.16,,
1983-04-08,4.31,,
1983-04-11,4.4,,
1983-04-12,4.42,,
1983-04-13,4.31,,
1983-04-14,4.37,,
1983-04-15,4.35,,
1983-04-18,4.35,,
1983-04-19,4.33,,
1983-04-20,4.19,,
1983-04-21,4.24,,
1983-04-22,4.24,,
1983-04-25,4.24,,
1983-04-26,4.43,,
1983-04-27,4.36,,
1983-04-28,4.43,,
1983-04-29,4.62,,
1983-05-02,4.56,,
1983-05-03,4.56,,
1983-05-04,4.81,,
1983-05-05,4.86,,
1983-05-06,4.87,,
1983-05-09,4.85,,
1983-05-10,4.85,,
1983-05-11,4.87,,
1983-05-12,4.85,,
1983-05-13,4.83,,
1983-05-16,4.79,,
1983-05-17,4.74,,
1983-05-18,4.65,,
1983-05-19,4.58,,
1983-05-20,4.64,,
1983-05-23,4.71,,
1983-05-24,4.97,,
1983-05-25,4.94,,
1983-05-26,4.92,,
1983-05-27,4.78,,
1983-05-31,4.66,,
1983-06-01,4.7,,
1983-06-02,4.71,,
1983-06-03,4.69,,
1983-06-06,4.68,,
1983-06-07,4.6,,
1983-06-08,4.5,,
1983-06-09,4.59,,
1983-06-10,4.64,,
1983-06-13,4.66,,
1983-06-14,4.72,,
1983-06-15,4.82,,
1983-06-16,5.0,,
1983-06-17,4.99,,
1983-06-20,4.96,,
1983-06-21,5.15,,
1983-06-22,5.11,,
1983-06-23,5.04,,
1983-06-24,5.02,,
1983-06-27,4.99,,
1983-06-28,4.96,,
1983-06-29,4.93,,
1983-06-30,4.86,,
1983-07-01,4.85,,
1983-07-05,4.72,,
1983-07-06,4.81,,
1983-07-07,4.92,,
1983-07-08,4.87,,
1983-07-11,4.92,,
1983-07-12,4.86,,
1983-07-13,4.89,,
1983-07-14,4.82,,
1983-07-15,4.78,,
1983-07-18,4.75,,
1983-07-19,4.78,,
1983-07-20,4.86,,
1983-07-21,4.86,,
1983-07-22,4.85,,
1983-07-25,4.83,,
1983-07-26,4.81,,
1983-07-27,4.75,,
1983-07-28,4.69,,
1983-07-29,4.62,,
1983-08-01,4.65,,
1983-08-02,4.65,,
1983-08-03,4.69,,
1983-08-04,4.53,,
1983-08-05,4.48,,
1983-08-08,4.29,,
1983-08-09,4.32,,
1983-08-10,4.31,,
1983-08-11,4.43,,
1983-08-12,4.5,,
1983-08-15,4.52,,
1983-08-16,4.56,,
1983-08-17,4.64,,
1983-08-18,4.62,,
1983-08-19,4.68,,
1983-08-22,4.7,,
1983-08-23,4.69,,
1983-08-24,4.69,,
1983-08-25,4.63,,
1983-08-26,4.66,,
1983-08-29,4.64,,
1983-08-30,4.7,,
1983-08-31,4.74,,
1983-09-01,4.7,,
1983-09-02,4.72,,
1983-09-06,4.81,,
1983-09-07,4.87,,
1983-09-08,4.92,,
1983-09-09,4.93,,
1983-09-12,4.9,,
1983-09-13,4.86,,
1983-09-14,4.83,,
1983-09-15,4.86,,
1983-09-16,4.99,,
1983-09-19,4.98,,
1983-09-20,5.02,,
1983-09-21,4.98,,
1983-09-22,5.04,,
1983-09-23,5.04,,
1983-09-26,4.99,,
1983-09-27,4.96,,
1983-09-28,4.9,,
1983-09-29,4.78,,
1983-09-30,4.69,,
1983-10-03,4.73,,
1983-10-04,4.76,,
1983-10-05,4.73,,
1983-10-06,4.73,,
1983-10-07,4.73,,
1983-10-10,4.84,,
1983-10-11,4.71,,
1983-10-12,4.71,,
1983-10-13,4.71,,
1983-10-14,4.84,,
1983-10-17,4.86,,
1983-10-18,4.72,,
1983-10-19,4.83,,
1983-10-20,4.85,,
1983-10-21,4.82,,
1983-10-24,4.78,,
1983-10-25,4.73,,
1983-10-26,4.71,,
1983-10-27,4.65,,
1983-10-28,4.64,,
1983-10-31,4.66,,
1983-11-01,4.64,,
1983-11-02,4.62,,
1983-11-03,4.53,,
1983-11-04,4.43,,
1983-11-07,4.42,,
1983-11-08,4.44,,
1983-11-09,4.48,,
1983-11-10,4.49,,
1983-11-11,4.49,,
1983-11-14,4.49,,
1983-11-15,4.5,,
1983-11-16,4.49,,
1983-11-17,4.42,,
1983-11-18,4.34,,
1983-11-21,4.36,,
1983-11-22,4.29,,
1983-11-23,4.2,,
1983-11-25,4.22,,
1983-11-28,4.22,,
1983-11-29,4.17,,
1983-11-30,4.19,,
1983-12-01,4.18,,
1983-12-02,4.22,,
1983-12-05,4.24,,
1983-12-06,4.23,,
1983-12-07,4.26,,
1983-12-08,4.22,,
1983-12-09,4.28,,
1983-12-12,4.28,,
1983-12-13,4.23,,
1983-12-14,4.07,,
1983-12-15,4.03,,
1983-12-16,3.99,,
1983-12-19,3.93,,
1983-12-20,4.02,,
1983-12-21,4.19,,
1983-12-22,4.18,,
1983-12-23,4.24,,
1983-12-27,4.21,,
1983-12-28,4.2,,
1983-12-29,4.22,,
1983-12-30,4.27,,
1984-01-03,4.19,,
1984-01-04,4.26,,
1984-01-05,4.38,,
1984-01-06,4.41,,
1984-01-09,4.36,,
1984-01-10,4.32,,
1984-01-11,4.3,,
1984-01-12,4.21,,
1984-01-13,4.19,,
1984-01-16,4.12,,
1984-01-17,4.15,,
1984-01-18,4.14,,
1984-01-19,4.14,,
1984-01-20,4.09,,
1984-01-23,4.07,,
1984-01-24,4.15,,
1984-01-25,4.24,,
1984-01-26,4.22,,
1984-01-27,4.16,,
1984-01-30,4.18,,
1984-01-31,4.15,,
1984-02-01,4.14,,
1984-02-02,4.12,,
1984-02-03,3.96,,
1984-02-06,3.91,,
1984-02-07,3.91,,
1984-02-08,3.77,,
1984-02-09,3.83,,
1984-02-10,3.89,,
1984-02-13,3.89,,
1984-02-14,3.89,,
1984-02-15,3.87,,
1984-02-16,3.86,,
1984-02-17,3.82,,
1984-02-21,3.77,,
1984-02-22,3.75,,
1984-02-23,3.77,,
1984-02-24,3.86,,
1984-02-27,3.95,,
1984-02-28,3.91,,
1984-02-29,3.91,,
1984-03-01,3.91,,
1984-03-02,3.94,,
1984-03-05,3.9,,
1984-03-06,3.81,,
1984-03-07,3.79,,
1984-03-08,3.79,,
1984-03-09,3.73,,
1984-03-12,3.75,,
1984-03-13,3.7,,
1984-03-14,3.71,,
1984-03-15,3.74,,
1984-03-16,3.7,,
1984-03-19,3.68,,
1984-03-20,3.78,,
1984-03-21,3.86,,
1984-03-22,3.83,,
1984-03-23,3.78,,
1984-03-26,3.71,,
1984-03-27,3.71,,
1984-03-28,3.8,,
