date,GPS,GPS_EPS,PE Ratio
1980-08-12,0.05,0.01,5.0
1980-08-13,0.05,0.01,5.0
1980-08-14,0.05,0.01,5.0
1980-08-15,0.06,0.01,6.0
1980-08-18,0.05,0.01,5.0
1980-08-19,0.05,0.01,5.0
1980-08-20,0.05,0.01,5.0
1980-08-21,0.05,0.01,5.0
1980-08-22,0.05,0.01,5.0
1980-08-25,0.05,0.01,5.0
1980-08-26,0.05,0.01,5.0
1980-08-27,0.06,0.01,6.0
1980-08-28,0.05,0.01,5.0
1980-08-29,0.05,0.01,5.0
1980-09-02,0.06,0.01,6.0
1980-09-03,0.06,0.01,6.0
1980-09-04,0.06,0.01,6.0
1980-09-05,0.06,0.01,6.0
1980-09-08,0.06,0.01,6.0
1980-09-09,0.06,0.01,6.0
1980-09-10,0.06,0.01,6.0
1980-09-11,0.06,0.01,6.0
1980-09-12,0.06,0.01,6.0
1980-09-15,0.06,0.01,6.0
1980-09-16,0.06,0.01,6.0
1980-09-17,0.06,0.01,6.0
1980-09-18,0.07,0.01,7.000000000000001
1980-09-19,0.07,0.01,7.000000000000001
1980-09-22,0.07,0.01,7.000000000000001
1980-09-23,0.07,0.01,7.000000000000001
1980-09-24,0.07,0.01,7.000000000000001
1980-09-25,0.07,0.01,7.000000000000001
1980-09-26,0.07,0.01,7.000000000000001
1980-09-29,0.06,0.01,6.0
1980-09-30,0.06,0.01,6.0
1980-10-01,0.06,0.01,6.0
1980-10-02,0.06,0.01,6.0
1980-10-03,0.07,0.01,7.000000000000001
1980-10-06,0.07,0.01,7.000000000000001
1980-10-07,0.07,0.01,7.000000000000001
1980-10-08,0.07,0.01,7.000000000000001
1980-10-09,0.07,0.01,7.000000000000001
1980-10-10,0.07,0.01,7.000000000000001
1980-10-13,0.06,0.01,6.0
1980-10-14,0.06,0.01,6.0
1980-10-15,0.06,0.01,6.0
1980-10-16,0.06,0.01,6.0
1980-10-17,0.06,0.01,6.0
1980-10-20,0.06,0.01,6.0
1980-10-21,0.06,0.01,6.0
1980-10-22,0.06,0.01,6.0
1980-10-23,0.06,0.01,6.0
1980-10-24,0.06,0.01,6.0
1980-10-27,0.06,0.01,6.0
1980-10-28,0.06,0.01,6.0
1980-10-29,0.06,0.01,6.0
1980-10-30,0.06,0.01,6.0
1980-10-31,0.06,0.01,6.0
1980-11-03,0.06,0.01,6.0
1980-11-05,0.06,0.01,6.0
1980-11-06,0.06,0.01,6.0
1980-11-07,0.06,0.01,6.0
1980-11-10,0.06,0.01,6.0
1980-11-11,0.06,0.01,6.0
1980-11-12,0.06,0.01,6.0
1980-11-13,0.06,0.01,6.0
1980-11-14,0.06,0.01,6.0
1980-11-17,0.06,0.01,6.0
1980-11-18,0.06,0.01,6.0
1980-11-19,0.06,0.01,6.0
1980-11-20,0.06,0.01,6.0
1980-11-21,0.07,0.01,7.000000000000001
1980-11-24,0.06,0.01,6.0
1980-11-25,0.07,0.01,7.000000000000001
1980-11-26,0.06,0.01,6.0
1980-11-28,0.06,0.01,6.0
1980-12-01,0.06,0.01,6.0
1980-12-02,0.06,0.01,6.0
1980-12-03,0.06,0.01,6.0
1980-12-04,0.06,0.01,6.0
1980-12-05,0.06,0.01,6.0
1980-12-08,0.06,0.01,6.0
1980-12-09,0.06,0.01,6.0
1980-12-10,0.06,0.01,6.0
1980-12-11,0.06,0.01,6.0
1980-12-12,0.06,0.01,6.0
1980-12-15,0.06,0.01,6.0
1980-12-16,0.06,0.01,6.0
1980-12-17,0.06,0.01,6.0
1980-12-18,0.06,0.01,6.0
1980-12-19,0.06,0.01,6.0
1980-12-22,0.06,0.01,6.0
1980-12-23,0.06,0.01,6.0
1980-12-24,0.06,0.01,6.0
1980-12-26,0.06,0.01,6.0
1980-12-29,0.06,0.01,6.0
1980-12-30,0.06,0.01,6.0
1980-12-31,0.07,0.01,7.000000000000001
1981-01-02,0.06,0.01,6.0
1981-01-05,0.06,0.01,6.0
1981-01-06,0.07,0.01,7.000000000000001
1981-01-07,0.06,0.01,6.0
1981-01-08,0.06,0.01,6.0
1981-01-09,0.06,0.01,6.0
1981-01-12,0.07,0.01,7.000000000000001
1981-01-13,0.07,0.01,7.000000000000001
1981-01-14,0.07,0.01,7.000000000000001
1981-01-15,0.07,0.01,7.000000000000001
1981-01-16,0.07,0.01,7.000000000000001
1981-01-19,0.07,0.01,7.000000000000001
1981-01-20,0.07,0.01,7.000000000000001
1981-01-21,0.07,0.01,7.000000000000001
1981-01-22,0.07,0.01,7.000000000000001
1981-01-23,0.07,0.01,7.000000000000001
1981-01-26,0.07,0.01,7.000000000000001
1981-01-27,0.07,0.01,7.000000000000001
1981-01-28,0.07,0.01,7.000000000000001
1981-01-29,0.07,0.01,7.000000000000001
1981-01-30,0.07,0.01,7.000000000000001
1981-02-02,0.07,0.01,7.000000000000001
1981-02-03,0.07,0.01,7.000000000000001
1981-02-04,0.07,0.01,7.000000000000001
1981-02-05,0.07,0.01,7.000000000000001
1981-02-06,0.07,0.01,7.000000000000001
1981-02-09,0.07,0.01,7.000000000000001
1981-02-10,0.07,0.01,7.000000000000001
1981-02-11,0.07,0.01,7.000000000000001
1981-02-12,0.07,0.01,7.000000000000001
1981-02-13,0.07,0.01,7.000000000000001
1981-02-17,0.07,0.01,7.000000000000001
1981-02-18,0.07,0.01,7.000000000000001
1981-02-19,0.07,0.01,7.000000000000001
1981-02-20,0.07,0.01,7.000000000000001
1981-02-23,0.07,0.01,7.000000000000001
1981-02-24,0.07,0.01,7.000000000000001
1981-02-25,0.07,0.01,7.000000000000001
1981-02-26,0.07,0.01,7.000000000000001
1981-02-27,0.07,0.01,7.000000000000001
1981-03-02,0.07,0.01,7.000000000000001
1981-03-03,0.07,0.01,7.000000000000001
1981-03-04,0.07,0.01,7.000000000000001
1981-03-05,0.07,0.01,7.000000000000001
1981-03-06,0.07,0.01,7.000000000000001
1981-03-09,0.08,0.01,8.0
1981-03-10,0.08,0.01,8.0
1981-03-11,0.08,0.01,8.0
1981-03-12,0.08,0.01,8.0
1981-03-13,0.08,0.01,8.0
1981-03-16,0.08,0.01,8.0
1981-03-17,0.08,0.01,8.0
1981-03-18,0.08,0.01,8.0
1981-03-19,0.08,0.01,8.0
1981-03-20,0.08,0.01,8.0
1981-03-23,0.08,0.01,8.0
1981-03-24,0.09,0.01,9.0
1981-03-25,0.09,0.01,9.0
1981-03-26,0.1,0.01,10.0
1981-03-27,0.09,0.01,9.0
1981-03-30,0.1,0.01,10.0
1981-03-31,0.1,0.01,10.0
1981-04-01,0.1,0.01,10.0
1981-04-02,0.1,0.01,10.0
1981-04-03,0.1,0.01,10.0
1981-04-06,0.1,0.01,10.0
1981-04-07,0.1,0.01,10.0
1981-04-08,0.1,0.01,10.0
1981-04-09,0.1,0.01,10.0
1981-04-10,0.1,0.01,10.0
1981-04-13,0.1,0.01,10.0
1981-04-14,0.1,0.01,10.0
1981-04-15,0.1,0.01,10.0
1981-04-16,0.1,0.01,10.0
1981-04-20,0.1,0.01,10.0
1981-04-21,0.1,0.01,10.0
1981-04-22,0.1,0.01,10.0
1981-04-23,0.1,0.01,10.0
1981-04-24,0.1,0.01,10.0
1981-04-27,0.1,0.01,10.0
1981-04-28,0.1,0.01,10.0
1981-04-29,0.1,0.01,10.0
1981-04-30,0.1,0.01,10.0
1981-05-01,0.09,0.01,9.0
1981-05-04,0.09,0.01,9.0
1981-05-05,0.09,0.01,9.0
1981-05-06,0.09,0.01,9.0
1981-05-07,0.09,0.01,9.0
1981-05-08,0.09,0.01,9.0
1981-05-11,0.09,0.01,9.0
1981-05-12,0.09,0.01,9.0
1981-05-13,0.09,0.01,9.0
1981-05-14,0.09,0.01,9.0
1981-05-15,0.1,0.01,10.0
1981-05-18,0.1,0.01,10.0
1981-05-19,0.09,0.01,9.0
1981-05-20,0.09,0.01,9.0
1981-05-21,0.09,0.01,9.0
1981-05-22,0.1,0.01,10.0
1981-05-26,0.1,0.01,10.0
1981-05-27,0.11,0.01,11.0
1981-05-28,0.11,0.01,11.0
1981-05-29,0.11,0.01,11.0
1981-06-01,0.11,0.01,11.0
1981-06-02,0.11,0.01,11.0
1981-06-03,0.11,0.01,11.0
1981-06-04,0.11,0.01,11.0
1981-06-05,0.13,0.01,13.0
1981-06-08,0.13,0.01,13.0
1981-06-09,0.12,0.01,12.0
1981-06-10,0.12,0.01,12.0
1981-06-11,0.13,0.01,13.0
1981-06-12,0.13,0.01,13.0
1981-06-15,0.13,0.01,13.0
1981-06-16,0.13,0.01,13.0
1981-06-17,0.13,0.01,13.0
1981-06-18,0.13,0.01,13.0
1981-06-19,0.13,0.01,13.0
1981-06-22,0.13,0.01,13.0
1981-06-23,0.13,0.01,13.0
1981-06-24,0.13,0.01,13.0
1981-06-25,0.13,0.01,13.0
1981-06-26,0.14,0.01,14.000000000000002
1981-06-29,0.14,0.01,14.000000000000002
1981-06-30,0.14,0.01,14.000000000000002
1981-07-01,0.13,0.01,13.0
1981-07-02,0.13,0.01,13.0
1981-07-06,0.12,0.01,12.0
1981-07-07,0.12,0.01,12.0
1981-07-08,0.12,0.01,12.0
1981-07-09,0.12,0.01,12.0
1981-07-10,0.13,0.01,13.0
1981-07-13,0.12,0.01,12.0
1981-07-14,0.12,0.01,12.0
1981-07-15,0.13,0.01,13.0
1981-07-16,0.12,0.01,12.0
1981-07-17,0.13,0.01,13.0
1981-07-20,0.12,0.01,12.0
1981-07-21,0.12,0.01,12.0
1981-07-22,0.12,0.01,12.0
1981-07-23,0.12,0.01,12.0
1981-07-24,0.12,0.01,12.0
1981-07-27,0.13,0.01,13.0
1981-07-28,0.12,0.01,12.0
1981-07-29,0.13,0.01,13.0
1981-07-30,0.12,0.01,12.0
1981-07-31,0.13,0.01,13.0
1981-08-03,0.13,0.01,13.0
1981-08-04,0.13,0.01,13.0
1981-08-05,0.13,0.01,13.0
1981-08-06,0.13,0.01,13.0
1981-08-07,0.13,0.01,13.0
1981-08-10,0.13,0.01,13.0
1981-08-11,0.13,0.01,13.0
1981-08-12,0.13,0.01,13.0
1981-08-13,0.12,0.01,12.0
1981-08-14,0.12,0.01,12.0
1981-08-17,0.11,0.01,11.0
1981-08-18,0.11,0.01,11.0
1981-08-19,0.11,0.01,11.0
1981-08-20,0.11,0.01,11.0
1981-08-21,0.11,0.01,11.0
1981-08-24,0.1,0.01,10.0
1981-08-25,0.1,0.01,10.0
1981-08-26,0.09,0.01,9.0
1981-08-27,0.09,0.01,9.0
1981-08-28,0.1,0.01,10.0
1981-08-31,0.09,0.01,9.0
1981-09-01,0.09,0.01,9.0
1981-09-02,0.09,0.01,9.0
1981-09-03,0.09,0.01,9.0
1981-09-04,0.09,0.01,9.0
1981-09-08,0.08,0.01,8.0
1981-09-09,0.08,0.01,8.0
1981-09-10,0.08,0.01,8.0
1981-09-11,0.09,0.01,9.0
1981-09-14,0.08,0.01,8.0
1981-09-15,0.09,0.01,9.0
1981-09-16,0.08,0.01,8.0
1981-09-17,0.08,0.01,8.0
1981-09-18,0.08,0.01,8.0
1981-09-21,0.08,0.01,8.0
1981-09-22,0.08,0.01,8.0
1981-09-23,0.08,0.01,8.0
1981-09-24,0.08,0.01,8.0
1981-09-25,0.08,0.01,8.0
1981-09-28,0.08,0.01,8.0
1981-09-29,0.08,0.01,8.0
1981-09-30,0.08,0.01,8.0
1981-10-01,0.09,0.01,9.0
1981-10-02,0.09,0.01,9.0
1981-10-05,0.09,0.01,9.0
1981-10-06,0.09,0.01,9.0
1981-10-07,0.09,0.01,9.0
1981-10-08,0.1,0.01,10.0
1981-10-09,0.1,0.01,10.0
1981-10-12,0.1,0.01,10.0
1981-10-13,0.1,0.01,10.0
1981-10-14,0.09,0.01,9.0
1981-10-15,0.09,0.01,9.0
1981-10-16,0.09,0.01,9.0
1981-10-19,0.09,0.01,9.0
1981-10-20,0.09,0.01,9.0
1981-10-21,0.09,0.01,9.0
1981-10-22,0.1,0.01,10.0
1981-10-23,0.1,0.01,10.0
1981-10-26,0.09,0.01,9.0
1981-10-27,0.1,0.01,10.0
1981-10-28,0.09,0.01,9.0
1981-10-29,0.09,0.01,9.0
1981-10-30,0.09,0.01,9.0
1981-11-02,0.09,0.01,9.0
1981-11-03,0.1,0.01,10.0
1981-11-04,0.1,0.01,10.0
1981-11-05,0.1,0.01,10.0
1981-11-06,0.1,0.01,10.0
1981-11-09,0.1,0.01,10.0
1981-11-10,0.09,0.01,9.0
1981-11-11,0.09,0.01,9.0
1981-11-12,0.09,0.01,9.0
1981-11-13,0.09,0.01,9.0
1981-11-16,0.09,0.01,9.0
1981-11-17,0.09,0.01,9.0
1981-11-18,0.09,0.01,9.0
1981-11-19,0.09,0.01,9.0
1981-11-20,0.09,0.01,9.0
1981-11-23,0.09,0.01,9.0
1981-11-24,0.09,0.01,9.0
1981-11-25,0.08,0.01,8.0
1981-11-27,0.08,0.01,8.0
1981-11-30,0.08,0.01,8.0
1981-12-01,0.08,0.01,8.0
1981-12-02,0.08,0.01,8.0
1981-12-03,0.08,0.01,8.0
1981-12-04,0.08,0.01,8.0
1981-12-07,0.08,0.01,8.0
1981-12-08,0.08,0.01,8.0
1981-12-09,0.08,0.01,8.0
1981-12-10,0.07,0.01,7.000000000000001
1981-12-11,0.07,0.01,7.000000000000001
1981-12-14,0.07,0.01,7.000000000000001
1981-12-15,0.07,0.01,7.000000000000001
1981-12-16,0.07,0.01,7.000000000000001
1981-12-17,0.08,0.01,8.0
1981-12-18,0.07,0.01,7.000000000000001
1981-12-21,0.07,0.01,7.000000000000001
1981-12-22,0.08,0.01,8.0
1981-12-23,0.08,0.01,8.0
1981-12-24,0.08,0.01,8.0
1981-12-28,0.08,0.01,8.0
1981-12-29,0.08,0.01,8.0
1981-12-30,0.08,0.01,8.0
1981-12-31,0.08,0.01,8.0
1982-01-04,0.08,0.01,8.0
1982-01-05,0.08,0.01,8.0
1982-01-06,0.08,0.01,8.0
1982-01-07,0.08,0.01,8.0
1982-01-08,0.08,0.01,8.0
1982-01-11,0.08,0.01,8.0
1982-01-12,0.08,0.01,8.0
1982-01-13,0.08,0.01,8.0
1982-01-14,0.08,0.01,8.0
1982-01-15,0.08,0.01,8.0
1982-01-18,0.08,0.01,8.0
1982-01-19,0.08,0.01,8.0
1982-01-20,0.08,0.01,8.0
1982-01-21,0.08,0.01,8.0
1982-01-22,0.08,0.01,8.0
1982-01-25,0.08,0.01,8.0
1982-01-26,0.08,0.01,8.0
1982-01-27,0.08,0.01,8.0
1982-01-28,0.08,0.01,8.0
1982-01-29,0.08,0.01,8.0
1982-02-01,0.08,0.01,8.0
1982-02-02,0.08,0.01,8.0
1982-02-03,0.08,0.01,8.0
1982-02-04,0.08,0.01,8.0
1982-02-05,0.08,0.01,8.0
1982-02-08,0.08,0.01,8.0
1982-02-09,0.08,0.01,8.0
1982-02-10,0.08,0.01,8.0
1982-02-11,0.07,0.01,7.000000000000001
1982-02-12,0.07,0.01,7.000000000000001
1982-02-16,0.08,0.01,8.0
1982-02-17,0.07,0.01,7.000000000000001
1982-02-18,0.07,0.01,7.000000000000001
1982-02-19,0.07,0.01,7.000000000000001
1982-02-22,0.06,0.01,6.0
1982-02-23,0.06,0.01,6.0
1982-02-24,0.06,0.01,6.0
1982-02-25,0.06,0.01,6.0
1982-02-26,0.06,0.01,6.0
1982-03-01,0.06,0.01,6.0
1982-03-02,0.06,0.01,6.0
1982-03-03,0.06,0.01,6.0
1982-03-04,0.06,0.01,6.0
1982-03-05,0.06,0.01,6.0
1982-03-08,0.06,0.01,6.0
1982-03-09,0.06,0.01,6.0
1982-03-10,0.06,0.01,6.0
1982-03-11,0.06,0.01,6.0
1982-03-12,0.06,0.01,6.0
1982-03-15,0.06,0.01,6.0
1982-03-16,0.06,0.01,6.0
1982-03-17,0.06,0.01,6.0
1982-03-18,0.07,0.01,7.000000000000001
1982-03-19,0.07,0.01,7.000000000000001
1982-03-22,0.07,0.01,7.000000000000001
1982-03-23,0.07,0.01,7.000000000000001
1982-03-24,0.07,0.01,7.000000000000001
1982-03-25,0.07,0.01,7.000000000000001
1982-03-26,0.07,0.01,7.000000000000001
1982-03-29,0.07,0.01,7.000000000000001
1982-03-30,0.07,0.01,7.000000000000001
1982-03-31,0.07,0.01,7.000000000000001
1982-04-01,0.07,0.01,7.000000000000001
1982-04-02,0.07,0.01,7.000000000000001
1982-04-05,0.08,0.01,8.0
1982-04-06,0.08,0.01,8.0
1982-04-07,0.08,0.01,8.0
1982-04-08,0.09,0.01,9.0
1982-04-12,0.09,0.01,9.0
1982-04-13,0.09,0.01,9.0
1982-04-14,0.09,0.01,9.0
1982-04-15,0.09,0.01,9.0
1982-04-16,0.09,0.01,9.0
1982-04-19,0.09,0.01,9.0
1982-04-20,0.09,0.01,9.0
1982-04-21,0.09,0.01,9.0
1982-04-22,0.09,0.01,9.0
1982-04-23,0.09,0.01,9.0
1982-04-26,0.09,0.01,9.0
1982-04-27,0.08,0.01,8.0
1982-04-28,0.08,0.01,8.0
1982-04-29,0.08,0.01,8.0
1982-04-30,0.08,0.01,8.0
1982-05-03,0.08,0.01,8.0
1982-05-04,0.08,0.01,8.0
1982-05-05,0.08,0.01,8.0
1982-05-06,0.08,0.01,8.0
1982-05-07,0.08,0.01,8.0
1982-05-10,0.08,0.01,8.0
1982-05-11,0.08,0.01,8.0
1982-05-12,0.08,0.01,8.0
1982-05-13,0.08,0.01,8.0
1982-05-14,0.08,0.01,8.0
1982-05-17,0.08,0.01,8.0
1982-05-18,0.08,0.01,8.0
1982-05-19,0.08,0.01,8.0
1982-05-20,0.08,0.01,8.0
1982-05-21,0.08,0.01,8.0
1982-05-24,0.08,0.01,8.0
1982-05-25,0.08,0.01,8.0
1982-05-26,0.08,0.01,8.0
1982-05-27,0.08,0.01,8.0
1982-05-28,0.08,0.01,8.0
1982-06-01,0.08,0.01,8.0
1982-06-02,0.08,0.01,8.0
1982-06-03,0.08,0.01,8.0
1982-06-04,0.09,0.01,9.0
1982-06-07,0.08,0.01,8.0
1982-06-08,0.08,0.01,8.0
1982-06-09,0.08,0.01,8.0
1982-06-10,0.08,0.01,8.0
1982-06-11,0.08,0.01,8.0
1982-06-14,0.09,0.01,9.0
1982-06-15,0.09,0.01,9.0
1982-06-16,0.09,0.01,9.0
1982-06-17,0.09,0.01,9.0
1982-06-18,0.09,0.01,9.0
1982-06-21,0.09,0.01,9.0
1982-06-22,0.09,0.01,9.0
1982-06-23,0.09,0.01,9.0
1982-06-24,0.09,0.01,9.0
1982-06-25,0.09,0.01,9.0
1982-06-28,0.09,0.01,9.0
1982-06-29,0.09,0.01,9.0
1982-06-30,0.09,0.01,9.0
1982-07-01,0.09,0.01,9.0
1982-07-02,0.09,0.01,9.0
1982-07-06,0.09,0.01,9.0
1982-07-07,0.09,0.01,9.0
1982-07-08,0.09,0.01,9.0
1982-07-09,0.09,0.01,9.0
1982-07-12,0.09,0.01,9.0
1982-07-13,0.1,0.01,10.0
1982-07-14,0.1,0.01,10.0
1982-07-15,0.11,0.01,11.0
1982-07-16,0.1,0.01,10.0
1982-07-19,0.1,0.01,10.0
1982-07-20,0.11,0.01,11.0
1982-07-21,0.11,0.01,11.0
1982-07-22,0.11,0.01,11.0
1982-07-23,0.11,0.01,11.0
1982-07-26,0.11,0.01,11.0
1982-07-27,0.11,0.01,11.0
1982-07-28,0.11,0.01,11.0
1982-07-29,0.11,0.01,11.0
1982-07-30,0.11,0.01,11.0
1982-08-02,0.11,0.01,11.0
1982-08-03,0.11,0.01,11.0
1982-08-04,0.11,0.01,11.0
1982-08-05,0.11,0.01,11.0
1982-08-06,0.1,0.01,10.0
1982-08-09,0.1,0.01,10.0
1982-08-10,0.1,0.01,10.0
1982-08-11,0.1,0.01,10.0
1982-08-12,0.1,0.01,10.0
1982-08-13,0.1,0.01,10.0
1982-08-16,0.1,0.01,10.0
1982-08-17,0.1,0.01,10.0
1982-08-18,0.1,0.01,10.0
1982-08-19,0.1,0.01,10.0
1982-08-20,0.11,0.01,11.0
1982-08-23,0.11,0.01,11.0
1982-08-24,0.11,0.01,11.0
1982-08-25,0.12,0.01,12.0
1982-08-26,0.12,0.01,12.0
1982-08-27,0.11,0.01,11.0
1982-08-30,0.12,0.01,12.0
1982-08-31,0.12,0.01,12.0
1982-09-01,0.12,0.01,12.0
1982-09-02,0.11,0.01,11.0
1982-09-03,0.11,0.01,11.0
1982-09-07,0.12,0.01,12.0
1982-09-08,0.12,0.01,12.0
1982-09-09,0.12,0.01,12.0
1982-09-10,0.12,0.01,12.0
1982-09-13,0.12,0.01,12.0
1982-09-14,0.12,0.01,12.0
1982-09-15,0.12,0.01,12.0
1982-09-16,0.12,0.01,12.0
1982-09-17,0.12,0.01,12.0
1982-09-20,0.12,0.01,12.0
1982-09-21,0.12,0.01,12.0
1982-09-22,0.13,0.01,13.0
1982-09-23,0.13,0.01,13.0
1982-09-24,0.13,0.01,13.0
1982-09-27,0.13,0.01,13.0
1982-09-28,0.13,0.01,13.0
1982-09-29,0.13,0.01,13.0
1982-09-30,0.13,0.01,13.0
1982-10-01,0.13,0.01,13.0
1982-10-04,0.13,0.01,13.0
1982-10-05,0.14,0.01,14.000000000000002
1982-10-06,0.14,0.01,14.000000000000002
1982-10-07,0.15,0.01,15.0
1982-10-08,0.16,0.01,16.0
1982-10-11,0.16,0.01,16.0
1982-10-12,0.17,0.01,17.0
1982-10-13,0.16,0.01,16.0
1982-10-14,0.17,0.01,17.0
1982-10-15,0.17,0.01,17.0
1982-10-18,0.17,0.01,17.0
1982-10-19,0.17,0.01,17.0
1982-10-20,0.17,0.01,17.0
1982-10-21,0.17,0.01,17.0
1982-10-22,0.17,0.01,17.0
1982-10-25,0.17,0.01,17.0
1982-10-26,0.17,0.01,17.0
1982-10-27,0.16,0.01,16.0
1982-10-28,0.16,0.01,16.0
1982-10-29,0.16,0.01,16.0
1982-11-01,0.16,0.01,16.0
1982-11-02,0.17,0.01,17.0
1982-11-03,0.17,0.01,17.0
1982-11-04,0.17,0.01,17.0
1982-11-05,0.17,0.01,17.0
1982-11-08,0.17,0.01,17.0
1982-11-09,0.17,0.01,17.0
1982-11-10,0.17,0.01,17.0
1982-11-11,0.17,0.01,17.0
1982-11-12,0.17,0.01,17.0
1982-11-15,0.16,0.01,16.0
1982-11-16,0.15,0.01,15.0
1982-11-17,0.15,0.01,15.0
1982-11-18,0.15,0.01,15.0
1982-11-19,0.16,0.01,16.0
1982-11-22,0.16,0.01,16.0
1982-11-23,0.17,0.01,17.0
1982-11-24,0.17,0.01,17.0
1982-11-26,0.17,0.01,17.0
1982-11-29,0.17,0.01,17.0
1982-11-30,0.17,0.01,17.0
1982-12-01,0.18,0.01,18.0
1982-12-02,0.17,0.01,17.0
1982-12-03,0.17,0.01,17.0
1982-12-06,0.17,0.01,17.0
1982-12-07,0.17,0.01,17.0
1982-12-08,0.17,0.01,17.0
1982-12-09,0.17,0.01,17.0
1982-12-10,0.16,0.01,16.0
1982-12-13,0.17,0.01,17.0
1982-12-14,0.17,0.01,17.0
1982-12-15,0.16,0.01,16.0
1982-12-16,0.16,0.01,16.0
1982-12-17,0.16,0.01,16.0
1982-12-20,0.16,0.01,16.0
1982-12-21,0.15,0.01,15.0
1982-12-22,0.15,0.01,15.0
1982-12-23,0.15,0.01,15.0
1982-12-27,0.15,0.01,15.0
1982-12-28,0.15,0.01,15.0
1982-12-29,0.15,0.01,15.0
1982-12-30,0.15,0.01,15.0
1982-12-31,0.15,0.01,15.0
1983-01-03,0.15,0.01,15.0
1983-01-04,0.15,0.01,15.0
1983-01-05,0.15,0.01,15.0
1983-01-06,0.16,0.01,16.0
1983-01-07,0.16,0.01,16.0
1983-01-10,0.17,0.01,17.0
1983-01-11,0.17,0.01,17.0
1983-01-12,0.17,0.01,17.0
1983-01-13,0.17,0.01,17.0
