date,GD,GD_EPS,PE Ratio
1978-06-28,1.95,,
1978-06-29,1.93,,
1978-06-30,1.92,,
1978-07-03,1.84,,
1978-07-05,1.83,,
1978-07-06,1.81,,
1978-07-07,1.79,,
1978-07-10,1.83,,
1978-07-11,1.84,,
1978-07-12,1.84,,
1978-07-13,1.83,,
1978-07-14,1.91,,
1978-07-17,1.84,,
1978-07-18,1.84,,
1978-07-19,1.87,,
1978-07-20,1.87,,
1978-07-21,1.86,,
1978-07-24,1.88,,
1978-07-25,2.01,,
1978-07-26,1.98,,
1978-07-27,1.99,,
1978-07-28,1.99,,
1978-07-31,2.08,,
1978-08-01,2.09,,
1978-08-02,2.22,,
1978-08-03,2.17,,
1978-08-04,2.13,,
1978-08-07,2.13,,
1978-08-08,2.14,,
1978-08-09,2.17,,
1978-08-10,2.13,,
1978-08-11,2.11,,
1978-08-14,2.09,,
1978-08-15,2.08,,
1978-08-16,2.06,,
1978-08-17,1.99,,
1978-08-18,2.0,,
1978-08-21,2.01,,
1978-08-22,2.04,,
1978-08-23,2.11,,
1978-08-24,2.16,,
1978-08-25,2.18,,
1978-08-28,2.18,,
1978-08-29,2.14,,
1978-08-30,2.15,,
1978-08-31,2.13,,
1978-09-01,2.14,,
1978-09-05,2.14,,
1978-09-06,2.18,,
1978-09-07,2.19,,
1978-09-08,2.32,,
1978-09-11,2.29,,
1978-09-12,2.23,,
1978-09-13,2.21,,
1978-09-14,2.21,,
1978-09-15,2.18,,
1978-09-18,2.09,,
1978-09-19,2.09,,
1978-09-20,2.05,,
1978-09-21,2.05,,
1978-09-22,2.09,,
1978-09-25,2.07,,
1978-09-26,2.1,,
1978-09-27,2.04,,
1978-09-28,2.07,,
1978-09-29,2.06,,
1978-10-02,2.08,,
1978-10-03,2.06,,
1978-10-04,2.09,,
1978-10-05,2.09,,
1978-10-06,2.08,,
1978-10-09,2.08,,
1978-10-10,2.08,,
1978-10-11,2.11,,
1978-10-12,2.13,,
1978-10-13,2.13,,
1978-10-16,2.09,,
1978-10-17,2.08,,
1978-10-18,2.02,,
1978-10-19,1.94,,
1978-10-20,1.89,,
1978-10-23,1.86,,
1978-10-24,1.82,,
1978-10-25,1.77,,
1978-10-26,1.72,,
1978-10-27,1.61,,
1978-10-30,1.72,,
1978-10-31,1.63,,
1978-11-01,1.74,,
1978-11-02,1.71,,
1978-11-03,1.76,,
1978-11-06,1.78,,
1978-11-07,1.74,,
1978-11-08,1.78,,
1978-11-09,1.75,,
1978-11-10,1.76,,
1978-11-13,1.71,,
1978-11-14,1.69,,
1978-11-15,1.7,,
1978-11-16,1.73,,
1978-11-17,1.76,,
1978-11-20,1.79,,
1978-11-21,1.77,,
1978-11-22,1.78,,
1978-11-24,1.86,,
1978-11-27,1.88,,
1978-11-28,1.85,,
1978-11-29,1.83,,
1978-11-30,1.87,,
1978-12-01,2.01,,
1978-12-04,2.02,,
1978-12-05,2.03,,
1978-12-06,2.01,,
1978-12-07,1.94,,
1978-12-08,1.91,,
1978-12-11,1.97,,
1978-12-12,1.93,,
1978-12-13,1.91,,
1978-12-14,1.97,,
1978-12-15,1.94,,
1978-12-18,1.89,,
1978-12-19,1.9,,
1978-12-20,1.95,,
1978-12-21,2.0,,
1978-12-22,2.03,,
1978-12-26,2.03,,
1978-12-27,1.98,,
1978-12-28,1.97,,
1978-12-29,1.99,,
1979-01-02,1.99,,
1979-01-03,1.99,,
1979-01-04,2.03,,
1979-01-05,2.24,,
1979-01-08,2.23,,
1979-01-09,2.23,,
1979-01-10,2.2,,
1979-01-11,2.23,,
1979-01-12,2.28,,
1979-01-15,2.24,,
1979-01-16,2.19,,
1979-01-17,2.2,,
1979-01-18,2.18,,
1979-01-19,2.16,,
1979-01-22,2.16,,
1979-01-23,2.21,,
1979-01-24,2.17,,
1979-01-25,2.2,,
1979-01-26,2.28,,
1979-01-29,2.28,,
1979-01-30,2.21,,
1979-01-31,2.1,,
1979-02-01,2.16,,
1979-02-02,2.16,,
1979-02-05,2.08,,
1979-02-06,2.1,,
1979-02-07,2.06,,
1979-02-08,2.03,,
1979-02-09,2.01,,
1979-02-12,2.02,,
1979-02-13,2.06,,
1979-02-14,2.03,,
1979-02-15,2.0,,
1979-02-16,2.01,,
1979-02-20,1.98,,
1979-02-21,1.95,,
1979-02-22,1.94,,
1979-02-23,1.94,,
1979-02-26,1.92,,
1979-02-27,1.84,,
1979-02-28,1.89,,
1979-03-01,1.95,,
1979-03-02,1.95,,
1979-03-05,1.99,,
1979-03-06,1.98,,
1979-03-07,2.02,,
1979-03-08,2.06,,
1979-03-09,2.06,,
1979-03-12,2.08,,
1979-03-13,2.06,,
1979-03-14,2.05,,
1979-03-15,2.07,,
1979-03-16,2.13,,
1979-03-19,2.17,,
1979-03-20,2.09,,
1979-03-21,2.13,,
1979-03-22,2.16,,
1979-03-23,2.16,,
1979-03-26,2.14,,
1979-03-27,2.15,,
1979-03-28,2.1,,
1979-03-29,2.09,,
1979-03-30,2.05,,
1979-04-02,2.0,,
1979-04-03,2.08,,
1979-04-04,2.11,,
1979-04-05,2.16,,
1979-04-06,2.14,,
1979-04-09,2.13,,
1979-04-10,2.12,,
1979-04-11,2.1,,
1979-04-12,2.1,,
1979-04-16,2.05,,
1979-04-17,2.04,,
1979-04-18,2.03,,
1979-04-19,2.01,,
1979-04-20,1.99,,
1979-04-23,2.0,,
1979-04-24,2.02,,
1979-04-25,2.02,,
1979-04-26,2.02,,
1979-04-27,1.95,,
1979-04-30,1.94,,
1979-05-01,1.95,,
1979-05-02,1.96,,
1979-05-03,1.92,,
1979-05-04,1.86,,
1979-05-07,1.81,,
1979-05-08,1.84,,
1979-05-09,1.85,,
1979-05-10,1.82,,
1979-05-11,1.81,,
1979-05-14,1.76,,
1979-05-15,1.75,,
1979-05-16,1.75,,
1979-05-17,1.83,,
1979-05-18,1.82,,
1979-05-21,1.82,,
1979-05-22,1.85,,
1979-05-23,1.86,,
1979-05-24,1.88,,
1979-05-25,1.89,,
1979-05-29,1.87,,
1979-05-30,1.85,,
1979-05-31,1.8,,
1979-06-01,1.8,,
1979-06-04,1.79,,
1979-06-05,1.84,,
1979-06-06,1.8,,
1979-06-07,1.84,,
1979-06-08,1.86,,
1979-06-11,1.86,,
1979-06-12,1.92,,
1979-06-13,1.93,,
1979-06-14,1.96,,
1979-06-15,1.93,,
1979-06-18,1.91,,
1979-06-19,1.92,,
1979-06-20,1.93,,
1979-06-21,1.95,,
1979-06-22,1.99,,
1979-06-25,2.0,,
1979-06-26,2.0,,
1979-06-27,2.03,,
1979-06-28,2.05,,
1979-06-29,2.02,,
1979-07-02,1.96,,
1979-07-03,1.96,,
1979-07-05,2.0,,
1979-07-06,2.02,,
1979-07-09,2.08,,
1979-07-10,2.03,,
1979-07-11,2.02,,
1979-07-12,1.98,,
1979-07-13,1.97,,
1979-07-16,1.99,,
1979-07-17,1.98,,
1979-07-18,1.97,,
1979-07-19,1.94,,
1979-07-20,1.91,,
1979-07-23,1.89,,
1979-07-24,1.88,,
1979-07-25,1.9,,
1979-07-26,1.91,,
1979-07-27,1.91,,
1979-07-30,1.95,,
1979-07-31,2.02,,
1979-08-01,2.13,,
1979-08-02,2.17,,
1979-08-03,2.26,,
1979-08-06,2.41,,
1979-08-07,2.38,,
1979-08-08,2.36,,
1979-08-09,2.33,,
1979-08-10,2.41,,
1979-08-13,2.5,,
1979-08-14,2.52,,
1979-08-15,2.63,,
1979-08-16,2.61,,
1979-08-17,2.63,,
1979-08-20,2.64,,
1979-08-21,2.66,,
1979-08-22,2.63,,
1979-08-23,2.58,,
1979-08-24,2.5,,
1979-08-27,2.56,,
1979-08-28,2.59,,
1979-08-29,2.59,,
1979-08-30,2.59,,
1979-08-31,2.62,,
1979-09-04,2.56,,
1979-09-05,2.51,,
1979-09-06,2.48,,
1979-09-07,2.49,,
1979-09-10,2.56,,
1979-09-11,2.55,,
1979-09-12,2.61,,
1979-09-13,2.64,,
1979-09-14,2.78,,
1979-09-17,2.78,,
1979-09-18,2.73,,
1979-09-19,2.71,,
1979-09-20,2.78,,
1979-09-21,2.82,,
1979-09-24,2.8,,
1979-09-25,2.8,,
1979-09-26,2.8,,
1979-09-27,2.79,,
1979-09-28,2.8,,
1979-10-01,2.77,,
1979-10-02,2.88,,
1979-10-03,2.96,,
1979-10-04,2.92,,
1979-10-05,2.94,,
1979-10-08,2.97,,
1979-10-09,2.82,,
1979-10-10,2.78,,
1979-10-11,2.77,,
1979-10-12,2.75,,
1979-10-15,2.69,,
1979-10-16,2.66,,
1979-10-17,2.64,,
1979-10-18,2.65,,
1979-10-19,2.59,,
1979-10-22,2.55,,
1979-10-23,2.61,,
1979-10-24,2.67,,
1979-10-25,2.64,,
1979-10-26,2.66,,
1979-10-29,2.73,,
1979-10-30,2.85,,
1979-10-31,2.84,,
1979-11-01,2.9,,
1979-11-02,2.91,,
1979-11-05,2.89,,
1979-11-06,2.87,,
1979-11-07,2.75,,
1979-11-08,2.75,,
1979-11-09,2.83,,
1979-11-12,2.88,,
1979-11-13,2.88,,
1979-11-14,2.91,,
1979-11-15,2.95,,
1979-11-16,2.98,,
1979-11-19,2.99,,
1979-11-20,3.02,,
1979-11-21,3.12,,
1979-11-23,3.3,,
1979-11-26,3.37,,
1979-11-27,3.31,,
1979-11-28,3.38,,
1979-11-29,3.43,,
1979-11-30,3.5,,
1979-12-03,3.47,,
1979-12-04,3.58,,
1979-12-05,3.61,,
1979-12-06,3.59,,
1979-12-07,3.48,,
1979-12-10,3.52,,
1979-12-11,3.51,,
1979-12-12,3.52,,
1979-12-13,3.7,,
1979-12-14,3.7,,
1979-12-17,3.77,,
1979-12-18,3.66,,
1979-12-19,3.63,,
1979-12-20,3.64,,
1979-12-21,3.55,,
1979-12-24,3.56,,
1979-12-26,3.59,,
1979-12-27,3.66,,
1979-12-28,3.71,,
1979-12-31,3.78,,
1980-01-02,3.67,,
1980-01-03,3.88,,
1980-01-04,4.25,,
1980-01-07,4.3,,
1980-01-08,4.31,,
1980-01-09,4.24,,
1980-01-10,4.26,,
1980-01-11,4.32,,
1980-01-14,4.32,,
1980-01-15,4.5,,
1980-01-16,4.46,,
1980-01-17,4.47,,
1980-01-18,4.48,,
1980-01-21,4.59,,
1980-01-22,4.56,,
1980-01-23,4.75,,
1980-01-24,4.74,,
1980-01-25,4.84,,
1980-01-28,4.99,,
1980-01-29,5.0,,
1980-01-30,5.33,,
1980-01-31,5.02,,
1980-02-01,5.02,,
1980-02-04,4.79,,
1980-02-05,4.88,,
1980-02-06,4.77,,
1980-02-07,4.79,,
1980-02-08,4.78,,
1980-02-11,4.67,,
1980-02-12,4.8,,
1980-02-13,4.67,,
1980-02-14,4.48,,
1980-02-15,4.53,,
1980-02-19,4.5,,
1980-02-20,4.59,,
1980-02-21,4.56,,
1980-02-22,4.59,,
1980-02-25,4.59,,
1980-02-26,4.64,,
1980-02-27,4.5,,
1980-02-28,4.48,,
1980-02-29,4.52,,
1980-03-03,4.6,,
1980-03-04,4.61,,
1980-03-05,4.59,,
1980-03-06,4.52,,
1980-03-07,4.41,,
1980-03-10,4.39,,
1980-03-11,4.5,,
1980-03-12,4.69,,
1980-03-13,4.53,,
1980-03-14,4.48,,
1980-03-17,4.19,,
1980-03-18,4.25,,
1980-03-19,4.34,,
1980-03-20,4.37,,
1980-03-21,4.22,,
1980-03-24,4.05,,
1980-03-25,4.27,,
1980-03-26,4.07,,
1980-03-27,4.22,,
1980-03-28,4.22,,
1980-03-31,4.2,,
1980-04-01,4.23,,
1980-04-02,4.25,,
1980-04-03,4.26,,
1980-04-07,4.14,,
1980-04-08,4.2,,
1980-04-09,4.39,,
1980-04-10,4.36,,
1980-04-11,4.37,,
1980-04-14,4.32,,
1980-04-15,4.2,,
1980-04-16,4.14,,
1980-04-17,4.05,,
1980-04-18,3.99,,
1980-04-21,3.73,,
1980-04-22,4.07,,
1980-04-23,4.05,,
1980-04-24,4.08,,
1980-04-25,4.27,,
1980-04-28,4.3,,
1980-04-29,4.28,,
1980-04-30,4.23,,
1980-05-01,4.05,,
1980-05-02,3.98,,
1980-05-05,3.91,,
1980-05-06,3.75,,
1980-05-07,3.85,,
1980-05-08,3.78,,
1980-05-09,3.77,,
1980-05-12,3.79,,
1980-05-13,3.84,,
1980-05-14,3.89,,
1980-05-15,3.88,,
1980-05-16,3.88,,
1980-05-19,3.87,,
1980-05-20,3.86,,
1980-05-21,3.81,,
1980-05-22,3.95,,
1980-05-23,4.0,,
1980-05-27,3.97,,
1980-05-28,3.95,,
1980-05-29,3.92,,
1980-05-30,3.95,,
1980-06-02,4.02,,
1980-06-03,4.08,,
1980-06-04,4.13,,
1980-06-05,4.08,,
1980-06-06,4.06,,
1980-06-09,4.05,,
1980-06-10,4.11,,
1980-06-11,4.13,,
1980-06-12,4.23,,
1980-06-13,4.27,,
1980-06-16,4.25,,
1980-06-17,4.23,,
1980-06-18,4.23,,
1980-06-19,4.17,,
1980-06-20,4.09,,
1980-06-23,4.13,,
1980-06-24,4.19,,
1980-06-25,4.24,,
1980-06-26,4.19,,
1980-06-27,4.17,,
1980-06-30,4.13,,
1980-07-01,4.09,,
1980-07-02,4.07,,
1980-07-03,4.16,,
1980-07-07,4.2,,
1980-07-08,4.23,,
1980-07-09,4.32,,
1980-07-10,4.34,,
1980-07-11,4.33,,
1980-07-14,4.67,,
1980-07-15,4.52,,
1980-07-16,4.61,,
1980-07-17,4.77,,
1980-07-18,4.72,,
1980-07-21,4.74,,
1980-07-22,4.65,,
1980-07-23,4.61,,
1980-07-24,4.56,,
1980-07-25,4.5,,
1980-07-28,4.61,,
1980-07-29,4.67,,
1980-07-30,4.63,,
1980-07-31,4.56,,
1980-08-01,4.5,,
1980-08-04,4.56,,
1980-08-05,4.56,,
1980-08-06,4.59,,
1980-08-07,4.67,,
1980-08-08,4.61,,
1980-08-11,4.59,,
1980-08-12,4.53,,
1980-08-13,4.49,,
1980-08-14,4.5,,
1980-08-15,4.51,,
1980-08-18,4.5,,
1980-08-19,4.39,,
1980-08-20,4.37,,
1980-08-21,4.4,,
1980-08-22,4.5,,
1980-08-25,4.52,,
1980-08-26,4.53,,
1980-08-27,4.48,,
1980-08-28,4.48,,
1980-08-29,4.48,,
1980-09-02,4.51,,
1980-09-03,4.56,,
1980-09-04,4.58,,
1980-09-05,4.48,,
1980-09-08,4.31,,
1980-09-09,4.25,,
1980-09-10,4.24,,
1980-09-11,4.28,,
1980-09-12,4.3,,
1980-09-15,4.24,,
1980-09-16,4.31,,
1980-09-17,4.59,,
1980-09-18,4.52,,
1980-09-19,4.54,,
1980-09-22,4.55,,
1980-09-23,4.52,,
1980-09-24,4.54,,
1980-09-25,4.48,,
1980-09-26,4.36,,
1980-09-29,4.26,,
1980-09-30,4.3,,
1980-10-01,4.16,,
1980-10-02,4.2,,
1980-10-03,4.29,,
1980-10-06,4.34,,
1980-10-07,4.3,,
1980-10-08,4.29,,
1980-10-09,4.2,,
1980-10-10,4.13,,
1980-10-13,4.2,,
1980-10-14,4.22,,
1980-10-15,4.23,,
1980-10-16,4.14,,
1980-10-17,4.05,,
1980-10-20,4.02,,
1980-10-21,3.98,,
1980-10-22,3.97,,
1980-10-23,3.86,,
1980-10-24,3.77,,
1980-10-27,3.69,,
1980-10-28,3.76,,
1980-10-29,3.84,,
1980-10-30,3.91,,
1980-10-31,4.13,,
1980-11-03,4.25,,
1980-11-05,4.25,,
1980-11-06,4.45,,
1980-11-07,4.52,,
1980-11-10,4.63,,
1980-11-11,4.73,,
1980-11-12,4.97,,
1980-11-13,4.91,,
1980-11-14,4.88,,
1980-11-17,5.13,,
1980-11-18,5.28,,
1980-11-19,5.28,,
1980-11-20,5.5,,
1980-11-21,5.42,,
1980-11-24,5.56,,
1980-11-25,5.41,,
1980-11-26,5.25,,
1980-11-28,5.05,,
1980-12-01,4.81,,
1980-12-02,4.69,,
1980-12-03,4.94,,
1980-12-04,5.03,,
1980-12-05,4.92,,
1980-12-08,4.7,,
1980-12-09,4.73,,
1980-12-10,4.67,,
1980-12-11,4.59,,
1980-12-12,4.75,,
1980-12-15,4.72,,
1980-12-16,4.75,,
1980-12-17,4.7,,
1980-12-18,4.66,,
1980-12-19,4.7,,
1980-12-22,4.69,,
1980-12-23,4.63,,
1980-12-24,4.66,,
1980-12-26,4.89,,
1980-12-29,5.02,,
1980-12-30,5.19,,
1980-12-31,5.34,,
1981-01-02,5.25,,
1981-01-05,5.16,,
1981-01-06,5.11,,
1981-01-07,4.83,,
1981-01-08,4.73,,
1981-01-09,4.78,,
1981-01-12,4.8,,
1981-01-13,4.72,,
1981-01-14,4.75,,
1981-01-15,4.81,,
1981-01-16,4.88,,
1981-01-19,4.86,,
1981-01-20,4.73,,
1981-01-21,4.69,,
1981-01-22,4.67,,
1981-01-23,4.48,,
1981-01-26,4.23,,
1981-01-27,4.41,,
1981-01-28,4.28,,
1981-01-29,4.38,,
1981-01-30,4.3,,
1981-02-02,4.02,,
1981-02-03,4.09,,
1981-02-04,4.13,,
1981-02-05,4.16,,
1981-02-06,4.14,,
1981-02-09,3.95,,
1981-02-10,4.09,,
1981-02-11,4.05,,
1981-02-12,4.14,,
1981-02-13,4.14,,
1981-02-17,4.16,,
1981-02-18,4.13,,
1981-02-19,4.02,,
1981-02-20,3.92,,
1981-02-23,4.0,,
1981-02-24,4.06,,
1981-02-25,4.16,,
1981-02-26,4.2,,
1981-02-27,4.22,,
1981-03-02,4.13,,
1981-03-03,4.03,,
1981-03-04,4.13,,
1981-03-05,4.0,,
1981-03-06,4.25,,
1981-03-09,4.55,,
1981-03-10,4.44,,
1981-03-11,4.36,,
1981-03-12,4.39,,
1981-03-13,4.36,,
1981-03-16,4.33,,
1981-03-17,4.28,,
1981-03-18,4.06,,
1981-03-19,4.03,,
1981-03-20,4.22,,
1981-03-23,4.39,,
1981-03-24,4.25,,
1981-03-25,4.36,,
1981-03-26,4.3,,
1981-03-27,4.28,,
1981-03-30,4.16,,
1981-03-31,4.19,,
1981-04-01,4.14,,
1981-04-02,4.06,,
