date,BA,BA_EPS,PE Ratio
1990-07-03,29.88,,
1990-07-05,29.63,,
1990-07-06,30.25,,
1990-07-09,30.19,,
1990-07-10,30.0,,
1990-07-11,30.75,,
1990-07-12,30.56,,
1990-07-13,30.56,,
1990-07-16,30.56,,
1990-07-17,30.13,,
1990-07-18,29.75,,
1990-07-19,29.5,,
1990-07-20,29.0,,
1990-07-23,27.94,,
1990-07-24,28.44,,
1990-07-25,29.13,,
1990-07-26,29.56,,
1990-07-27,29.63,,
1990-07-30,29.31,,
1990-07-31,28.88,,
1990-08-01,27.88,,
1990-08-02,26.75,,
1990-08-03,27.0,,
1990-08-06,25.25,,
1990-08-07,26.0,,
1990-08-08,26.5,,
1990-08-09,27.25,,
1990-08-10,26.63,,
1990-08-13,26.31,,
1990-08-14,26.0,,
1990-08-15,26.19,,
1990-08-16,25.31,,
1990-08-17,24.25,,
1990-08-20,24.25,,
1990-08-21,23.06,,
1990-08-22,22.5,,
1990-08-23,21.25,,
1990-08-24,22.94,,
1990-08-27,24.19,,
1990-08-28,23.94,,
1990-08-29,24.38,,
1990-08-30,24.13,,
1990-08-31,24.13,,
1990-09-04,24.31,,
1990-09-05,24.38,,
1990-09-06,23.63,,
1990-09-07,23.5,,
1990-09-10,23.69,,
1990-09-11,23.81,,
1990-09-12,23.81,,
1990-09-13,23.44,,
1990-09-14,23.06,,
1990-09-17,22.81,,
1990-09-18,22.63,,
1990-09-19,22.0,,
1990-09-20,21.94,,
1990-09-21,21.63,,
1990-09-24,20.19,,
1990-09-25,20.38,,
1990-09-26,20.44,,
1990-09-27,19.81,,
1990-09-28,20.81,,
1990-10-01,22.13,,
1990-10-02,21.63,,
1990-10-03,21.31,,
1990-10-04,21.5,,
1990-10-05,21.75,,
1990-10-08,21.94,,
1990-10-09,22.19,,
1990-10-10,21.94,,
1990-10-11,21.5,,
1990-10-12,22.25,,
1990-10-15,23.0,,
1990-10-16,22.69,,
1990-10-17,23.0,,
1990-10-18,24.13,,
1990-10-19,24.25,,
1990-10-22,24.25,,
1990-10-23,23.69,,
1990-10-24,23.56,,
1990-10-25,23.94,,
1990-10-26,23.06,,
1990-10-29,23.06,,
1990-10-30,22.25,,
1990-10-31,22.38,,
1990-11-01,22.13,,
1990-11-02,23.0,,
1990-11-05,23.06,,
1990-11-06,22.69,,
1990-11-07,22.25,,
1990-11-08,22.13,,
1990-11-09,22.44,,
1990-11-12,22.88,,
1990-11-13,23.19,,
1990-11-14,23.44,,
1990-11-15,23.25,,
1990-11-16,23.19,,
1990-11-19,23.63,,
1990-11-20,21.31,,
1990-11-21,22.13,,
1990-11-23,22.31,,
1990-11-26,21.81,,
1990-11-27,21.94,,
1990-11-28,21.44,,
1990-11-29,21.5,,
1990-11-30,22.13,,
1990-12-03,22.5,,
1990-12-04,22.75,,
1990-12-05,23.13,,
1990-12-06,23.06,,
1990-12-07,22.75,,
1990-12-10,22.44,,
1990-12-11,22.56,,
1990-12-12,22.88,,
1990-12-13,22.56,,
1990-12-14,22.44,,
1990-12-17,22.25,,
1990-12-18,22.44,,
1990-12-19,22.63,,
1990-12-20,22.94,,
1990-12-21,23.25,,
1990-12-24,23.06,,
1990-12-26,23.13,,
1990-12-27,22.94,,
1990-12-28,22.94,,
1990-12-31,22.69,,
1991-01-02,22.44,,
1991-01-03,22.38,,
1991-01-04,23.19,,
1991-01-07,22.31,,
1991-01-08,22.0,,
1991-01-09,21.88,,
1991-01-10,22.5,,
1991-01-11,22.56,,
1991-01-14,22.19,,
1991-01-15,22.06,,
1991-01-16,22.69,,
1991-01-17,24.13,,
1991-01-18,24.63,,
1991-01-21,24.25,,
1991-01-22,23.56,,
1991-01-23,23.56,,
1991-01-24,24.38,,
1991-01-25,24.56,,
1991-01-28,23.44,,
1991-01-29,23.63,,
1991-01-30,23.94,,
1991-01-31,24.69,,
1991-02-01,24.88,,
1991-02-04,25.81,,
1991-02-05,25.56,,
1991-02-06,26.0,,
1991-02-07,25.5,,
1991-02-08,26.13,,
1991-02-11,25.69,,
1991-02-12,24.13,,
1991-02-13,23.56,,
1991-02-14,24.0,,
1991-02-15,24.5,,
1991-02-19,24.69,,
1991-02-20,24.0,,
1991-02-21,23.75,,
1991-02-22,23.94,,
1991-02-25,23.44,,
1991-02-26,23.06,,
1991-02-27,23.63,,
1991-02-28,24.13,,
1991-03-01,24.63,,
1991-03-04,24.75,,
1991-03-05,25.13,,
1991-03-06,25.13,,
1991-03-07,25.13,,
1991-03-08,24.75,,
1991-03-11,24.19,,
1991-03-12,23.88,,
1991-03-13,24.19,,
1991-03-14,24.19,,
1991-03-15,24.0,,
1991-03-18,24.0,,
1991-03-19,23.56,,
1991-03-20,23.63,,
1991-03-21,23.56,,
1991-03-22,23.88,,
1991-03-25,23.81,,
1991-03-26,24.06,,
1991-03-27,23.81,,
1991-03-28,23.5,,
1991-04-01,23.44,,
1991-04-02,23.63,,
1991-04-03,23.81,,
1991-04-04,24.56,,
1991-04-05,24.44,,
1991-04-08,24.44,,
1991-04-09,23.88,,
1991-04-10,23.69,,
1991-04-11,23.5,,
1991-04-12,23.44,,
1991-04-15,23.31,,
1991-04-16,23.25,,
1991-04-17,23.5,,
1991-04-18,23.63,,
1991-04-19,23.38,,
1991-04-22,23.31,,
1991-04-23,23.75,,
1991-04-24,23.88,,
1991-04-25,23.81,,
1991-04-26,23.06,,
1991-04-29,22.94,,
1991-04-30,22.88,,
1991-05-01,22.75,,
1991-05-02,22.94,,
1991-05-03,23.31,,
1991-05-06,23.5,,
1991-05-07,23.5,,
1991-05-08,23.56,,
1991-05-09,24.06,,
1991-05-10,23.5,,
1991-05-13,23.5,,
1991-05-14,23.38,,
1991-05-15,23.06,,
1991-05-16,23.31,,
1991-05-17,23.0,,
1991-05-20,23.0,,
1991-05-21,23.13,,
1991-05-22,23.38,,
1991-05-23,23.0,,
1991-05-24,23.19,,
1991-05-28,23.31,,
1991-05-29,23.44,,
1991-05-30,24.19,,
1991-05-31,24.5,,
1991-06-03,24.19,,
1991-06-04,24.13,,
1991-06-05,24.06,,
1991-06-06,23.88,,
1991-06-07,24.0,,
1991-06-10,23.88,,
1991-06-11,24.06,,
1991-06-12,23.94,,
1991-06-13,24.19,,
1991-06-14,24.69,,
1991-06-17,24.5,,
1991-06-18,24.75,,
1991-06-19,24.25,,
1991-06-20,24.38,,
1991-06-21,23.44,,
1991-06-24,22.81,,
1991-06-25,22.88,,
1991-06-26,22.69,,
1991-06-27,22.75,,
1991-06-28,22.88,,
1991-07-01,23.0,,
1991-07-02,22.88,,
1991-07-03,22.5,,
1991-07-05,22.31,,
1991-07-08,22.13,,
1991-07-09,22.19,,
1991-07-10,22.56,,
1991-07-11,22.75,,
1991-07-12,22.81,,
1991-07-15,22.81,,
1991-07-16,22.81,,
1991-07-17,22.63,,
1991-07-18,22.44,,
1991-07-19,21.88,,
1991-07-22,21.63,,
1991-07-23,21.88,,
1991-07-24,21.94,,
1991-07-25,22.0,,
1991-07-26,21.81,,
1991-07-29,22.19,,
1991-07-30,23.25,,
1991-07-31,23.19,,
1991-08-01,22.63,,
1991-08-02,22.75,,
1991-08-05,22.75,,
1991-08-06,23.13,,
1991-08-07,23.25,,
1991-08-08,23.38,,
1991-08-09,23.19,,
1991-08-12,23.0,,
1991-08-13,23.13,,
1991-08-14,23.38,,
1991-08-15,23.75,,
1991-08-16,23.13,,
1991-08-19,22.69,,
1991-08-20,22.94,,
1991-08-21,24.13,,
1991-08-22,24.31,,
1991-08-23,24.31,,
1991-08-26,24.38,,
1991-08-27,24.5,,
1991-08-28,25.06,,
1991-08-29,25.0,,
1991-08-30,24.88,,
1991-09-03,24.81,,
1991-09-04,25.25,,
1991-09-05,26.06,,
1991-09-06,26.19,,
1991-09-09,25.88,,
1991-09-10,25.56,,
1991-09-11,25.0,,
1991-09-12,24.94,,
1991-09-13,24.31,,
1991-09-16,24.5,,
1991-09-17,24.69,,
1991-09-18,24.5,,
1991-09-19,25.0,,
1991-09-20,24.88,,
1991-09-23,24.88,,
1991-09-24,25.13,,
1991-09-25,25.44,,
1991-09-26,25.31,,
1991-09-27,25.19,,
1991-09-30,25.38,,
1991-10-01,25.31,,
1991-10-02,25.06,,
1991-10-03,24.5,,
1991-10-04,24.06,,
1991-10-07,24.19,,
1991-10-08,24.44,,
1991-10-09,24.13,,
1991-10-10,24.5,,
1991-10-11,24.0,,
1991-10-14,24.31,,
1991-10-15,24.56,,
1991-10-16,25.0,,
1991-10-17,25.0,,
1991-10-18,25.0,,
1991-10-21,24.94,,
1991-10-22,24.69,,
1991-10-23,24.75,,
1991-10-24,24.63,,
1991-10-25,24.31,,
1991-10-28,24.69,,
1991-10-29,24.81,,
1991-10-30,24.5,,
1991-10-31,24.63,,
1991-11-01,24.81,,
1991-11-04,24.69,,
1991-11-05,24.69,,
1991-11-06,24.69,,
1991-11-07,24.69,,
1991-11-08,24.38,,
1991-11-11,24.75,,
1991-11-12,24.5,,
1991-11-13,24.63,,
1991-11-14,24.44,,
1991-11-15,22.56,,
1991-11-18,22.88,,
1991-11-19,22.81,,
1991-11-20,22.44,,
1991-11-21,22.06,,
1991-11-22,21.81,,
1991-11-25,22.25,,
1991-11-26,22.13,,
1991-11-27,22.06,,
1991-11-29,22.13,,
1991-12-02,22.44,,
1991-12-03,22.25,,
1991-12-04,20.69,,
1991-12-05,21.06,,
1991-12-06,21.5,,
1991-12-09,21.5,,
1991-12-10,21.19,,
1991-12-11,21.06,,
1991-12-12,21.38,,
1991-12-13,21.5,,
1991-12-16,21.63,,
1991-12-17,21.19,,
1991-12-18,21.0,,
1991-12-19,21.25,,
1991-12-20,21.75,,
1991-12-23,23.06,,
1991-12-24,22.69,,
1991-12-26,23.44,,
1991-12-27,23.06,,
1991-12-30,23.25,,
1991-12-31,23.88,,
1992-01-02,23.63,,
1992-01-03,23.56,,
1992-01-06,23.69,,
1992-01-07,24.06,,
1992-01-08,24.44,,
1992-01-09,24.56,,
1992-01-10,24.19,,
1992-01-13,24.44,,
1992-01-14,25.38,,
1992-01-15,25.94,,
1992-01-16,25.94,,
1992-01-17,25.88,,
1992-01-20,25.44,,
1992-01-21,24.75,,
1992-01-22,25.94,,
1992-01-23,26.06,,
1992-01-24,26.31,,
1992-01-27,27.19,,
1992-01-28,26.81,,
1992-01-29,25.31,,
1992-01-30,26.38,,
1992-01-31,25.44,,
1992-02-03,25.44,,
1992-02-04,25.25,,
1992-02-05,25.13,,
1992-02-06,24.94,,
1992-02-07,24.81,,
1992-02-10,24.0,,
1992-02-11,23.5,,
1992-02-12,23.31,,
1992-02-13,23.31,,
1992-02-14,23.06,,
1992-02-18,23.19,,
1992-02-19,23.06,,
1992-02-20,23.13,,
1992-02-21,23.44,,
1992-02-24,23.5,,
1992-02-25,23.13,,
1992-02-26,22.94,,
1992-02-27,22.81,,
1992-02-28,23.0,,
1992-03-02,23.19,,
1992-03-03,23.44,,
1992-03-04,23.63,,
1992-03-05,23.31,,
1992-03-06,23.06,,
1992-03-09,22.44,,
1992-03-10,22.63,,
1992-03-11,22.44,,
1992-03-12,22.38,,
1992-03-13,22.38,,
1992-03-16,22.5,,
1992-03-17,22.63,,
1992-03-18,22.88,,
1992-03-19,22.63,,
1992-03-20,22.31,,
1992-03-23,21.94,,
1992-03-24,21.75,,
1992-03-25,21.81,,
1992-03-26,22.0,,
1992-03-27,21.88,,
1992-03-30,21.88,,
1992-03-31,21.94,,
1992-04-01,22.63,,
1992-04-02,22.63,,
1992-04-03,22.56,,
1992-04-06,22.38,,
1992-04-07,21.88,,
1992-04-08,21.63,,
1992-04-09,21.5,,
1992-04-10,22.44,,
1992-04-13,22.88,,
1992-04-14,23.19,,
1992-04-15,23.56,,
1992-04-16,23.63,,
1992-04-20,23.38,,
1992-04-21,23.19,,
1992-04-22,23.0,,
1992-04-23,22.75,,
1992-04-24,22.69,,
1992-04-27,22.5,,
1992-04-28,22.19,,
1992-04-29,21.94,,
1992-04-30,22.0,,
1992-05-01,21.88,,
1992-05-04,21.63,,
1992-05-05,21.38,,
1992-05-06,21.69,,
1992-05-07,22.06,,
1992-05-08,22.06,,
1992-05-11,22.0,,
1992-05-12,21.94,,
1992-05-13,21.94,,
1992-05-14,21.94,,
1992-05-15,21.81,,
1992-05-18,21.75,,
1992-05-19,21.88,,
1992-05-20,22.06,,
1992-05-21,22.06,,
1992-05-22,21.88,,
1992-05-26,21.69,,
1992-05-27,21.88,,
1992-05-28,22.0,,
1992-05-29,21.94,,
1992-06-01,22.0,,
1992-06-02,21.5,,
1992-06-03,21.81,,
1992-06-04,22.0,,
1992-06-05,22.44,,
1992-06-08,22.5,,
1992-06-09,22.06,,
1992-06-10,21.69,,
1992-06-11,22.13,,
1992-06-12,21.94,,
1992-06-15,22.0,,
1992-06-16,21.88,,
1992-06-17,21.56,,
1992-06-18,21.06,,
1992-06-19,21.06,,
1992-06-22,20.94,,
1992-06-23,20.94,,
1992-06-24,20.56,,
1992-06-25,20.25,,
1992-06-26,20.0,,
1992-06-29,19.5,,
1992-06-30,19.94,,
1992-07-01,20.56,,
1992-07-02,20.56,,
1992-07-06,20.75,,
1992-07-07,20.63,,
1992-07-08,20.19,,
1992-07-09,20.0,,
1992-07-10,19.5,,
1992-07-13,19.81,,
1992-07-14,19.69,,
1992-07-15,19.94,,
1992-07-16,20.25,,
1992-07-17,20.13,,
1992-07-20,20.19,,
1992-07-21,20.06,,
1992-07-22,19.88,,
1992-07-23,20.0,,
1992-07-24,19.88,,
1992-07-27,19.63,,
1992-07-28,19.5,,
1992-07-29,19.5,,
1992-07-30,19.69,,
1992-07-31,20.0,,
1992-08-03,20.19,,
1992-08-04,20.13,,
1992-08-05,20.19,,
1992-08-06,20.19,,
1992-08-07,20.13,,
1992-08-10,19.88,,
1992-08-11,19.81,,
1992-08-12,19.81,,
1992-08-13,19.69,,
1992-08-14,19.75,,
1992-08-17,19.94,,
1992-08-18,19.75,,
1992-08-19,19.56,,
1992-08-20,19.56,,
1992-08-21,19.25,,
1992-08-24,19.19,,
1992-08-25,18.81,,
1992-08-26,18.56,,
1992-08-27,18.75,,
1992-08-28,18.69,,
1992-08-31,18.63,,
1992-09-01,18.63,,
1992-09-02,18.81,,
1992-09-03,18.69,,
1992-09-04,18.75,,
1992-09-08,18.5,,
1992-09-09,18.44,,
1992-09-10,18.5,,
1992-09-11,18.56,,
1992-09-14,18.88,,
1992-09-15,18.38,,
1992-09-16,17.88,,
1992-09-17,17.75,,
1992-09-18,17.25,,
1992-09-21,17.75,,
1992-09-22,17.56,,
1992-09-23,17.5,,
1992-09-24,17.88,,
1992-09-25,17.75,,
1992-09-28,17.75,,
1992-09-29,17.88,,
1992-09-30,18.38,,
1992-10-01,18.19,,
1992-10-02,18.0,,
1992-10-05,18.38,,
1992-10-06,18.5,,
1992-10-07,18.13,,
1992-10-08,18.13,,
1992-10-09,18.19,,
1992-10-12,18.31,,
1992-10-13,18.69,,
1992-10-14,18.5,,
1992-10-15,18.63,,
1992-10-16,18.5,,
1992-10-19,18.44,,
1992-10-20,18.5,,
1992-10-21,18.69,,
1992-10-22,18.63,,
1992-10-23,18.38,,
1992-10-26,17.88,,
1992-10-27,18.25,,
1992-10-28,18.06,,
1992-10-29,18.06,,
1992-10-30,18.0,,
1992-11-02,18.5,,
1992-11-03,18.19,,
1992-11-04,18.31,,
1992-11-05,18.13,,
1992-11-06,17.94,,
1992-11-09,18.06,,
1992-11-10,17.88,,
1992-11-11,17.56,,
1992-11-12,17.63,,
1992-11-13,17.63,,
1992-11-16,17.56,,
1992-11-17,17.25,,
1992-11-18,17.25,,
1992-11-19,16.88,,
1992-11-20,17.13,,
1992-11-23,17.5,,
1992-11-24,17.31,,
1992-11-25,16.94,,
1992-11-27,17.44,,
1992-11-30,17.56,,
1992-12-01,17.5,,
1992-12-02,17.0,,
1992-12-03,17.25,,
1992-12-04,17.25,,
1992-12-07,17.44,,
1992-12-08,17.31,,
1992-12-09,17.31,,
1992-12-10,17.13,,
1992-12-11,17.19,,
1992-12-14,17.31,,
1992-12-15,17.38,,
1992-12-16,17.38,,
1992-12-17,17.63,,
1992-12-18,17.88,,
1992-12-21,18.44,,
1992-12-22,18.69,,
1992-12-23,19.31,,
1992-12-24,19.63,,
1992-12-28,19.44,,
1992-12-29,19.81,,
1992-12-30,19.75,,
1992-12-31,20.06,,
1993-01-04,19.81,,
1993-01-05,20.0,,
1993-01-06,20.13,,
1993-01-07,20.13,,
1993-01-08,19.5,,
1993-01-11,19.13,,
1993-01-12,19.13,,
1993-01-13,19.13,,
1993-01-14,18.75,,
1993-01-15,18.63,,
1993-01-18,18.81,,
1993-01-19,18.5,,
1993-01-20,18.38,,
1993-01-21,18.19,,
1993-01-22,18.06,,
1993-01-25,18.44,,
1993-01-26,17.75,,
1993-01-27,17.31,,
1993-01-28,17.63,,
1993-01-29,17.63,,
1993-02-01,18.0,,
1993-02-02,17.94,,
1993-02-03,17.81,,
1993-02-04,17.5,,
1993-02-05,17.81,,
1993-02-08,17.69,,
1993-02-09,17.63,,
1993-02-10,17.5,,
1993-02-11,17.19,,
1993-02-12,17.19,,
1993-02-16,16.88,,
1993-02-17,16.88,,
1993-02-18,16.94,,
1993-02-19,16.81,,
1993-02-22,17.19,,
1993-02-23,17.31,,
1993-02-24,17.38,,
1993-02-25,17.31,,
1993-02-26,17.19,,
1993-03-01,17.0,,
1993-03-02,17.06,,
1993-03-03,17.25,,
1993-03-04,17.25,,
1993-03-05,17.31,,
1993-03-08,17.25,,
1993-03-09,17.06,,
1993-03-10,17.44,,
1993-03-11,17.31,,
1993-03-12,17.63,,
1993-03-15,17.81,,
1993-03-16,17.5,,
1993-03-17,17.19,,
1993-03-18,17.25,,
1993-03-19,17.31,,
1993-03-22,17.25,,
1993-03-23,17.69,,
1993-03-24,17.38,,
1993-03-25,17.69,,
1993-03-26,17.5,,
1993-03-29,17.69,,
1993-03-30,17.81,,
1993-03-31,17.5,,
1993-04-01,17.44,,
1993-04-02,17.25,,
1993-04-05,17.44,,
1993-04-06,17.56,,
1993-04-07,18.13,,
1993-04-08,18.06,,
1993-04-12,18.38,,
1993-04-13,18.38,,
1993-04-14,18.38,,
1993-04-15,18.5,,
1993-04-16,18.88,,
1993-04-19,18.81,,
1993-04-20,18.5,,
1993-04-21,18.75,,
1993-04-22,18.94,,
1993-04-23,19.0,,
1993-04-26,18.69,,
1993-04-27,18.94,,
1993-04-28,18.69,,
1993-04-29,19.0,,
1993-04-30,19.0,,
1993-05-03,18.94,,
1993-05-04,19.25,,
1993-05-05,19.5,,
1993-05-06,19.75,,
1993-05-07,19.5,,
1993-05-10,19.13,,
1993-05-11,19.5,,
1993-05-12,19.69,,
1993-05-13,19.75,,
1993-05-14,19.94,,
1993-05-17,20.06,,
1993-05-18,20.0,,
1993-05-19,20.25,,
1993-05-20,20.31,,
1993-05-21,20.0,,
1993-05-24,20.06,,
1993-05-25,20.13,,
1993-05-26,20.0,,
1993-05-27,19.94,,
1993-05-28,19.81,,
1993-06-01,19.88,,
1993-06-02,19.88,,
1993-06-03,19.81,,
1993-06-04,19.81,,
1993-06-07,19.44,,
1993-06-08,19.13,,
1993-06-09,19.38,,
1993-06-10,19.19,,
1993-06-11,19.44,,
1993-06-14,19.44,,
1993-06-15,19.63,,
1993-06-16,19.69,,
1993-06-17,19.38,,
1993-06-18,19.38,,
1993-06-21,19.25,,
1993-06-22,19.13,,
1993-06-23,19.38,,
1993-06-24,19.13,,
1993-06-25,19.13,,
1993-06-28,18.88,,
1993-06-29,18.75,,
1993-06-30,18.5,,
1993-07-01,18.5,,
1993-07-02,18.38,,
1993-07-06,18.25,,
1993-07-07,18.19,,
1993-07-08,18.56,,
1993-07-09,18.69,,
1993-07-12,18.69,,
1993-07-13,18.75,,
1993-07-14,18.88,,
1993-07-15,18.75,,
1993-07-16,18.69,,
1993-07-19,18.81,,
1993-07-20,19.0,,
1993-07-21,19.06,,
1993-07-22,18.75,,
1993-07-23,18.88,,
1993-07-26,19.31,,
1993-07-27,19.31,,
1993-07-28,19.25,,
1993-07-29,19.56,,
1993-07-30,19.69,,
1993-08-02,19.5,,
1993-08-03,19.44,,
1993-08-04,19.13,,
1993-08-05,19.06,,
1993-08-06,19.44,,
1993-08-09,19.56,,
1993-08-10,19.38,,
1993-08-11,19.44,,
1993-08-12,19.38,,
1993-08-13,19.19,,
1993-08-16,19.06,,
1993-08-17,19.19,,
1993-08-18,19.5,,
1993-08-19,19.88,,
1993-08-20,19.75,,
1993-08-23,19.69,,
1993-08-24,19.56,,
1993-08-25,19.63,,
1993-08-26,19.5,,
1993-08-27,19.44,,
1993-08-30,19.5,,
1993-08-31,19.81,,
1993-09-01,19.81,,
1993-09-02,19.81,,
1993-09-03,19.81,,
1993-09-07,19.94,,
1993-09-08,19.75,,
1993-09-09,19.94,,
1993-09-10,20.19,,
1993-09-13,20.19,,
1993-09-14,20.0,,
1993-09-15,20.06,,
1993-09-16,19.94,,
1993-09-17,19.94,,
1993-09-20,20.0,,
1993-09-21,19.94,,
1993-09-22,19.69,,
1993-09-23,19.63,,
1993-09-24,19.44,,
1993-09-27,19.63,,
1993-09-28,19.5,,
1993-09-29,19.44,,
1993-09-30,19.19,,
1993-10-01,19.38,,
1993-10-04,19.31,,
1993-10-05,18.81,,
1993-10-06,19.0,,
1993-10-07,18.88,,
1993-10-08,18.69,,
1993-10-11,18.69,,
1993-10-12,18.69,,
1993-10-13,18.69,,
1993-10-14,19.06,,
1993-10-15,18.88,,
1993-10-18,19.0,,
1993-10-19,19.19,,
1993-10-20,19.31,,
1993-10-21,19.19,,
1993-10-22,19.13,,
1993-10-25,18.69,,
1993-10-26,18.31,,
1993-10-27,18.63,,
1993-10-28,18.81,,
1993-10-29,18.75,,
1993-11-01,18.88,,
1993-11-02,18.81,,
1993-11-03,18.88,,
1993-11-04,18.69,,
1993-11-05,18.63,,
1993-11-08,18.38,,
1993-11-09,17.94,,
1993-11-10,17.75,,
1993-11-11,17.81,,
1993-11-12,18.19,,
1993-11-15,18.5,,
1993-11-16,18.81,,
1993-11-17,20.38,,
1993-11-18,19.56,,
1993-11-19,19.25,,
1993-11-22,19.38,,
1993-11-23,19.5,,
1993-11-24,19.25,,
1993-11-26,19.38,,
1993-11-29,19.56,,
1993-11-30,19.31,,
1993-12-01,18.94,,
1993-12-02,18.94,,
1993-12-03,19.06,,
1993-12-06,19.44,,
1993-12-07,20.5,,
1993-12-08,19.81,,
1993-12-09,19.94,,
1993-12-10,20.0,,
1993-12-13,20.56,,
1993-12-14,20.56,,
1993-12-15,21.38,,
