date,close price,CB_SHE,CB_TA,CB_TL,market cap,PB Ratio
1991-05-30,17.41,,,,,
1991-05-31,17.75,,,,,
1991-06-03,17.44,,,,,
1991-06-04,17.59,,,,,
1991-06-05,17.84,,,,,
1991-06-06,18.22,,,,,
1991-06-07,17.88,,,,,
1991-06-10,17.66,,,,,
1991-06-11,17.47,,,,,
1991-06-12,17.41,,,,,
1991-06-13,17.72,,,,,
1991-06-14,17.66,,,,,
1991-06-17,17.28,,,,,
1991-06-18,17.19,,,,,
1991-06-19,17.06,,,,,
1991-06-20,17.03,,,,,
1991-06-21,17.13,,,,,
1991-06-24,17.16,,,,,
1991-06-25,17.19,,,,,
1991-06-26,17.31,,,,,
1991-06-27,17.72,,,,,
1991-06-28,17.44,,,,,
1991-07-01,17.72,,,,,
1991-07-02,17.88,,,,,
1991-07-03,17.84,,,,,
1991-07-05,17.81,,,,,
1991-07-08,17.75,,,,,
1991-07-09,17.69,,,,,
1991-07-10,17.66,,,,,
1991-07-11,17.63,,,,,
1991-07-12,17.97,,,,,
1991-07-15,17.91,,,,,
1991-07-16,17.91,,,,,
1991-07-17,17.91,,,,,
1991-07-18,18.03,,,,,
1991-07-19,18.28,,,,,
1991-07-22,18.13,,,,,
1991-07-23,17.72,,,,,
1991-07-24,17.38,,,,,
1991-07-25,17.38,,,,,
1991-07-26,17.34,,,,,
1991-07-29,17.31,,,,,
1991-07-30,17.59,,,,,
1991-07-31,17.78,,,,,
1991-08-01,18.03,,,,,
1991-08-02,18.13,,,,,
1991-08-05,18.13,,,,,
1991-08-06,18.5,,,,,
1991-08-07,18.19,,,,,
1991-08-08,17.72,,,,,
1991-08-09,17.34,,,,,
1991-08-12,16.81,,,,,
1991-08-13,17.0,,,,,
1991-08-14,16.88,,,,,
1991-08-15,16.91,,,,,
1991-08-16,16.72,,,,,
1991-08-19,16.16,,,,,
1991-08-20,16.03,,,,,
1991-08-21,16.22,,,,,
1991-08-22,16.0,,,,,
1991-08-23,15.81,,,,,
1991-08-26,15.84,,,,,
1991-08-27,15.94,,,,,
1991-08-28,16.19,,,,,
1991-08-29,16.09,,,,,
1991-08-30,16.31,,,,,
1991-09-03,16.0,,,,,
1991-09-04,15.88,,,,,
1991-09-05,15.97,,,,,
1991-09-06,16.13,,,,,
1991-09-09,16.34,,,,,
1991-09-10,15.97,,,,,
1991-09-11,15.75,,,,,
1991-09-12,16.0,,,,,
1991-09-13,16.0,,,,,
1991-09-16,15.66,,,,,
1991-09-17,15.56,,,,,
1991-09-18,15.5,,,,,
1991-09-19,15.75,,,,,
1991-09-20,15.88,,,,,
1991-09-23,15.56,,,,,
1991-09-24,15.66,,,,,
1991-09-25,15.5,,,,,
1991-09-26,15.47,,,,,
1991-09-27,15.44,,,,,
1991-09-30,15.53,,,,,
1991-10-01,15.81,,,,,
1991-10-02,15.59,,,,,
1991-10-03,15.56,,,,,
1991-10-04,15.53,,,,,
1991-10-07,15.34,,,,,
1991-10-08,15.41,,,,,
1991-10-09,15.25,,,,,
1991-10-10,15.47,,,,,
1991-10-11,15.28,,,,,
1991-10-14,15.75,,,,,
1991-10-15,15.88,,,,,
1991-10-16,15.69,,,,,
1991-10-17,15.84,,,,,
1991-10-18,16.25,,,,,
1991-10-21,16.0,,,,,
1991-10-22,16.28,,,,,
1991-10-23,16.41,,,,,
1991-10-24,16.19,,,,,
1991-10-25,16.03,,,,,
1991-10-28,16.44,,,,,
1991-10-29,16.69,,,,,
1991-10-30,17.0,,,,,
1991-10-31,17.25,,,,,
1991-11-01,17.53,,,,,
1991-11-04,17.09,,,,,
1991-11-05,16.75,,,,,
1991-11-06,16.88,,,,,
1991-11-07,17.53,,,,,
1991-11-08,17.38,,,,,
1991-11-11,17.72,,,,,
1991-11-12,18.06,,,,,
1991-11-13,18.13,,,,,
1991-11-14,18.09,,,,,
1991-11-15,17.22,,,,,
1991-11-18,17.03,,,,,
1991-11-19,16.56,,,,,
1991-11-20,16.34,,,,,
1991-11-21,16.28,,,,,
1991-11-22,16.19,,,,,
1991-11-25,16.41,,,,,
1991-11-26,16.5,,,,,
1991-11-27,16.56,,,,,
1991-11-29,16.47,,,,,
1991-12-02,16.72,,,,,
1991-12-03,16.81,,,,,
1991-12-04,16.88,,,,,
1991-12-05,16.69,,,,,
1991-12-06,16.78,,,,,
1991-12-09,16.84,,,,,
1991-12-10,16.91,,,,,
1991-12-11,16.81,,,,,
1991-12-12,16.97,,,,,
1991-12-13,17.22,,,,,
1991-12-16,17.13,,,,,
1991-12-17,17.06,,,,,
1991-12-18,17.19,,,,,
1991-12-19,17.22,,,,,
1991-12-20,17.38,,,,,
1991-12-23,18.03,,,,,
1991-12-24,18.25,,,,,
1991-12-26,18.56,,,,,
1991-12-27,18.5,,,,,
1991-12-30,19.5,,,,,
1991-12-31,19.25,,,,,
1992-01-02,18.88,,,,,
1992-01-03,19.16,,,,,
1992-01-06,18.91,,,,,
1992-01-07,18.66,,,,,
1992-01-08,18.56,,,,,
1992-01-09,18.22,,,,,
1992-01-10,18.0,,,,,
1992-01-13,17.66,,,,,
1992-01-14,17.94,,,,,
1992-01-15,18.28,,,,,
1992-01-16,18.31,,,,,
1992-01-17,18.19,,,,,
1992-01-20,18.16,,,,,
1992-01-21,18.09,,,,,
1992-01-22,17.97,,,,,
1992-01-23,17.97,,,,,
1992-01-24,18.03,,,,,
1992-01-27,17.63,,,,,
1992-01-28,17.56,,,,,
1992-01-29,17.28,,,,,
1992-01-30,17.44,,,,,
1992-01-31,17.28,,,,,
1992-02-03,17.22,,,,,
1992-02-04,17.66,,,,,
1992-02-05,17.47,,,,,
1992-02-06,17.03,,,,,
1992-02-07,16.97,,,,,
1992-02-10,17.06,,,,,
1992-02-11,16.88,,,,,
1992-02-12,17.16,,,,,
1992-02-13,16.66,,,,,
1992-02-14,16.69,,,,,
1992-02-18,16.84,,,,,
1992-02-19,16.81,,,,,
1992-02-20,16.94,,,,,
1992-02-21,17.03,,,,,
1992-02-24,16.84,,,,,
1992-02-25,16.5,,,,,
1992-02-26,16.44,,,,,
1992-02-27,16.59,,,,,
1992-02-28,16.97,,,,,
1992-03-02,16.75,,,,,
1992-03-03,16.75,,,,,
1992-03-04,16.63,,,,,
1992-03-05,16.41,,,,,
1992-03-06,16.31,,,,,
1992-03-09,16.13,,,,,
1992-03-10,16.22,,,,,
1992-03-11,15.91,,,,,
1992-03-12,15.91,,,,,
1992-03-13,16.09,,,,,
1992-03-16,16.0,,,,,
1992-03-17,16.09,,,,,
1992-03-18,16.69,,,,,
1992-03-19,16.5,,,,,
1992-03-20,16.41,,,,,
1992-03-23,16.28,,,,,
1992-03-24,16.31,,,,,
1992-03-25,16.19,,,,,
1992-03-26,16.38,,,,,
1992-03-27,16.5,,,,,
1992-03-30,16.44,,,,,
1992-03-31,16.5,,,,,
1992-04-01,16.44,,,,,
1992-04-02,16.31,,,,,
1992-04-03,16.19,,,,,
1992-04-06,16.25,,,,,
1992-04-07,16.03,,,,,
1992-04-08,15.84,,,,,
1992-04-09,15.97,,,,,
1992-04-10,16.38,,,,,
1992-04-13,16.66,,,,,
1992-04-14,17.19,,,,,
1992-04-15,17.34,,,,,
1992-04-16,17.25,,,,,
1992-04-20,16.94,,,,,
1992-04-21,16.78,,,,,
1992-04-22,16.56,,,,,
1992-04-23,16.66,,,,,
1992-04-24,16.44,,,,,
1992-04-27,16.38,,,,,
1992-04-28,16.31,,,,,
1992-04-29,16.56,,,,,
1992-04-30,16.16,,,,,
1992-05-01,16.22,,,,,
1992-05-04,16.53,,,,,
1992-05-05,16.75,,,,,
1992-05-06,17.06,,,,,
1992-05-07,16.84,,,,,
1992-05-08,16.63,,,,,
1992-05-11,16.66,,,,,
1992-05-12,16.53,,,,,
1992-05-13,16.84,,,,,
1992-05-14,16.75,,,,,
1992-05-15,16.44,,,,,
1992-05-18,16.38,,,,,
1992-05-19,16.84,,,,,
1992-05-20,16.88,,,,,
1992-05-21,16.56,,,,,
1992-05-22,16.78,,,,,
1992-05-26,16.75,,,,,
1992-05-27,16.78,,,,,
1992-05-28,16.75,,,,,
1992-05-29,16.78,,,,,
1992-06-01,16.78,,,,,
1992-06-02,16.94,,,,,
1992-06-03,16.88,,,,,
1992-06-04,16.63,,,,,
1992-06-05,16.72,,,,,
1992-06-08,17.0,,,,,
1992-06-09,16.94,,,,,
1992-06-10,17.22,,,,,
1992-06-11,17.25,,,,,
1992-06-12,17.53,,,,,
1992-06-15,17.5,,,,,
1992-06-16,17.44,,,,,
1992-06-17,17.13,,,,,
1992-06-18,17.25,,,,,
1992-06-19,17.44,,,,,
1992-06-22,17.31,,,,,
1992-06-23,17.72,,,,,
1992-06-24,18.16,,,,,
1992-06-25,18.09,,,,,
1992-06-26,17.59,,,,,
1992-06-29,17.84,,,,,
1992-06-30,17.75,,,,,
1992-07-01,18.19,,,,,
1992-07-02,18.41,,,,,
1992-07-06,18.66,,,,,
1992-07-07,18.5,,,,,
1992-07-08,18.47,,,,,
1992-07-09,18.72,,,,,
1992-07-10,18.66,,,,,
1992-07-13,18.69,,,,,
1992-07-14,18.72,,,,,
1992-07-15,19.06,,,,,
1992-07-16,18.91,,,,,
1992-07-17,18.81,,,,,
1992-07-20,18.59,,,,,
1992-07-21,18.59,,,,,
1992-07-22,18.56,,,,,
1992-07-23,18.75,,,,,
1992-07-24,18.53,,,,,
1992-07-27,18.56,,,,,
1992-07-28,18.94,,,,,
1992-07-29,19.44,,,,,
1992-07-30,19.5,,,,,
1992-07-31,19.5,,,,,
1992-08-03,19.63,,,,,
1992-08-04,19.25,,,,,
1992-08-05,19.22,,,,,
1992-08-06,19.25,,,,,
1992-08-07,19.47,,,,,
1992-08-10,19.44,,,,,
1992-08-11,19.38,,,,,
1992-08-12,19.16,,,,,
1992-08-13,19.28,,,,,
1992-08-14,19.25,,,,,
1992-08-17,19.22,,,,,
1992-08-18,19.06,,,,,
1992-08-19,18.66,,,,,
1992-08-20,18.69,,,,,
1992-08-21,18.72,,,,,
1992-08-24,18.72,,,,,
1992-08-25,18.47,,,,,
1992-08-26,18.69,,,,,
1992-08-27,18.47,,,,,
1992-08-28,19.19,,,,,
1992-08-31,19.28,,,,,
1992-09-01,19.28,,,,,
1992-09-02,19.59,,,,,
1992-09-03,19.38,,,,,
1992-09-04,19.38,,,,,
1992-09-08,19.13,,,,,
1992-09-09,19.06,,,,,
1992-09-10,18.81,,,,,
1992-09-11,18.84,,,,,
1992-09-14,18.88,,,,,
1992-09-15,18.75,,,,,
1992-09-16,18.75,,,,,
1992-09-17,18.56,,,,,
1992-09-18,18.81,,,,,
1992-09-21,18.72,,,,,
1992-09-22,18.78,,,,,
1992-09-23,18.69,,,,,
1992-09-24,19.81,,,,,
1992-09-25,20.63,,,,,
1992-09-28,20.31,,,,,
1992-09-29,20.75,,,,,
1992-09-30,21.38,,,,,
1992-10-01,21.56,,,,,
1992-10-02,20.88,,,,,
1992-10-05,20.59,,,,,
1992-10-06,20.69,,,,,
1992-10-07,20.84,,,,,
1992-10-08,20.81,,,,,
1992-10-09,20.69,,,,,
1992-10-12,20.88,,,,,
1992-10-13,20.56,,,,,
1992-10-14,20.84,,,,,
1992-10-15,20.72,,,,,
1992-10-16,20.84,,,,,
1992-10-19,21.34,,,,,
1992-10-20,22.03,,,,,
1992-10-21,21.69,,,,,
1992-10-22,21.28,,,,,
1992-10-23,21.25,,,,,
1992-10-26,21.44,,,,,
1992-10-27,21.66,,,,,
1992-10-28,21.94,,,,,
1992-10-29,22.03,,,,,
1992-10-30,21.69,,,,,
1992-11-02,21.69,,,,,
1992-11-03,21.63,,,,,
1992-11-04,21.38,,,,,
1992-11-05,21.72,,,,,
1992-11-06,21.38,,,,,
1992-11-09,21.5,,,,,
1992-11-10,21.66,,,,,
1992-11-11,21.75,,,,,
1992-11-12,21.72,,,,,
1992-11-13,21.94,,,,,
1992-11-16,21.84,,,,,
1992-11-17,21.69,,,,,
1992-11-18,21.53,,,,,
1992-11-19,21.41,,,,,
1992-11-20,21.56,,,,,
1992-11-23,21.63,,,,,
1992-11-24,21.63,,,,,
1992-11-25,21.91,,,,,
1992-11-27,22.16,,,,,
1992-11-30,22.31,,,,,
1992-12-01,22.03,,,,,
1992-12-02,21.69,,,,,
1992-12-03,21.47,,,,,
1992-12-04,21.5,,,,,
1992-12-07,21.5,,,,,
1992-12-08,21.81,,,,,
1992-12-09,21.78,,,,,
1992-12-10,21.84,,,,,
1992-12-11,22.06,,,,,
1992-12-14,22.19,,,,,
1992-12-15,22.28,,,,,
1992-12-16,22.13,,,,,
1992-12-17,22.31,,,,,
1992-12-18,22.5,,,,,
1992-12-21,22.59,,,,,
1992-12-22,22.75,,,,,
1992-12-23,22.5,,,,,
1992-12-24,22.44,,,,,
1992-12-28,22.41,,,,,
1992-12-29,22.34,,,,,
1992-12-30,22.34,,,,,
1992-12-31,22.22,,,,,
1993-01-04,22.0,,,,,
1993-01-05,21.59,,,,,
1993-01-06,21.84,,,,,
1993-01-07,21.56,,,,,
1993-01-08,21.38,,,,,
1993-01-11,21.22,,,,,
1993-01-12,21.53,,,,,
1993-01-13,21.59,,,,,
1993-01-14,21.53,,,,,
1993-01-15,21.66,,,,,
1993-01-18,21.34,,,,,
1993-01-19,21.09,,,,,
1993-01-20,21.09,,,,,
1993-01-21,21.28,,,,,
1993-01-22,21.09,,,,,
1993-01-25,21.63,,,,,
1993-01-26,21.5,,,,,
1993-01-27,21.63,,,,,
1993-01-28,21.88,,,,,
1993-01-29,22.19,,,,,
1993-02-01,22.59,,,,,
1993-02-02,22.97,,,,,
1993-02-03,23.69,,,,,
1993-02-04,23.75,,,,,
1993-02-05,23.38,,,,,
1993-02-08,23.34,,,,,
1993-02-09,23.28,,,,,
1993-02-10,23.19,,,,,
1993-02-11,23.16,,,,,
1993-02-12,23.06,,,,,
1993-02-16,22.25,,,,,
1993-02-17,22.22,,,,,
1993-02-18,22.41,,,,,
1993-02-19,22.25,,,,,
1993-02-22,21.47,,,,,
1993-02-23,21.31,,,,,
1993-02-24,21.94,,,,,
1993-02-25,22.72,,,,,
