date,close price,TFX_SHE,TFX_TA,TFX_TL,market cap,PB Ratio
1980-09-02,1.9,,,,,
1980-09-03,1.93,,,,,
1980-09-04,1.91,,,,,
1980-09-05,1.91,,,,,
1980-09-08,1.89,,,,,
1980-09-09,1.91,,,,,
1980-09-10,1.94,,,,,
1980-09-11,1.96,,,,,
1980-09-12,2.06,,,,,
1980-09-15,2.07,,,,,
1980-09-16,2.22,,,,,
1980-09-17,2.42,,,,,
1980-09-18,2.38,,,,,
1980-09-19,2.38,,,,,
1980-09-22,2.38,,,,,
1980-09-23,2.31,,,,,
1980-09-24,2.17,,,,,
1980-09-25,2.19,,,,,
1980-09-26,2.1,,,,,
1980-09-29,2.03,,,,,
1980-09-30,2.17,,,,,
1980-10-01,2.19,,,,,
1980-10-02,2.26,,,,,
1980-10-03,2.22,,,,,
1980-10-06,2.27,,,,,
1980-10-07,2.3,,,,,
1980-10-08,2.27,,,,,
1980-10-09,2.24,,,,,
1980-10-10,2.22,,,,,
1980-10-13,2.23,,,,,
1980-10-14,2.22,,,,,
1980-10-15,2.28,,,,,
1980-10-16,2.31,,,,,
1980-10-17,2.29,,,,,
1980-10-20,2.33,,,,,
1980-10-21,2.37,,,,,
1980-10-22,2.33,,,,,
1980-10-23,2.33,,,,,
1980-10-24,2.37,,,,,
1980-10-27,2.45,,,,,
1980-10-28,2.39,,,,,
1980-10-29,2.4,,,,,
1980-10-30,2.42,,,,,
1980-10-31,2.44,,,,,
1980-11-03,2.46,,,,,
1980-11-05,2.47,,,,,
1980-11-06,2.4,,,,,
1980-11-07,2.39,,,,,
1980-11-10,2.39,,,,,
1980-11-11,2.48,,,,,
1980-11-12,2.46,,,,,
1980-11-13,2.44,,,,,
1980-11-14,2.46,,,,,
1980-11-17,2.48,,,,,
1980-11-18,2.63,,,,,
1980-11-19,2.6,,,,,
1980-11-20,2.59,,,,,
1980-11-21,2.6,,,,,
1980-11-24,2.65,,,,,
1980-11-25,2.63,,,,,
1980-11-26,2.7,,,,,
1980-11-28,2.74,,,,,
1980-12-01,2.78,,,,,
1980-12-02,2.78,,,,,
1980-12-03,2.81,,,,,
1980-12-04,2.81,,,,,
1980-12-05,2.76,,,,,
1980-12-08,2.66,,,,,
1980-12-09,2.47,,,,,
1980-12-10,2.45,,,,,
1980-12-11,2.29,,,,,
1980-12-12,2.4,,,,,
1980-12-15,2.42,,,,,
1980-12-16,2.47,,,,,
1980-12-17,2.56,,,,,
1980-12-18,2.64,,,,,
1980-12-19,2.64,,,,,
1980-12-22,2.61,,,,,
1980-12-23,2.58,,,,,
1980-12-24,2.53,,,,,
1980-12-26,2.44,,,,,
1980-12-29,2.42,,,,,
1980-12-30,2.38,,,,,
1980-12-31,2.46,,,,,
1981-01-02,2.47,,,,,
1981-01-05,2.64,,,,,
1981-01-06,2.72,,,,,
1981-01-07,2.46,,,,,
1981-01-08,2.42,,,,,
1981-01-09,2.39,,,,,
1981-01-12,2.42,,,,,
1981-01-13,2.43,,,,,
1981-01-14,2.38,,,,,
1981-01-15,2.39,,,,,
1981-01-16,2.39,,,,,
1981-01-19,2.4,,,,,
1981-01-20,2.32,,,,,
1981-01-21,2.31,,,,,
1981-01-22,2.33,,,,,
1981-01-23,2.46,,,,,
1981-01-26,2.5,,,,,
1981-01-27,2.57,,,,,
1981-01-28,2.51,,,,,
1981-01-29,2.58,,,,,
1981-01-30,2.51,,,,,
1981-02-02,2.43,,,,,
1981-02-03,2.33,,,,,
1981-02-04,2.32,,,,,
1981-02-05,2.32,,,,,
1981-02-06,2.29,,,,,
1981-02-09,2.46,,,,,
1981-02-10,2.5,,,,,
1981-02-11,2.5,,,,,
1981-02-12,2.36,,,,,
1981-02-13,2.39,,,,,
1981-02-17,2.38,,,,,
1981-02-18,2.38,,,,,
1981-02-19,2.38,,,,,
1981-02-20,2.42,,,,,
1981-02-23,2.51,,,,,
1981-02-24,2.44,,,,,
1981-02-25,2.46,,,,,
1981-02-26,2.39,,,,,
1981-02-27,2.46,,,,,
1981-03-02,2.42,,,,,
1981-03-03,2.42,,,,,
1981-03-04,2.43,,,,,
1981-03-05,2.78,,,,,
1981-03-06,2.74,,,,,
1981-03-09,2.85,,,,,
1981-03-10,2.92,,,,,
1981-03-11,2.85,,,,,
1981-03-12,2.94,,,,,
1981-03-13,3.04,,,,,
1981-03-16,3.0,,,,,
1981-03-17,3.01,,,,,
1981-03-18,3.06,,,,,
1981-03-19,3.21,,,,,
1981-03-20,3.39,,,,,
1981-03-23,3.57,,,,,
1981-03-24,3.46,,,,,
1981-03-25,3.56,,,,,
1981-03-26,3.58,,,,,
1981-03-27,3.39,,,,,
1981-03-30,3.32,,,,,
1981-03-31,3.42,,,,,
1981-04-01,3.33,,,,,
1981-04-02,3.38,,,,,
1981-04-03,3.29,,,,,
1981-04-06,3.26,,,,,
1981-04-07,3.22,,,,,
1981-04-08,3.36,,,,,
1981-04-09,3.36,,,,,
1981-04-10,3.43,,,,,
1981-04-13,3.39,,,,,
1981-04-14,3.44,,,,,
1981-04-15,3.63,,,,,
1981-04-16,3.69,,,,,
1981-04-20,3.92,,,,,
1981-04-21,3.83,,,,,
1981-04-22,3.9,,,,,
1981-04-23,4.08,,,,,
1981-04-24,4.25,,,,,
1981-04-27,4.04,,,,,
1981-04-28,3.86,,,,,
1981-04-29,3.72,,,,,
1981-04-30,3.85,,,,,
1981-05-01,3.94,,,,,
1981-05-04,3.78,,,,,
1981-05-05,3.75,,,,,
1981-05-06,3.89,,,,,
1981-05-07,3.88,,,,,
1981-05-08,3.82,,,,,
1981-05-11,3.75,,,,,
1981-05-12,3.78,,,,,
1981-05-13,3.94,,,,,
1981-05-14,3.9,,,,,
1981-05-15,3.92,,,,,
1981-05-18,3.89,,,,,
1981-05-19,3.89,,,,,
1981-05-20,3.92,,,,,
1981-05-21,3.94,,,,,
1981-05-22,3.97,,,,,
1981-05-26,4.18,,,,,
1981-05-27,4.18,,,,,
1981-05-28,4.11,,,,,
1981-05-29,4.06,,,,,
1981-06-01,4.08,,,,,
1981-06-02,3.96,,,,,
1981-06-03,3.96,,,,,
1981-06-04,3.99,,,,,
1981-06-05,4.0,,,,,
1981-06-08,4.0,,,,,
1981-06-09,3.92,,,,,
1981-06-10,3.89,,,,,
1981-06-11,3.9,,,,,
1981-06-12,3.9,,,,,
1981-06-15,3.81,,,,,
1981-06-16,3.82,,,,,
1981-06-17,3.74,,,,,
1981-06-18,3.71,,,,,
1981-06-19,3.72,,,,,
1981-06-22,3.76,,,,,
1981-06-23,3.79,,,,,
1981-06-24,3.83,,,,,
1981-06-25,3.76,,,,,
1981-06-26,3.78,,,,,
1981-06-29,3.85,,,,,
1981-06-30,3.86,,,,,
1981-07-01,3.92,,,,,
1981-07-02,3.75,,,,,
1981-07-06,3.64,,,,,
1981-07-07,3.61,,,,,
1981-07-08,3.51,,,,,
1981-07-09,3.53,,,,,
1981-07-10,3.49,,,,,
1981-07-13,3.74,,,,,
1981-07-14,3.69,,,,,
1981-07-15,3.76,,,,,
1981-07-16,3.88,,,,,
1981-07-17,4.01,,,,,
1981-07-20,3.89,,,,,
1981-07-21,3.92,,,,,
1981-07-22,3.93,,,,,
1981-07-23,3.92,,,,,
1981-07-24,3.99,,,,,
1981-07-27,4.24,,,,,
1981-07-28,4.17,,,,,
1981-07-29,4.11,,,,,
1981-07-30,4.11,,,,,
1981-07-31,4.22,,,,,
1981-08-03,4.18,,,,,
1981-08-04,4.22,,,,,
1981-08-05,4.17,,,,,
1981-08-06,4.19,,,,,
1981-08-07,4.24,,,,,
1981-08-10,4.18,,,,,
1981-08-11,4.13,,,,,
1981-08-12,4.15,,,,,
1981-08-13,4.18,,,,,
1981-08-14,4.15,,,,,
1981-08-17,4.13,,,,,
1981-08-18,4.1,,,,,
1981-08-19,4.0,,,,,
1981-08-20,3.97,,,,,
1981-08-21,3.78,,,,,
1981-08-24,3.75,,,,,
1981-08-25,3.69,,,,,
1981-08-26,3.67,,,,,
1981-08-27,3.61,,,,,
1981-08-28,3.69,,,,,
1981-08-31,3.72,,,,,
1981-09-01,3.83,,,,,
1981-09-02,3.97,,,,,
1981-09-03,4.04,,,,,
1981-09-04,3.93,,,,,
1981-09-08,3.75,,,,,
1981-09-09,3.58,,,,,
1981-09-10,3.69,,,,,
1981-09-11,3.83,,,,,
1981-09-14,3.9,,,,,
1981-09-15,3.83,,,,,
1981-09-16,3.83,,,,,
1981-09-17,3.81,,,,,
1981-09-18,3.75,,,,,
1981-09-21,3.52,,,,,
1981-09-22,3.23,,,,,
1981-09-23,3.0,,,,,
1981-09-24,3.13,,,,,
1981-09-25,3.08,,,,,
1981-09-28,3.19,,,,,
1981-09-29,3.31,,,,,
1981-09-30,3.29,,,,,
1981-10-01,3.23,,,,,
1981-10-02,3.33,,,,,
1981-10-05,3.44,,,,,
1981-10-06,3.42,,,,,
1981-10-07,3.46,,,,,
1981-10-08,3.56,,,,,
1981-10-09,3.58,,,,,
1981-10-12,3.46,,,,,
1981-10-13,3.46,,,,,
1981-10-14,3.42,,,,,
1981-10-15,3.56,,,,,
1981-10-16,3.6,,,,,
1981-10-19,3.58,,,,,
1981-10-20,3.67,,,,,
1981-10-21,3.73,,,,,
1981-10-22,3.75,,,,,
1981-10-23,3.75,,,,,
1981-10-26,3.75,,,,,
1981-10-27,3.71,,,,,
1981-10-28,3.67,,,,,
1981-10-29,3.67,,,,,
1981-10-30,3.69,,,,,
1981-11-02,3.69,,,,,
1981-11-03,3.71,,,,,
1981-11-04,3.71,,,,,
1981-11-05,3.71,,,,,
1981-11-06,3.83,,,,,
1981-11-09,3.79,,,,,
1981-11-10,3.83,,,,,
1981-11-11,3.81,,,,,
1981-11-12,3.77,,,,,
1981-11-13,3.71,,,,,
1981-11-16,3.58,,,,,
1981-11-17,3.48,,,,,
1981-11-18,3.46,,,,,
1981-11-19,3.46,,,,,
1981-11-20,3.5,,,,,
1981-11-23,3.46,,,,,
1981-11-24,3.46,,,,,
1981-11-25,3.46,,,,,
1981-11-27,3.42,,,,,
1981-11-30,3.38,,,,,
1981-12-01,3.35,,,,,
1981-12-02,3.29,,,,,
1981-12-03,3.17,,,,,
1981-12-04,3.0,,,,,
1981-12-07,3.13,,,,,
1981-12-08,3.15,,,,,
1981-12-09,3.25,,,,,
1981-12-10,3.33,,,,,
1981-12-11,3.21,,,,,
1981-12-14,3.27,,,,,
1981-12-15,3.46,,,,,
1981-12-16,3.48,,,,,
1981-12-17,3.27,,,,,
1981-12-18,3.31,,,,,
1981-12-21,3.13,,,,,
1981-12-22,3.21,,,,,
1981-12-23,3.13,,,,,
1981-12-24,3.23,,,,,
1981-12-28,3.23,,,,,
1981-12-29,3.19,,,,,
1981-12-30,3.27,,,,,
1981-12-31,3.29,,,,,
1982-01-04,3.38,,,,,
1982-01-05,3.23,,,,,
1982-01-06,3.19,,,,,
1982-01-07,3.08,,,,,
1982-01-08,3.13,,,,,
1982-01-11,3.04,,,,,
1982-01-12,3.0,,,,,
1982-01-13,2.98,,,,,
1982-01-14,2.98,,,,,
1982-01-15,3.06,,,,,
1982-01-18,3.0,,,,,
1982-01-19,3.0,,,,,
1982-01-20,3.02,,,,,
1982-01-21,2.85,,,,,
1982-01-22,2.83,,,,,
1982-01-25,2.75,,,,,
1982-01-26,2.58,,,,,
1982-01-27,2.67,,,,,
1982-01-28,2.9,,,,,
1982-01-29,2.94,,,,,
1982-02-01,2.83,,,,,
1982-02-02,2.88,,,,,
1982-02-03,2.88,,,,,
1982-02-04,2.98,,,,,
1982-02-05,3.17,,,,,
1982-02-08,3.02,,,,,
1982-02-09,2.92,,,,,
1982-02-10,2.88,,,,,
1982-02-11,2.73,,,,,
1982-02-12,2.73,,,,,
1982-02-16,2.71,,,,,
1982-02-17,2.67,,,,,
1982-02-18,2.69,,,,,
1982-02-19,2.73,,,,,
1982-02-22,2.69,,,,,
1982-02-23,2.75,,,,,
1982-02-24,2.96,,,,,
1982-02-25,2.98,,,,,
1982-02-26,3.04,,,,,
1982-03-01,3.0,,,,,
1982-03-02,3.0,,,,,
1982-03-03,2.98,,,,,
1982-03-04,2.94,,,,,
1982-03-05,2.83,,,,,
1982-03-08,2.81,,,,,
1982-03-09,2.75,,,,,
1982-03-10,2.75,,,,,
1982-03-11,2.73,,,,,
1982-03-12,2.67,,,,,
1982-03-15,2.65,,,,,
1982-03-16,2.69,,,,,
1982-03-17,2.67,,,,,
1982-03-18,2.83,,,,,
1982-03-19,2.9,,,,,
1982-03-22,3.06,,,,,
1982-03-23,3.08,,,,,
1982-03-24,3.13,,,,,
1982-03-25,3.29,,,,,
1982-03-26,3.21,,,,,
1982-03-29,3.17,,,,,
1982-03-30,3.15,,,,,
1982-03-31,3.21,,,,,
1982-04-01,3.33,,,,,
1982-04-02,3.31,,,,,
1982-04-05,3.29,,,,,
1982-04-06,3.33,,,,,
1982-04-07,3.33,,,,,
1982-04-08,3.25,,,,,
1982-04-12,3.33,,,,,
1982-04-13,3.31,,,,,
1982-04-14,3.35,,,,,
1982-04-15,3.4,,,,,
1982-04-16,3.52,,,,,
1982-04-19,3.4,,,,,
1982-04-20,3.44,,,,,
1982-04-21,3.42,,,,,
1982-04-22,3.42,,,,,
1982-04-23,3.4,,,,,
1982-04-26,3.33,,,,,
1982-04-27,3.27,,,,,
1982-04-28,3.27,,,,,
1982-04-29,3.21,,,,,
1982-04-30,3.27,,,,,
1982-05-03,3.17,,,,,
1982-05-04,3.21,,,,,
1982-05-05,3.25,,,,,
1982-05-06,3.23,,,,,
1982-05-07,3.27,,,,,
1982-05-10,3.23,,,,,
1982-05-11,3.27,,,,,
1982-05-12,3.29,,,,,
1982-05-13,3.31,,,,,
1982-05-14,3.38,,,,,
1982-05-17,3.31,,,,,
1982-05-18,3.35,,,,,
1982-05-19,3.38,,,,,
1982-05-20,3.33,,,,,
1982-05-21,3.38,,,,,
1982-05-24,3.33,,,,,
1982-05-25,3.33,,,,,
1982-05-26,3.35,,,,,
1982-05-27,3.31,,,,,
1982-05-28,3.27,,,,,
1982-06-01,3.25,,,,,
1982-06-02,3.21,,,,,
1982-06-03,3.23,,,,,
1982-06-04,3.17,,,,,
1982-06-07,3.13,,,,,
1982-06-08,3.08,,,,,
1982-06-09,2.96,,,,,
1982-06-10,2.9,,,,,
1982-06-11,2.92,,,,,
1982-06-14,2.94,,,,,
1982-06-15,2.98,,,,,
1982-06-16,2.96,,,,,
1982-06-17,2.94,,,,,
1982-06-18,2.92,,,,,
1982-06-21,3.04,,,,,
1982-06-22,3.06,,,,,
1982-06-23,3.13,,,,,
1982-06-24,3.13,,,,,
1982-06-25,3.17,,,,,
1982-06-28,3.17,,,,,
1982-06-29,3.17,,,,,
1982-06-30,3.17,,,,,
1982-07-01,3.13,,,,,
1982-07-02,3.15,,,,,
1982-07-06,3.19,,,,,
1982-07-07,3.13,,,,,
1982-07-08,3.13,,,,,
1982-07-09,3.1,,,,,
1982-07-12,3.08,,,,,
1982-07-13,3.08,,,,,
1982-07-14,3.08,,,,,
1982-07-15,3.1,,,,,
1982-07-16,3.1,,,,,
1982-07-19,3.08,,,,,
1982-07-20,3.19,,,,,
1982-07-21,3.23,,,,,
1982-07-22,3.23,,,,,
1982-07-23,3.21,,,,,
1982-07-26,3.17,,,,,
1982-07-27,3.19,,,,,
1982-07-28,3.15,,,,,
1982-07-29,3.04,,,,,
1982-07-30,3.08,,,,,
1982-08-02,3.08,,,,,
1982-08-03,3.08,,,,,
1982-08-04,3.04,,,,,
1982-08-05,3.04,,,,,
1982-08-06,3.0,,,,,
1982-08-09,2.85,,,,,
1982-08-10,2.83,,,,,
1982-08-11,2.77,,,,,
1982-08-12,2.79,,,,,
1982-08-13,2.75,,,,,
1982-08-16,2.75,,,,,
1982-08-17,3.0,,,,,
1982-08-18,3.06,,,,,
1982-08-19,3.15,,,,,
1982-08-20,3.21,,,,,
1982-08-23,3.21,,,,,
1982-08-24,3.23,,,,,
1982-08-25,3.21,,,,,
1982-08-26,3.29,,,,,
1982-08-27,3.27,,,,,
1982-08-30,3.29,,,,,
1982-08-31,3.35,,,,,
1982-09-01,3.35,,,,,
1982-09-02,3.58,,,,,
1982-09-03,3.75,,,,,
1982-09-07,3.69,,,,,
1982-09-08,3.69,,,,,
1982-09-09,3.71,,,,,
1982-09-10,3.67,,,,,
1982-09-13,3.63,,,,,
1982-09-14,3.75,,,,,
1982-09-15,3.9,,,,,
1982-09-16,3.92,,,,,
1982-09-17,3.88,,,,,
1982-09-20,3.88,,,,,
1982-09-21,3.85,,,,,
1982-09-22,3.81,,,,,
1982-09-23,3.77,,,,,
1982-09-24,3.83,,,,,
1982-09-27,3.9,,,,,
1982-09-28,3.9,,,,,
1982-09-29,3.79,,,,,
1982-09-30,3.67,,,,,
1982-10-01,3.81,,,,,
1982-10-04,3.79,,,,,
1982-10-05,3.81,,,,,
1982-10-06,3.96,,,,,
1982-10-07,4.17,,,,,
1982-10-08,4.17,,,,,
1982-10-11,4.17,,,,,
1982-10-12,4.17,,,,,
1982-10-13,4.21,,,,,
1982-10-14,4.08,,,,,
1982-10-15,3.92,,,,,
1982-10-18,4.04,,,,,
1982-10-19,4.04,,,,,
1982-10-20,4.13,,,,,
1982-10-21,4.06,,,,,
1982-10-22,4.02,,,,,
1982-10-25,4.0,,,,,
1982-10-26,3.92,,,,,
1982-10-27,4.1,,,,,
1982-10-28,4.17,,,,,
1982-10-29,4.13,,,,,
1982-11-01,4.13,,,,,
1982-11-02,4.17,,,,,
1982-11-03,4.23,,,,,
1982-11-04,4.21,,,,,
1982-11-05,4.54,,,,,
1982-11-08,4.44,,,,,
1982-11-09,4.52,,,,,
1982-11-10,4.48,,,,,
1982-11-11,4.56,,,,,
1982-11-12,4.52,,,,,
1982-11-15,4.44,,,,,
1982-11-16,4.35,,,,,
1982-11-17,4.46,,,,,
1982-11-18,4.5,,,,,
1982-11-19,4.58,,,,,
1982-11-22,4.54,,,,,
1982-11-23,4.5,,,,,
1982-11-24,4.5,,,,,
1982-11-26,4.67,,,,,
1982-11-29,4.75,,,,,
1982-11-30,4.77,,,,,
1982-12-01,4.88,,,,,
1982-12-02,4.92,,,,,
1982-12-03,4.79,,,,,
1982-12-06,5.0,,,,,
1982-12-07,5.06,,,,,
1982-12-08,4.96,,,,,
1982-12-09,4.83,,,,,
1982-12-10,4.9,,,,,
1982-12-13,4.85,,,,,
1982-12-14,4.88,,,,,
1982-12-15,4.88,,,,,
1982-12-16,4.88,,,,,
1982-12-17,4.92,,,,,
1982-12-20,4.96,,,,,
1982-12-21,4.96,,,,,
1982-12-22,5.02,,,,,
1982-12-23,4.98,,,,,
1982-12-27,5.06,,,,,
1982-12-28,5.0,,,,,
1982-12-29,4.92,,,,,
1982-12-30,4.9,,,,,
1982-12-31,4.98,,,,,
1983-01-03,4.9,,,,,
1983-01-04,4.94,,,,,
1983-01-05,4.96,,,,,
1983-01-06,5.0,,,,,
1983-01-07,5.19,,,,,
1983-01-10,5.56,,,,,
1983-01-11,5.79,,,,,
1983-01-12,5.81,,,,,
1983-01-13,5.71,,,,,
1983-01-14,5.73,,,,,
1983-01-17,5.83,,,,,
1983-01-18,5.77,,,,,
1983-01-19,5.71,,,,,
1983-01-20,5.75,,,,,
1983-01-21,5.67,,,,,
1983-01-24,5.4,,,,,
1983-01-25,5.31,,,,,
1983-01-26,5.31,,,,,
1983-01-27,5.4,,,,,
1983-01-28,5.44,,,,,
1983-01-31,5.44,,,,,
1983-02-01,5.44,,,,,
1983-02-02,5.33,,,,,
1983-02-03,5.4,,,,,
1983-02-04,5.4,,,,,
1983-02-07,5.35,,,,,
1983-02-08,5.52,,,,,
1983-02-09,5.5,,,,,
1983-02-10,5.58,,,,,
1983-02-11,5.71,,,,,
1983-02-14,5.85,,,,,
1983-02-15,5.85,,,,,
1983-02-16,5.79,,,,,
1983-02-17,5.79,,,,,
1983-02-18,5.77,,,,,
1983-02-22,5.75,,,,,
1983-02-23,5.83,,,,,
1983-02-24,5.88,,,,,
1983-02-25,5.75,,,,,
1983-02-28,5.71,,,,,
1983-03-01,5.63,,,,,
1983-03-02,5.54,,,,,
1983-03-03,5.48,,,,,
1983-03-04,5.48,,,,,
1983-03-07,5.5,,,,,
1983-03-08,5.5,,,,,
1983-03-09,5.5,,,,,
1983-03-10,5.44,,,,,
1983-03-11,5.44,,,,,
1983-03-14,5.29,,,,,
1983-03-15,5.25,,,,,
1983-03-16,5.31,,,,,
1983-03-17,5.58,,,,,
1983-03-18,5.58,,,,,
1983-03-21,5.54,,,,,
1983-03-22,5.46,,,,,
1983-03-23,5.44,,,,,
1983-03-24,5.48,,,,,
1983-03-25,5.4,,,,,
1983-03-28,5.29,,,,,
1983-03-29,5.27,,,,,
1983-03-30,5.42,,,,,
1983-03-31,5.38,,,,,
1983-04-04,5.33,,,,,
1983-04-05,5.38,,,,,
1983-04-06,5.23,,,,,
1983-04-07,5.25,,,,,
1983-04-08,5.4,,,,,
1983-04-11,5.35,,,,,
1983-04-12,5.4,,,,,
1983-04-13,5.48,,,,,
1983-04-14,5.56,,,,,
1983-04-15,5.6,,,,,
1983-04-18,5.67,,,,,
1983-04-19,5.73,,,,,
1983-04-20,6.04,,,,,
1983-04-21,5.98,,,,,
1983-04-22,6.04,,,,,
1983-04-25,5.96,,,,,
1983-04-26,5.85,,,,,
1983-04-27,5.88,,,,,
1983-04-28,5.92,,,,,
1983-04-29,6.06,,,,,
1983-05-02,6.08,,,,,
1983-05-03,6.15,,,,,
1983-05-04,6.13,,,,,
1983-05-05,6.04,,,,,
1983-05-06,6.19,,,,,
1983-05-09,6.13,,,,,
1983-05-10,6.0,,,,,
1983-05-11,5.83,,,,,
1983-05-12,5.9,,,,,
1983-05-13,5.98,,,,,
1983-05-16,5.92,,,,,
1983-05-17,5.96,,,,,
1983-05-18,5.85,,,,,
1983-05-19,5.69,,,,,
1983-05-20,5.73,,,,,
1983-05-23,5.67,,,,,
1983-05-24,5.63,,,,,
1983-05-25,5.65,,,,,
1983-05-26,5.67,,,,,
1983-05-27,5.92,,,,,
1983-05-31,5.73,,,,,
1983-06-01,5.71,,,,,
1983-06-02,5.73,,,,,
1983-06-03,6.04,,,,,
1983-06-06,6.23,,,,,
1983-06-07,6.19,,,,,
1983-06-08,6.0,,,,,
1983-06-09,5.92,,,,,
1983-06-10,6.1,,,,,
1983-06-13,6.08,,,,,
1983-06-14,6.1,,,,,
1983-06-15,6.38,,,,,
1983-06-16,6.44,,,,,
1983-06-17,6.35,,,,,
1983-06-20,6.23,,,,,
1983-06-21,6.17,,,,,
1983-06-22,6.19,,,,,
1983-06-23,6.21,,,,,
1983-06-24,6.1,,,,,
1983-06-27,6.04,,,,,
1983-06-28,5.71,,,,,
1983-06-29,5.63,,,,,
1983-06-30,5.73,,,,,
1983-07-01,5.81,,,,,
1983-07-05,5.67,,,,,
1983-07-06,5.63,,,,,
1983-07-07,5.63,,,,,
1983-07-08,5.6,,,,,
1983-07-11,5.54,,,,,
1983-07-12,5.56,,,,,
1983-07-13,5.46,,,,,
1983-07-14,5.42,,,,,
1983-07-15,5.13,,,,,
1983-07-18,4.98,,,,,
1983-07-19,5.31,,,,,
1983-07-20,5.63,,,,,
1983-07-21,5.67,,,,,
1983-07-22,5.54,,,,,
1983-07-25,5.54,,,,,
1983-07-26,5.54,,,,,
1983-07-27,5.52,,,,,
1983-07-28,5.5,,,,,
1983-07-29,5.42,,,,,
1983-08-01,5.38,,,,,
1983-08-02,5.48,,,,,
1983-08-03,5.46,,,,,
1983-08-04,5.46,,,,,
1983-08-05,5.46,,,,,
1983-08-08,5.19,,,,,
1983-08-09,5.04,,,,,
1983-08-10,5.13,,,,,
1983-08-11,5.1,,,,,
1983-08-12,5.15,,,,,
1983-08-15,5.15,,,,,
1983-08-16,5.06,,,,,
1983-08-17,4.96,,,,,
1983-08-18,4.92,,,,,
1983-08-19,4.96,,,,,
1983-08-22,5.02,,,,,
1983-08-23,4.94,,,,,
