date,close price,ED_SHE,ED_TA,ED_TL,market cap,PB Ratio
1963-03-14,10.83,,,,,
1963-03-15,10.84,,,,,
1963-03-18,10.81,,,,,
1963-03-19,10.75,,,,,
1963-03-20,10.73,,,,,
1963-03-21,10.63,,,,,
1963-03-22,10.58,,,,,
1963-03-25,10.59,,,,,
1963-03-26,10.59,,,,,
1963-03-27,10.66,,,,,
1963-03-28,10.61,,,,,
1963-03-29,10.61,,,,,
1963-04-01,10.61,,,,,
1963-04-02,10.66,,,,,
1963-04-03,10.75,,,,,
1963-04-04,10.64,,,,,
1963-04-05,10.69,,,,,
1963-04-08,10.78,,,,,
1963-04-09,10.78,,,,,
1963-04-10,10.73,,,,,
1963-04-11,10.72,,,,,
1963-04-15,10.8,,,,,
1963-04-16,10.89,,,,,
1963-04-17,10.95,,,,,
1963-04-18,10.95,,,,,
1963-04-19,10.92,,,,,
1963-04-22,10.91,,,,,
1963-04-23,10.92,,,,,
1963-04-24,10.88,,,,,
1963-04-25,10.86,,,,,
1963-04-26,10.88,,,,,
1963-04-29,10.91,,,,,
1963-04-30,10.83,,,,,
1963-05-01,10.78,,,,,
1963-05-02,10.77,,,,,
1963-05-03,10.78,,,,,
1963-05-06,10.72,,,,,
1963-05-07,10.69,,,,,
1963-05-08,10.75,,,,,
1963-05-09,10.77,,,,,
1963-05-10,10.83,,,,,
1963-05-13,10.86,,,,,
1963-05-14,10.81,,,,,
1963-05-15,10.86,,,,,
1963-05-16,10.83,,,,,
1963-05-17,10.78,,,,,
1963-05-20,10.8,,,,,
1963-05-21,10.83,,,,,
1963-05-22,10.81,,,,,
1963-05-23,10.86,,,,,
1963-05-24,10.86,,,,,
1963-05-27,10.81,,,,,
1963-05-28,10.84,,,,,
1963-05-29,10.81,,,,,
1963-05-31,10.81,,,,,
1963-06-03,10.78,,,,,
1963-06-04,10.72,,,,,
1963-06-05,10.66,,,,,
1963-06-06,10.64,,,,,
1963-06-07,10.63,,,,,
1963-06-10,10.59,,,,,
1963-06-11,10.53,,,,,
1963-06-12,10.59,,,,,
1963-06-13,10.59,,,,,
1963-06-14,10.59,,,,,
1963-06-17,10.56,,,,,
1963-06-18,10.63,,,,,
1963-06-19,10.58,,,,,
1963-06-20,10.56,,,,,
1963-06-21,10.5,,,,,
1963-06-24,10.5,,,,,
1963-06-25,10.48,,,,,
1963-06-26,10.48,,,,,
1963-06-27,10.5,,,,,
1963-06-28,10.48,,,,,
1963-07-01,10.59,,,,,
1963-07-02,10.73,,,,,
1963-07-03,10.69,,,,,
1963-07-05,10.75,,,,,
1963-07-08,10.7,,,,,
1963-07-09,10.75,,,,,
1963-07-10,10.66,,,,,
1963-07-11,10.69,,,,,
1963-07-12,10.72,,,,,
1963-07-15,10.7,,,,,
1963-07-16,10.75,,,,,
1963-07-17,10.69,,,,,
1963-07-18,10.69,,,,,
1963-07-19,10.7,,,,,
1963-07-22,10.67,,,,,
1963-07-23,10.7,,,,,
1963-07-24,10.7,,,,,
1963-07-25,10.75,,,,,
1963-07-26,10.8,,,,,
1963-07-29,10.86,,,,,
1963-07-30,10.8,,,,,
1963-07-31,10.86,,,,,
1963-08-01,10.8,,,,,
1963-08-02,10.81,,,,,
1963-08-05,10.81,,,,,
1963-08-06,10.88,,,,,
1963-08-07,10.88,,,,,
1963-08-08,10.89,,,,,
1963-08-09,10.89,,,,,
1963-08-12,10.89,,,,,
1963-08-13,10.88,,,,,
1963-08-14,10.89,,,,,
1963-08-15,11.03,,,,,
1963-08-16,11.03,,,,,
1963-08-19,10.95,,,,,
1963-08-20,10.97,,,,,
1963-08-21,11.06,,,,,
1963-08-22,11.11,,,,,
1963-08-23,11.08,,,,,
1963-08-26,11.03,,,,,
1963-08-27,11.0,,,,,
1963-08-28,11.09,,,,,
1963-08-29,11.16,,,,,
1963-08-30,11.16,,,,,
1963-09-03,11.14,,,,,
1963-09-04,11.06,,,,,
1963-09-05,11.06,,,,,
1963-09-06,11.09,,,,,
1963-09-09,11.05,,,,,
1963-09-10,11.08,,,,,
1963-09-11,11.09,,,,,
1963-09-12,11.06,,,,,
1963-09-13,11.05,,,,,
1963-09-16,11.03,,,,,
1963-09-17,11.06,,,,,
1963-09-18,11.06,,,,,
1963-09-19,11.11,,,,,
1963-09-20,11.16,,,,,
1963-09-23,11.09,,,,,
1963-09-24,11.06,,,,,
1963-09-25,11.02,,,,,
1963-09-26,10.86,,,,,
1963-09-27,10.88,,,,,
1963-09-30,10.88,,,,,
1963-10-01,10.83,,,,,
1963-10-02,10.8,,,,,
1963-10-03,10.81,,,,,
1963-10-04,10.94,,,,,
1963-10-07,10.84,,,,,
1963-10-08,10.91,,,,,
1963-10-09,10.81,,,,,
1963-10-10,10.81,,,,,
1963-10-11,10.92,,,,,
1963-10-14,10.77,,,,,
1963-10-15,10.77,,,,,
1963-10-16,10.81,,,,,
1963-10-17,10.77,,,,,
1963-10-18,10.78,,,,,
1963-10-21,10.83,,,,,
1963-10-22,10.81,,,,,
1963-10-23,10.77,,,,,
1963-10-24,10.72,,,,,
1963-10-25,10.67,,,,,
1963-10-28,10.61,,,,,
1963-10-29,10.53,,,,,
1963-10-30,10.59,,,,,
1963-10-31,10.75,,,,,
1963-11-01,10.63,,,,,
1963-11-04,10.64,,,,,
1963-11-06,10.52,,,,,
1963-11-07,10.59,,,,,
1963-11-08,10.67,,,,,
1963-11-11,10.69,,,,,
1963-11-12,10.72,,,,,
1963-11-13,10.81,,,,,
1963-11-14,10.83,,,,,
1963-11-15,10.81,,,,,
1963-11-18,10.83,,,,,
1963-11-19,10.83,,,,,
1963-11-20,10.73,,,,,
1963-11-21,10.69,,,,,
1963-11-22,10.5,,,,,
1963-11-26,10.56,,,,,
1963-11-27,10.63,,,,,
1963-11-29,10.67,,,,,
1963-12-02,10.66,,,,,
1963-12-03,10.59,,,,,
1963-12-04,10.67,,,,,
1963-12-05,10.69,,,,,
1963-12-06,10.67,,,,,
1963-12-09,10.7,,,,,
1963-12-10,10.72,,,,,
1963-12-11,10.72,,,,,
1963-12-12,10.64,,,,,
1963-12-13,10.67,,,,,
1963-12-16,10.61,,,,,
1963-12-17,10.59,,,,,
1963-12-18,10.56,,,,,
1963-12-19,10.52,,,,,
1963-12-20,10.52,,,,,
1963-12-23,10.55,,,,,
1963-12-24,10.47,,,,,
1963-12-26,10.47,,,,,
1963-12-27,10.5,,,,,
1963-12-30,10.47,,,,,
1963-12-31,10.5,,,,,
1964-01-02,10.5,,,,,
1964-01-03,10.48,,,,,
1964-01-06,10.55,,,,,
1964-01-07,10.56,,,,,
1964-01-08,10.59,,,,,
1964-01-09,10.55,,,,,
1964-01-10,10.58,,,,,
1964-01-13,10.48,,,,,
1964-01-14,10.42,,,,,
1964-01-15,10.48,,,,,
1964-01-16,10.44,,,,,
1964-01-17,10.44,,,,,
1964-01-20,10.42,,,,,
1964-01-21,10.66,,,,,
1964-01-22,10.7,,,,,
1964-01-23,10.52,,,,,
1964-01-24,10.5,,,,,
1964-01-27,10.55,,,,,
1964-01-28,10.58,,,,,
1964-01-29,10.52,,,,,
1964-01-30,10.48,,,,,
1964-01-31,10.52,,,,,
1964-02-03,10.52,,,,,
1964-02-04,10.41,,,,,
1964-02-05,10.41,,,,,
1964-02-06,10.47,,,,,
1964-02-07,10.42,,,,,
1964-02-10,10.38,,,,,
1964-02-11,10.31,,,,,
1964-02-12,10.28,,,,,
1964-02-13,10.31,,,,,
1964-02-14,10.3,,,,,
1964-02-17,10.28,,,,,
1964-02-18,10.27,,,,,
1964-02-19,10.3,,,,,
1964-02-20,10.27,,,,,
1964-02-24,10.31,,,,,
1964-02-25,10.31,,,,,
1964-02-26,10.5,,,,,
1964-02-27,10.52,,,,,
1964-02-28,10.61,,,,,
1964-03-02,10.61,,,,,
1964-03-03,10.47,,,,,
1964-03-04,10.52,,,,,
1964-03-05,10.48,,,,,
1964-03-06,10.47,,,,,
1964-03-09,10.48,,,,,
1964-03-10,10.47,,,,,
1964-03-11,10.47,,,,,
1964-03-12,10.48,,,,,
1964-03-13,10.5,,,,,
1964-03-16,10.58,,,,,
1964-03-17,10.55,,,,,
1964-03-18,10.61,,,,,
1964-03-19,10.63,,,,,
1964-03-20,10.67,,,,,
1964-03-23,10.77,,,,,
1964-03-24,10.84,,,,,
1964-03-25,10.81,,,,,
1964-03-26,10.83,,,,,
1964-03-30,10.83,,,,,
1964-03-31,10.77,,,,,
1964-04-01,10.86,,,,,
1964-04-02,10.81,,,,,
1964-04-03,10.84,,,,,
1964-04-06,10.84,,,,,
1964-04-07,10.81,,,,,
1964-04-08,10.81,,,,,
1964-04-09,10.67,,,,,
1964-04-10,10.7,,,,,
1964-04-13,10.67,,,,,
1964-04-14,10.78,,,,,
1964-04-15,10.81,,,,,
1964-04-16,10.86,,,,,
1964-04-17,10.83,,,,,
1964-04-20,10.84,,,,,
1964-04-21,10.84,,,,,
1964-04-22,10.91,,,,,
1964-04-23,10.83,,,,,
1964-04-24,10.78,,,,,
1964-04-27,10.72,,,,,
1964-04-28,10.72,,,,,
1964-04-29,10.63,,,,,
1964-04-30,10.63,,,,,
1964-05-01,10.73,,,,,
1964-05-04,10.72,,,,,
1964-05-05,10.61,,,,,
1964-05-06,10.7,,,,,
1964-05-07,10.63,,,,,
1964-05-08,10.67,,,,,
1964-05-11,10.66,,,,,
1964-05-12,10.69,,,,,
1964-05-13,10.67,,,,,
1964-05-14,10.56,,,,,
1964-05-15,10.56,,,,,
1964-05-18,10.55,,,,,
1964-05-19,10.59,,,,,
1964-05-20,10.58,,,,,
1964-05-21,10.59,,,,,
1964-05-22,10.59,,,,,
1964-05-25,10.63,,,,,
1964-05-26,10.63,,,,,
1964-05-27,10.61,,,,,
1964-05-28,10.55,,,,,
1964-06-01,10.5,,,,,
1964-06-02,10.44,,,,,
1964-06-03,10.5,,,,,
1964-06-04,10.52,,,,,
1964-06-05,10.5,,,,,
1964-06-08,10.72,,,,,
1964-06-09,10.8,,,,,
1964-06-10,10.98,,,,,
1964-06-11,11.13,,,,,
1964-06-12,11.09,,,,,
1964-06-15,11.22,,,,,
1964-06-16,11.19,,,,,
1964-06-17,11.23,,,,,
1964-06-18,11.22,,,,,
1964-06-19,11.16,,,,,
1964-06-22,11.28,,,,,
1964-06-23,11.25,,,,,
1964-06-24,11.25,,,,,
1964-06-25,11.27,,,,,
1964-06-26,11.33,,,,,
1964-06-29,11.2,,,,,
1964-06-30,11.14,,,,,
1964-07-01,11.25,,,,,
1964-07-02,11.31,,,,,
1964-07-06,11.31,,,,,
1964-07-07,11.39,,,,,
1964-07-08,11.38,,,,,
1964-07-09,11.48,,,,,
1964-07-10,11.5,,,,,
1964-07-13,11.53,,,,,
1964-07-14,11.66,,,,,
1964-07-15,11.66,,,,,
1964-07-16,11.63,,,,,
1964-07-17,11.66,,,,,
1964-07-20,11.66,,,,,
1964-07-21,11.66,,,,,
1964-07-22,11.64,,,,,
1964-07-23,11.64,,,,,
1964-07-24,11.63,,,,,
1964-07-27,11.63,,,,,
1964-07-28,11.5,,,,,
1964-07-29,11.53,,,,,
1964-07-30,11.53,,,,,
1964-07-31,11.58,,,,,
1964-08-03,11.56,,,,,
1964-08-04,11.42,,,,,
1964-08-05,11.34,,,,,
1964-08-06,11.31,,,,,
1964-08-07,11.31,,,,,
1964-08-10,11.34,,,,,
1964-08-11,11.11,,,,,
1964-08-12,11.09,,,,,
1964-08-13,11.13,,,,,
1964-08-14,11.08,,,,,
1964-08-17,11.11,,,,,
1964-08-18,11.09,,,,,
1964-08-19,11.08,,,,,
1964-08-20,11.06,,,,,
1964-08-21,11.11,,,,,
1964-08-24,11.11,,,,,
1964-08-25,11.17,,,,,
1964-08-26,11.19,,,,,
1964-08-27,11.2,,,,,
1964-08-28,11.17,,,,,
1964-08-31,11.16,,,,,
1964-09-01,11.23,,,,,
1964-09-02,11.33,,,,,
1964-09-03,11.28,,,,,
1964-09-04,11.33,,,,,
1964-09-08,11.34,,,,,
1964-09-09,11.38,,,,,
1964-09-10,11.41,,,,,
1964-09-11,11.56,,,,,
1964-09-14,11.63,,,,,
1964-09-15,11.58,,,,,
1964-09-16,11.59,,,,,
1964-09-17,11.63,,,,,
1964-09-18,11.59,,,,,
1964-09-21,11.67,,,,,
1964-09-22,11.69,,,,,
1964-09-23,11.69,,,,,
1964-09-24,11.7,,,,,
1964-09-25,11.72,,,,,
1964-09-28,11.77,,,,,
1964-09-29,11.78,,,,,
1964-09-30,11.95,,,,,
1964-10-01,11.97,,,,,
1964-10-02,11.91,,,,,
1964-10-05,11.94,,,,,
1964-10-06,12.0,,,,,
1964-10-07,12.06,,,,,
1964-10-08,12.06,,,,,
1964-10-09,12.05,,,,,
1964-10-12,12.02,,,,,
1964-10-13,11.97,,,,,
1964-10-14,11.95,,,,,
1964-10-15,11.72,,,,,
1964-10-16,11.83,,,,,
1964-10-19,11.88,,,,,
1964-10-20,11.88,,,,,
1964-10-21,11.88,,,,,
1964-10-22,11.81,,,,,
1964-10-23,11.8,,,,,
1964-10-26,11.84,,,,,
1964-10-27,11.69,,,,,
1964-10-28,11.72,,,,,
1964-10-29,11.69,,,,,
1964-10-30,11.72,,,,,
1964-11-02,11.59,,,,,
1964-11-04,11.59,,,,,
1964-11-05,11.63,,,,,
1964-11-06,11.58,,,,,
1964-11-09,11.63,,,,,
1964-11-10,11.58,,,,,
1964-11-11,11.56,,,,,
1964-11-12,11.58,,,,,
1964-11-13,11.56,,,,,
1964-11-16,11.56,,,,,
1964-11-17,11.61,,,,,
1964-11-18,11.56,,,,,
1964-11-19,11.63,,,,,
1964-11-20,11.72,,,,,
1964-11-23,11.72,,,,,
1964-11-24,11.66,,,,,
1964-11-25,11.66,,,,,
1964-11-27,11.59,,,,,
1964-11-30,11.48,,,,,
1964-12-01,11.44,,,,,
1964-12-02,11.47,,,,,
1964-12-03,11.55,,,,,
1964-12-04,11.52,,,,,
1964-12-07,11.78,,,,,
1964-12-08,11.8,,,,,
1964-12-09,11.8,,,,,
1964-12-10,11.78,,,,,
1964-12-11,11.84,,,,,
1964-12-14,11.94,,,,,
1964-12-15,11.89,,,,,
1964-12-16,11.88,,,,,
1964-12-17,11.84,,,,,
1964-12-18,11.8,,,,,
1964-12-21,11.77,,,,,
1964-12-22,11.69,,,,,
1964-12-23,11.66,,,,,
1964-12-24,11.75,,,,,
1964-12-28,11.89,,,,,
1964-12-29,12.0,,,,,
1964-12-30,12.03,,,,,
1964-12-31,12.06,,,,,
1965-01-04,11.98,,,,,
1965-01-05,11.97,,,,,
1965-01-06,11.95,,,,,
1965-01-07,11.94,,,,,
1965-01-08,11.92,,,,,
1965-01-11,11.91,,,,,
1965-01-12,11.95,,,,,
1965-01-13,11.98,,,,,
1965-01-14,11.97,,,,,
1965-01-15,11.95,,,,,
1965-01-18,12.0,,,,,
1965-01-19,12.05,,,,,
1965-01-20,12.06,,,,,
1965-01-21,12.13,,,,,
1965-01-22,12.13,,,,,
1965-01-25,12.13,,,,,
1965-01-26,12.08,,,,,
1965-01-27,12.3,,,,,
1965-01-28,12.25,,,,,
1965-01-29,12.23,,,,,
1965-02-01,12.25,,,,,
1965-02-02,12.16,,,,,
1965-02-03,12.2,,,,,
1965-02-04,12.19,,,,,
1965-02-05,12.22,,,,,
1965-02-08,12.13,,,,,
1965-02-09,12.03,,,,,
1965-02-10,11.84,,,,,
1965-02-11,11.81,,,,,
1965-02-12,11.91,,,,,
1965-02-15,11.91,,,,,
1965-02-16,11.83,,,,,
1965-02-17,11.88,,,,,
1965-02-18,11.77,,,,,
1965-02-19,11.72,,,,,
1965-02-23,11.77,,,,,
1965-02-24,11.78,,,,,
1965-02-25,11.81,,,,,
1965-02-26,11.78,,,,,
1965-03-01,11.81,,,,,
1965-03-02,11.78,,,,,
1965-03-03,11.69,,,,,
1965-03-04,11.66,,,,,
1965-03-05,11.59,,,,,
1965-03-08,11.47,,,,,
1965-03-09,11.44,,,,,
1965-03-10,11.5,,,,,
1965-03-11,11.5,,,,,
1965-03-12,11.47,,,,,
1965-03-15,11.41,,,,,
1965-03-16,11.44,,,,,
1965-03-17,11.41,,,,,
1965-03-18,11.41,,,,,
1965-03-19,11.38,,,,,
1965-03-22,11.41,,,,,
1965-03-23,11.38,,,,,
1965-03-24,11.38,,,,,
1965-03-25,11.38,,,,,
1965-03-26,11.31,,,,,
1965-03-29,11.47,,,,,
1965-03-30,11.53,,,,,
1965-03-31,11.66,,,,,
1965-04-01,11.56,,,,,
1965-04-02,11.66,,,,,
1965-04-05,11.53,,,,,
1965-04-06,11.5,,,,,
1965-04-07,11.56,,,,,
1965-04-08,11.53,,,,,
1965-04-09,11.59,,,,,
1965-04-12,11.63,,,,,
1965-04-13,11.63,,,,,
1965-04-14,11.81,,,,,
1965-04-15,11.78,,,,,
1965-04-19,11.81,,,,,
1965-04-20,11.78,,,,,
1965-04-21,11.72,,,,,
1965-04-22,11.69,,,,,
1965-04-23,11.63,,,,,
1965-04-26,11.63,,,,,
1965-04-27,11.59,,,,,
1965-04-28,11.63,,,,,
1965-04-29,11.66,,,,,
1965-04-30,11.66,,,,,
1965-05-03,11.72,,,,,
1965-05-04,11.53,,,,,
1965-05-05,11.63,,,,,
1965-05-06,11.63,,,,,
1965-05-07,11.59,,,,,
1965-05-10,11.63,,,,,
1965-05-11,11.59,,,,,
1965-05-12,11.56,,,,,
1965-05-13,11.56,,,,,
1965-05-14,11.47,,,,,
1965-05-17,11.5,,,,,
1965-05-18,11.47,,,,,
1965-05-19,11.47,,,,,
1965-05-20,11.44,,,,,
1965-05-21,11.44,,,,,
1965-05-24,11.34,,,,,
1965-05-25,11.34,,,,,
1965-05-26,11.34,,,,,
1965-05-27,11.31,,,,,
1965-05-28,11.34,,,,,
1965-06-01,11.34,,,,,
1965-06-02,11.34,,,,,
1965-06-03,11.25,,,,,
1965-06-04,11.28,,,,,
1965-06-07,11.47,,,,,
1965-06-08,11.31,,,,,
1965-06-09,11.25,,,,,
1965-06-10,11.22,,,,,
1965-06-11,11.22,,,,,
1965-06-14,11.13,,,,,
1965-06-15,11.03,,,,,
