date,close price,MLM_SHE,MLM_TA,MLM_TL,market cap,PB Ratio
1994-05-27,19.75,145000000.0,497000000.0,352000000.0,,
1994-05-31,19.38,145000000.0,497000000.0,352000000.0,,
1994-06-01,19.38,145000000.0,497000000.0,352000000.0,,
1994-06-02,20.0,145000000.0,497000000.0,352000000.0,,
1994-06-03,20.88,145000000.0,497000000.0,352000000.0,,
1994-06-06,20.75,145000000.0,497000000.0,352000000.0,,
1994-06-07,21.0,145000000.0,497000000.0,352000000.0,,
1994-06-08,21.0,145000000.0,497000000.0,352000000.0,,
1994-06-09,20.88,145000000.0,497000000.0,352000000.0,,
1994-06-10,21.0,145000000.0,497000000.0,352000000.0,,
1994-06-13,21.0,145000000.0,497000000.0,352000000.0,,
1994-06-14,20.5,145000000.0,497000000.0,352000000.0,,
1994-06-15,21.63,145000000.0,497000000.0,352000000.0,,
1994-06-16,21.75,145000000.0,497000000.0,352000000.0,,
1994-06-17,22.25,145000000.0,497000000.0,352000000.0,,
1994-06-20,22.0,145000000.0,497000000.0,352000000.0,,
1994-06-21,21.75,145000000.0,497000000.0,352000000.0,,
1994-06-22,22.5,145000000.0,497000000.0,352000000.0,,
1994-06-23,21.88,145000000.0,497000000.0,352000000.0,,
1994-06-24,21.75,145000000.0,497000000.0,352000000.0,,
1994-06-27,21.75,145000000.0,497000000.0,352000000.0,,
1994-06-28,21.5,145000000.0,497000000.0,352000000.0,,
1994-06-29,21.25,145000000.0,497000000.0,352000000.0,,
1994-06-30,22.0,145000000.0,497000000.0,352000000.0,,
1994-07-01,21.5,145000000.0,497000000.0,352000000.0,,
1994-07-05,21.88,145000000.0,497000000.0,352000000.0,,
1994-07-06,21.75,145000000.0,497000000.0,352000000.0,,
1994-07-07,21.75,145000000.0,497000000.0,352000000.0,,
1994-07-08,21.88,145000000.0,497000000.0,352000000.0,,
1994-07-11,21.88,145000000.0,497000000.0,352000000.0,,
1994-07-12,22.0,145000000.0,497000000.0,352000000.0,,
1994-07-13,21.75,145000000.0,497000000.0,352000000.0,,
1994-07-14,22.0,145000000.0,497000000.0,352000000.0,,
1994-07-15,22.13,145000000.0,497000000.0,352000000.0,,
1994-07-18,21.63,145000000.0,497000000.0,352000000.0,,
1994-07-19,21.75,145000000.0,497000000.0,352000000.0,,
1994-07-20,22.0,145000000.0,497000000.0,352000000.0,,
1994-07-21,21.5,145000000.0,497000000.0,352000000.0,,
1994-07-22,21.38,145000000.0,497000000.0,352000000.0,,
1994-07-25,21.63,145000000.0,497000000.0,352000000.0,,
1994-07-26,22.0,145000000.0,497000000.0,352000000.0,,
1994-07-27,21.5,145000000.0,497000000.0,352000000.0,,
1994-07-28,21.88,145000000.0,497000000.0,352000000.0,,
1994-07-29,22.0,145000000.0,497000000.0,352000000.0,,
1994-08-01,22.0,145000000.0,497000000.0,352000000.0,,
1994-08-02,22.0,145000000.0,497000000.0,352000000.0,,
1994-08-03,21.88,145000000.0,497000000.0,352000000.0,,
1994-08-04,21.88,145000000.0,497000000.0,352000000.0,,
1994-08-05,21.88,145000000.0,497000000.0,352000000.0,,
1994-08-08,21.63,145000000.0,497000000.0,352000000.0,,
1994-08-09,21.25,145000000.0,497000000.0,352000000.0,,
1994-08-10,21.38,145000000.0,497000000.0,352000000.0,,
1994-08-11,21.0,145000000.0,497000000.0,352000000.0,,
1994-08-12,21.0,145000000.0,497000000.0,352000000.0,,
1994-08-15,20.75,145000000.0,497000000.0,352000000.0,,
1994-08-16,19.75,145000000.0,497000000.0,352000000.0,,
1994-08-17,20.0,145000000.0,497000000.0,352000000.0,,
1994-08-18,19.63,145000000.0,497000000.0,352000000.0,,
1994-08-19,19.88,145000000.0,497000000.0,352000000.0,,
1994-08-22,19.75,145000000.0,497000000.0,352000000.0,,
1994-08-23,20.13,145000000.0,497000000.0,352000000.0,,
1994-08-24,20.38,145000000.0,497000000.0,352000000.0,,
1994-08-25,20.13,145000000.0,497000000.0,352000000.0,,
1994-08-26,19.38,145000000.0,497000000.0,352000000.0,,
1994-08-29,20.0,145000000.0,497000000.0,352000000.0,,
1994-08-30,19.88,145000000.0,497000000.0,352000000.0,,
1994-08-31,19.5,145000000.0,497000000.0,352000000.0,,
1994-09-01,19.75,145000000.0,497000000.0,352000000.0,,
1994-09-02,19.88,145000000.0,497000000.0,352000000.0,,
1994-09-06,20.25,145000000.0,497000000.0,352000000.0,,
1994-09-07,20.0,145000000.0,497000000.0,352000000.0,,
1994-09-08,20.0,145000000.0,497000000.0,352000000.0,,
1994-09-09,19.88,145000000.0,497000000.0,352000000.0,,
1994-09-12,19.75,145000000.0,497000000.0,352000000.0,,
1994-09-13,19.5,145000000.0,497000000.0,352000000.0,,
1994-09-14,19.5,145000000.0,497000000.0,352000000.0,,
1994-09-15,19.88,145000000.0,497000000.0,352000000.0,,
1994-09-16,19.88,145000000.0,497000000.0,352000000.0,,
1994-09-19,19.88,145000000.0,497000000.0,352000000.0,,
1994-09-20,19.5,145000000.0,497000000.0,352000000.0,,
1994-09-21,19.5,145000000.0,497000000.0,352000000.0,,
1994-09-22,19.0,145000000.0,497000000.0,352000000.0,,
1994-09-23,19.0,145000000.0,497000000.0,352000000.0,,
1994-09-26,19.38,145000000.0,497000000.0,352000000.0,,
1994-09-27,19.0,145000000.0,497000000.0,352000000.0,,
1994-09-28,19.38,145000000.0,497000000.0,352000000.0,,
1994-09-29,19.5,145000000.0,497000000.0,352000000.0,,
1994-09-30,20.0,145000000.0,497000000.0,352000000.0,,
1994-10-03,20.13,145000000.0,497000000.0,352000000.0,,
1994-10-04,20.13,145000000.0,497000000.0,352000000.0,,
1994-10-05,20.25,145000000.0,497000000.0,352000000.0,,
1994-10-06,20.75,145000000.0,497000000.0,352000000.0,,
1994-10-07,20.75,145000000.0,497000000.0,352000000.0,,
1994-10-10,21.25,145000000.0,497000000.0,352000000.0,,
1994-10-11,21.88,145000000.0,497000000.0,352000000.0,,
1994-10-12,21.88,145000000.0,497000000.0,352000000.0,,
1994-10-13,22.0,145000000.0,497000000.0,352000000.0,,
1994-10-14,22.38,145000000.0,497000000.0,352000000.0,,
1994-10-17,22.0,145000000.0,497000000.0,352000000.0,,
1994-10-18,21.63,145000000.0,497000000.0,352000000.0,,
1994-10-19,21.63,145000000.0,497000000.0,352000000.0,,
1994-10-20,20.75,145000000.0,497000000.0,352000000.0,,
1994-10-21,20.63,145000000.0,497000000.0,352000000.0,,
1994-10-24,20.75,145000000.0,497000000.0,352000000.0,,
1994-10-25,20.25,145000000.0,497000000.0,352000000.0,,
1994-10-26,20.25,145000000.0,497000000.0,352000000.0,,
1994-10-27,20.38,145000000.0,497000000.0,352000000.0,,
1994-10-28,20.75,145000000.0,497000000.0,352000000.0,,
1994-10-31,20.63,145000000.0,497000000.0,352000000.0,,
1994-11-01,20.0,145000000.0,497000000.0,352000000.0,,
1994-11-02,20.0,145000000.0,497000000.0,352000000.0,,
1994-11-03,19.75,145000000.0,497000000.0,352000000.0,,
1994-11-04,19.88,145000000.0,497000000.0,352000000.0,,
1994-11-07,19.75,145000000.0,497000000.0,352000000.0,,
1994-11-08,20.0,145000000.0,497000000.0,352000000.0,,
1994-11-09,19.75,145000000.0,497000000.0,352000000.0,,
1994-11-10,19.75,145000000.0,497000000.0,352000000.0,,
1994-11-11,19.25,145000000.0,497000000.0,352000000.0,,
1994-11-14,19.25,145000000.0,497000000.0,352000000.0,,
1994-11-15,19.25,145000000.0,497000000.0,352000000.0,,
1994-11-16,19.25,145000000.0,497000000.0,352000000.0,,
1994-11-17,19.0,145000000.0,497000000.0,352000000.0,,
1994-11-18,19.25,145000000.0,497000000.0,352000000.0,,
1994-11-21,19.25,145000000.0,497000000.0,352000000.0,,
1994-11-22,19.13,145000000.0,497000000.0,352000000.0,,
1994-11-23,19.0,145000000.0,497000000.0,352000000.0,,
1994-11-25,19.13,145000000.0,497000000.0,352000000.0,,
1994-11-28,18.88,145000000.0,497000000.0,352000000.0,,
1994-11-29,18.63,145000000.0,497000000.0,352000000.0,,
1994-11-30,18.0,145000000.0,497000000.0,352000000.0,,
1994-12-01,18.25,145000000.0,497000000.0,352000000.0,,
1994-12-02,18.38,145000000.0,497000000.0,352000000.0,,
1994-12-05,18.63,145000000.0,497000000.0,352000000.0,,
1994-12-06,18.38,145000000.0,497000000.0,352000000.0,,
1994-12-07,18.38,145000000.0,497000000.0,352000000.0,,
1994-12-08,18.25,145000000.0,497000000.0,352000000.0,,
1994-12-09,18.38,145000000.0,497000000.0,352000000.0,,
1994-12-12,18.38,145000000.0,497000000.0,352000000.0,,
1994-12-13,18.38,145000000.0,497000000.0,352000000.0,,
1994-12-14,18.38,145000000.0,497000000.0,352000000.0,,
1994-12-15,17.5,145000000.0,497000000.0,352000000.0,,
1994-12-16,17.75,145000000.0,497000000.0,352000000.0,,
1994-12-19,17.63,145000000.0,497000000.0,352000000.0,,
1994-12-20,17.63,145000000.0,497000000.0,352000000.0,,
1994-12-21,17.13,145000000.0,497000000.0,352000000.0,,
1994-12-22,17.0,145000000.0,497000000.0,352000000.0,,
1994-12-23,17.38,145000000.0,497000000.0,352000000.0,,
1994-12-27,17.75,145000000.0,497000000.0,352000000.0,,
1994-12-28,17.75,145000000.0,497000000.0,352000000.0,,
1994-12-29,17.5,145000000.0,497000000.0,352000000.0,,
1994-12-30,17.75,145000000.0,497000000.0,352000000.0,,
1995-01-03,17.75,145000000.0,497000000.0,352000000.0,,
1995-01-04,17.0,145000000.0,497000000.0,352000000.0,,
1995-01-05,16.75,145000000.0,497000000.0,352000000.0,,
1995-01-06,17.5,145000000.0,497000000.0,352000000.0,,
1995-01-09,17.88,145000000.0,497000000.0,352000000.0,,
1995-01-10,18.38,145000000.0,497000000.0,352000000.0,,
1995-01-11,18.25,145000000.0,497000000.0,352000000.0,,
1995-01-12,18.88,145000000.0,497000000.0,352000000.0,,
1995-01-13,18.75,145000000.0,497000000.0,352000000.0,,
1995-01-16,19.0,145000000.0,497000000.0,352000000.0,,
1995-01-17,19.38,145000000.0,497000000.0,352000000.0,,
1995-01-18,19.25,145000000.0,497000000.0,352000000.0,,
1995-01-19,18.88,145000000.0,497000000.0,352000000.0,,
1995-01-20,18.75,145000000.0,497000000.0,352000000.0,,
1995-01-23,19.38,145000000.0,497000000.0,352000000.0,,
1995-01-24,18.5,145000000.0,497000000.0,352000000.0,,
1995-01-25,18.75,145000000.0,497000000.0,352000000.0,,
1995-01-26,18.75,145000000.0,497000000.0,352000000.0,,
1995-01-27,18.38,145000000.0,497000000.0,352000000.0,,
1995-01-30,18.5,145000000.0,497000000.0,352000000.0,,
1995-01-31,18.38,145000000.0,497000000.0,352000000.0,,
1995-02-01,18.63,145000000.0,497000000.0,352000000.0,,
1995-02-02,18.5,145000000.0,497000000.0,352000000.0,,
1995-02-03,18.75,145000000.0,497000000.0,352000000.0,,
1995-02-06,19.25,145000000.0,497000000.0,352000000.0,,
1995-02-07,19.13,145000000.0,497000000.0,352000000.0,,
1995-02-08,18.75,145000000.0,497000000.0,352000000.0,,
1995-02-09,19.0,145000000.0,497000000.0,352000000.0,,
1995-02-10,18.75,145000000.0,497000000.0,352000000.0,,
1995-02-13,19.0,145000000.0,497000000.0,352000000.0,,
1995-02-14,19.0,145000000.0,497000000.0,352000000.0,,
1995-02-15,19.13,145000000.0,497000000.0,352000000.0,,
1995-02-16,19.0,145000000.0,497000000.0,352000000.0,,
1995-02-17,18.5,145000000.0,497000000.0,352000000.0,,
1995-02-21,18.75,145000000.0,497000000.0,352000000.0,,
1995-02-22,18.75,145000000.0,497000000.0,352000000.0,,
1995-02-23,18.75,145000000.0,497000000.0,352000000.0,,
1995-02-24,18.75,145000000.0,497000000.0,352000000.0,,
1995-02-27,18.63,145000000.0,497000000.0,352000000.0,,
1995-02-28,18.63,145000000.0,497000000.0,352000000.0,,
1995-03-01,18.63,145000000.0,497000000.0,352000000.0,,
1995-03-02,18.5,145000000.0,497000000.0,352000000.0,,
1995-03-03,18.5,145000000.0,497000000.0,352000000.0,,
1995-03-06,18.5,145000000.0,497000000.0,352000000.0,,
1995-03-07,18.5,145000000.0,497000000.0,352000000.0,,
1995-03-08,18.63,145000000.0,497000000.0,352000000.0,,
1995-03-09,18.63,145000000.0,497000000.0,352000000.0,,
1995-03-10,18.75,145000000.0,497000000.0,352000000.0,,
1995-03-13,18.88,145000000.0,497000000.0,352000000.0,,
1995-03-14,19.0,145000000.0,497000000.0,352000000.0,,
1995-03-15,19.13,145000000.0,497000000.0,352000000.0,,
1995-03-16,19.13,145000000.0,497000000.0,352000000.0,,
1995-03-17,19.13,145000000.0,497000000.0,352000000.0,,
1995-03-20,19.13,145000000.0,497000000.0,352000000.0,,
1995-03-21,18.75,145000000.0,497000000.0,352000000.0,,
1995-03-22,18.75,145000000.0,497000000.0,352000000.0,,
1995-03-23,19.0,145000000.0,497000000.0,352000000.0,,
1995-03-24,18.88,145000000.0,497000000.0,352000000.0,,
1995-03-27,19.0,145000000.0,497000000.0,352000000.0,,
1995-03-28,19.38,145000000.0,497000000.0,352000000.0,,
1995-03-29,19.13,145000000.0,497000000.0,352000000.0,,
1995-03-30,19.0,145000000.0,497000000.0,352000000.0,,
1995-03-31,19.13,145000000.0,497000000.0,352000000.0,,
1995-04-03,19.38,145000000.0,497000000.0,352000000.0,,
1995-04-04,19.5,145000000.0,497000000.0,352000000.0,,
1995-04-05,19.38,145000000.0,497000000.0,352000000.0,,
1995-04-06,19.75,145000000.0,497000000.0,352000000.0,,
1995-04-07,19.88,145000000.0,497000000.0,352000000.0,,
1995-04-10,19.88,145000000.0,497000000.0,352000000.0,,
1995-04-11,20.0,145000000.0,497000000.0,352000000.0,,
1995-04-12,20.13,145000000.0,497000000.0,352000000.0,,
1995-04-13,20.13,145000000.0,497000000.0,352000000.0,,
1995-04-17,20.13,145000000.0,497000000.0,352000000.0,,
1995-04-18,20.13,145000000.0,497000000.0,352000000.0,,
1995-04-19,20.13,145000000.0,497000000.0,352000000.0,,
1995-04-20,20.0,145000000.0,497000000.0,352000000.0,,
1995-04-21,19.63,145000000.0,497000000.0,352000000.0,,
1995-04-24,20.25,145000000.0,497000000.0,352000000.0,,
1995-04-25,20.5,145000000.0,497000000.0,352000000.0,,
1995-04-26,20.5,145000000.0,497000000.0,352000000.0,,
1995-04-27,20.5,145000000.0,497000000.0,352000000.0,,
1995-04-28,20.75,145000000.0,497000000.0,352000000.0,,
1995-05-01,20.63,145000000.0,497000000.0,352000000.0,,
1995-05-02,20.63,145000000.0,497000000.0,352000000.0,,
1995-05-03,20.63,145000000.0,497000000.0,352000000.0,,
1995-05-04,20.88,145000000.0,497000000.0,352000000.0,,
1995-05-05,20.88,145000000.0,497000000.0,352000000.0,,
1995-05-08,21.0,145000000.0,497000000.0,352000000.0,,
1995-05-09,21.38,145000000.0,497000000.0,352000000.0,,
1995-05-10,21.5,145000000.0,497000000.0,352000000.0,,
1995-05-11,21.5,145000000.0,497000000.0,352000000.0,,
1995-05-12,21.38,145000000.0,497000000.0,352000000.0,,
1995-05-15,21.38,145000000.0,497000000.0,352000000.0,,
1995-05-16,21.5,145000000.0,497000000.0,352000000.0,,
1995-05-17,21.5,145000000.0,497000000.0,352000000.0,,
1995-05-18,21.5,145000000.0,497000000.0,352000000.0,,
1995-05-19,21.75,145000000.0,497000000.0,352000000.0,,
1995-05-22,21.5,145000000.0,497000000.0,352000000.0,,
1995-05-23,21.63,145000000.0,497000000.0,352000000.0,,
1995-05-24,21.38,145000000.0,497000000.0,352000000.0,,
1995-05-25,21.25,145000000.0,497000000.0,352000000.0,,
1995-05-26,21.25,145000000.0,497000000.0,352000000.0,,
1995-05-30,21.25,145000000.0,497000000.0,352000000.0,,
1995-05-31,21.25,145000000.0,497000000.0,352000000.0,,
1995-06-01,21.0,145000000.0,497000000.0,352000000.0,,
1995-06-02,21.0,145000000.0,497000000.0,352000000.0,,
1995-06-05,21.0,145000000.0,497000000.0,352000000.0,,
1995-06-06,21.13,145000000.0,497000000.0,352000000.0,,
1995-06-07,21.0,145000000.0,497000000.0,352000000.0,,
1995-06-08,21.25,145000000.0,497000000.0,352000000.0,,
1995-06-09,21.13,145000000.0,497000000.0,352000000.0,,
1995-06-12,21.38,145000000.0,497000000.0,352000000.0,,
1995-06-13,21.13,145000000.0,497000000.0,352000000.0,,
1995-06-14,21.0,145000000.0,497000000.0,352000000.0,,
1995-06-15,20.38,145000000.0,497000000.0,352000000.0,,
1995-06-16,20.75,145000000.0,497000000.0,352000000.0,,
1995-06-19,20.0,145000000.0,497000000.0,352000000.0,,
1995-06-20,20.0,145000000.0,497000000.0,352000000.0,,
1995-06-21,19.88,145000000.0,497000000.0,352000000.0,,
1995-06-22,19.88,145000000.0,497000000.0,352000000.0,,
1995-06-23,20.0,145000000.0,497000000.0,352000000.0,,
1995-06-26,19.88,145000000.0,497000000.0,352000000.0,,
1995-06-27,19.88,145000000.0,497000000.0,352000000.0,,
1995-06-28,19.88,145000000.0,497000000.0,352000000.0,,
1995-06-29,19.75,145000000.0,497000000.0,352000000.0,,
1995-06-30,20.0,145000000.0,497000000.0,352000000.0,,
1995-07-03,20.0,145000000.0,497000000.0,352000000.0,,
1995-07-05,19.88,145000000.0,497000000.0,352000000.0,,
1995-07-06,20.0,145000000.0,497000000.0,352000000.0,,
1995-07-07,20.0,145000000.0,497000000.0,352000000.0,,
1995-07-10,20.25,145000000.0,497000000.0,352000000.0,,
1995-07-11,19.88,145000000.0,497000000.0,352000000.0,,
1995-07-12,20.25,145000000.0,497000000.0,352000000.0,,
1995-07-13,20.5,145000000.0,497000000.0,352000000.0,,
1995-07-14,19.75,145000000.0,497000000.0,352000000.0,,
1995-07-17,20.0,145000000.0,497000000.0,352000000.0,,
1995-07-18,20.0,145000000.0,497000000.0,352000000.0,,
1995-07-19,19.25,145000000.0,497000000.0,352000000.0,,
1995-07-20,19.5,145000000.0,497000000.0,352000000.0,,
1995-07-21,19.5,145000000.0,497000000.0,352000000.0,,
1995-07-24,19.88,145000000.0,497000000.0,352000000.0,,
1995-07-25,20.0,145000000.0,497000000.0,352000000.0,,
1995-07-26,20.0,145000000.0,497000000.0,352000000.0,,
1995-07-27,20.25,145000000.0,497000000.0,352000000.0,,
1995-07-28,20.13,145000000.0,497000000.0,352000000.0,,
1995-07-31,20.0,145000000.0,497000000.0,352000000.0,,
1995-08-01,20.0,145000000.0,497000000.0,352000000.0,,
1995-08-02,19.75,145000000.0,497000000.0,352000000.0,,
1995-08-03,20.0,145000000.0,497000000.0,352000000.0,,
1995-08-04,20.0,145000000.0,497000000.0,352000000.0,,
1995-08-07,19.88,145000000.0,497000000.0,352000000.0,,
1995-08-08,20.0,145000000.0,497000000.0,352000000.0,,
1995-08-09,19.63,145000000.0,497000000.0,352000000.0,,
1995-08-10,19.63,145000000.0,497000000.0,352000000.0,,
1995-08-11,19.5,145000000.0,497000000.0,352000000.0,,
1995-08-14,19.75,145000000.0,497000000.0,352000000.0,,
1995-08-15,20.0,145000000.0,497000000.0,352000000.0,,
1995-08-16,19.38,145000000.0,497000000.0,352000000.0,,
1995-08-17,19.5,145000000.0,497000000.0,352000000.0,,
1995-08-18,19.63,145000000.0,497000000.0,352000000.0,,
1995-08-21,19.38,145000000.0,497000000.0,352000000.0,,
1995-08-22,19.38,145000000.0,497000000.0,352000000.0,,
1995-08-23,19.38,145000000.0,497000000.0,352000000.0,,
1995-08-24,19.0,145000000.0,497000000.0,352000000.0,,
1995-08-25,18.75,145000000.0,497000000.0,352000000.0,,
1995-08-28,18.75,145000000.0,497000000.0,352000000.0,,
1995-08-29,18.88,145000000.0,497000000.0,352000000.0,,
1995-08-30,18.75,145000000.0,497000000.0,352000000.0,,
1995-08-31,19.0,145000000.0,497000000.0,352000000.0,,
1995-09-01,18.88,145000000.0,497000000.0,352000000.0,,
1995-09-05,18.88,145000000.0,497000000.0,352000000.0,,
1995-09-06,18.88,145000000.0,497000000.0,352000000.0,,
1995-09-07,18.5,145000000.0,497000000.0,352000000.0,,
1995-09-08,18.63,145000000.0,497000000.0,352000000.0,,
1995-09-11,18.63,145000000.0,497000000.0,352000000.0,,
1995-09-12,19.13,145000000.0,497000000.0,352000000.0,,
1995-09-13,19.38,145000000.0,497000000.0,352000000.0,,
1995-09-14,19.25,145000000.0,497000000.0,352000000.0,,
1995-09-15,19.38,145000000.0,497000000.0,352000000.0,,
1995-09-18,19.38,145000000.0,497000000.0,352000000.0,,
1995-09-19,19.5,145000000.0,497000000.0,352000000.0,,
1995-09-20,19.75,145000000.0,497000000.0,352000000.0,,
1995-09-21,19.5,145000000.0,497000000.0,352000000.0,,
1995-09-22,19.75,145000000.0,497000000.0,352000000.0,,
1995-09-25,19.63,145000000.0,497000000.0,352000000.0,,
1995-09-26,19.75,145000000.0,497000000.0,352000000.0,,
1995-09-27,19.75,145000000.0,497000000.0,352000000.0,,
1995-09-28,19.75,145000000.0,497000000.0,352000000.0,,
1995-09-29,19.63,145000000.0,497000000.0,352000000.0,,
1995-10-02,19.63,145000000.0,497000000.0,352000000.0,,
1995-10-03,19.38,145000000.0,497000000.0,352000000.0,,
1995-10-04,18.88,145000000.0,497000000.0,352000000.0,,
1995-10-05,18.88,145000000.0,497000000.0,352000000.0,,
1995-10-06,19.38,145000000.0,497000000.0,352000000.0,,
1995-10-09,19.38,145000000.0,497000000.0,352000000.0,,
1995-10-10,19.5,145000000.0,497000000.0,352000000.0,,
1995-10-11,19.88,145000000.0,497000000.0,352000000.0,,
1995-10-12,19.75,145000000.0,497000000.0,352000000.0,,
1995-10-13,19.88,145000000.0,497000000.0,352000000.0,,
1995-10-16,19.88,145000000.0,497000000.0,352000000.0,,
1995-10-17,20.0,145000000.0,497000000.0,352000000.0,,
1995-10-18,20.38,145000000.0,497000000.0,352000000.0,,
1995-10-19,20.25,145000000.0,497000000.0,352000000.0,,
1995-10-20,20.0,145000000.0,497000000.0,352000000.0,,
1995-10-23,19.75,145000000.0,497000000.0,352000000.0,,
1995-10-24,19.75,145000000.0,497000000.0,352000000.0,,
1995-10-25,19.5,145000000.0,497000000.0,352000000.0,,
1995-10-26,19.38,145000000.0,497000000.0,352000000.0,,
1995-10-27,19.25,145000000.0,497000000.0,352000000.0,,
1995-10-30,19.38,145000000.0,497000000.0,352000000.0,,
1995-10-31,19.0,145000000.0,497000000.0,352000000.0,,
1995-11-01,19.0,145000000.0,497000000.0,352000000.0,,
1995-11-02,19.13,145000000.0,497000000.0,352000000.0,,
1995-11-03,19.63,145000000.0,497000000.0,352000000.0,,
1995-11-06,19.75,145000000.0,497000000.0,352000000.0,,
1995-11-07,19.75,145000000.0,497000000.0,352000000.0,,
1995-11-08,19.88,145000000.0,497000000.0,352000000.0,,
1995-11-09,20.13,145000000.0,497000000.0,352000000.0,,
1995-11-10,20.0,145000000.0,497000000.0,352000000.0,,
1995-11-13,20.0,145000000.0,497000000.0,352000000.0,,
1995-11-14,20.0,145000000.0,497000000.0,352000000.0,,
1995-11-15,19.88,145000000.0,497000000.0,352000000.0,,
1995-11-16,20.25,145000000.0,497000000.0,352000000.0,,
1995-11-17,20.25,145000000.0,497000000.0,352000000.0,,
1995-11-20,20.0,145000000.0,497000000.0,352000000.0,,
1995-11-21,20.0,145000000.0,497000000.0,352000000.0,,
1995-11-22,19.75,145000000.0,497000000.0,352000000.0,,
1995-11-24,19.75,145000000.0,497000000.0,352000000.0,,
1995-11-27,20.25,145000000.0,497000000.0,352000000.0,,
