date,CMI,dcf,Deviation
1973-07-20,4.84,,
1973-07-23,4.8,,
1973-07-24,4.81,,
1973-07-25,4.75,,
1973-07-26,4.7,,
1973-07-27,4.72,,
1973-07-30,4.64,,
1973-07-31,4.72,,
1973-08-01,4.63,,
1973-08-02,4.69,,
1973-08-03,4.66,,
1973-08-06,4.58,,
1973-08-07,4.59,,
1973-08-08,4.59,,
1973-08-09,4.63,,
1973-08-10,4.59,,
1973-08-13,4.55,,
1973-08-14,4.63,,
1973-08-15,4.63,,
1973-08-16,4.59,,
1973-08-17,4.59,,
1973-08-20,4.56,,
1973-08-21,4.53,,
1973-08-22,4.5,,
1973-08-23,4.5,,
1973-08-24,4.64,,
1973-08-27,4.73,,
1973-08-28,4.91,,
1973-08-29,5.19,,
1973-08-30,5.19,,
1973-08-31,5.13,,
1973-09-04,5.36,,
1973-09-05,5.55,,
1973-09-06,5.63,,
1973-09-07,5.56,,
1973-09-10,5.63,,
1973-09-11,5.75,,
1973-09-12,5.72,,
1973-09-13,5.7,,
1973-09-14,5.7,,
1973-09-17,5.95,,
1973-09-18,6.02,,
1973-09-19,6.14,,
1973-09-20,6.22,,
1973-09-21,6.13,,
1973-09-24,5.91,,
1973-09-25,6.0,,
1973-09-26,6.0,,
1973-09-27,5.88,,
1973-09-28,5.91,,
1973-10-01,5.78,,
1973-10-02,5.88,,
1973-10-03,5.91,,
1973-10-04,6.08,,
1973-10-05,6.05,,
1973-10-08,6.0,,
1973-10-09,6.08,,
1973-10-10,6.05,,
1973-10-11,6.09,,
1973-10-12,6.0,,
1973-10-15,5.83,,
1973-10-16,5.7,,
1973-10-17,5.5,,
1973-10-18,5.34,,
1973-10-19,5.41,,
1973-10-22,5.31,,
1973-10-23,5.38,,
1973-10-24,5.22,,
1973-10-25,5.17,,
1973-10-26,5.13,,
1973-10-29,5.16,,
1973-10-30,5.13,,
1973-10-31,5.11,,
1973-11-01,5.13,,
1973-11-02,5.06,,
1973-11-05,5.08,,
1973-11-06,5.02,,
1973-11-07,4.91,,
1973-11-08,4.94,,
1973-11-09,4.81,,
1973-11-12,4.66,,
1973-11-13,4.48,,
1973-11-14,4.23,,
1973-11-15,4.34,,
1973-11-16,4.63,,
1973-11-19,4.58,,
1973-11-20,4.22,,
1973-11-21,4.33,,
1973-11-23,4.28,,
1973-11-26,4.27,,
1973-11-27,4.13,,
1973-11-28,4.16,,
1973-11-29,4.28,,
1973-11-30,4.25,,
1973-12-03,4.22,,
1973-12-04,4.28,,
1973-12-05,4.38,,
1973-12-06,4.38,,
1973-12-07,4.53,,
1973-12-10,4.38,,
1973-12-11,4.22,,
1973-12-12,4.22,,
1973-12-13,4.17,,
1973-12-14,4.2,,
1973-12-17,3.95,,
1973-12-18,3.98,,
1973-12-19,4.14,,
1973-12-20,4.19,,
1973-12-21,4.23,,
1973-12-24,4.13,,
1973-12-26,4.09,,
1973-12-27,4.06,,
1973-12-28,3.91,,
1973-12-31,3.92,,
1974-01-02,3.95,,
1974-01-03,4.13,,
1974-01-04,4.34,,
1974-01-07,4.44,,
1974-01-08,4.44,,
1974-01-09,4.38,,
1974-01-10,4.38,,
1974-01-11,4.31,,
1974-01-14,4.13,,
1974-01-15,4.16,,
1974-01-16,4.14,,
1974-01-17,4.19,,
1974-01-18,4.09,,
1974-01-21,4.09,,
1974-01-22,4.08,,
1974-01-23,4.13,,
1974-01-24,4.08,,
1974-01-25,4.09,,
1974-01-28,4.2,,
1974-01-29,4.28,,
1974-01-30,4.44,,
1974-01-31,4.42,,
1974-02-01,4.41,,
1974-02-04,4.31,,
1974-02-05,4.16,,
1974-02-06,4.13,,
1974-02-07,4.34,,
1974-02-08,4.31,,
1974-02-11,4.13,,
1974-02-12,4.25,,
1974-02-13,4.19,,
1974-02-14,4.13,,
1974-02-15,4.13,,
1974-02-19,4.13,,
1974-02-20,4.19,,
1974-02-21,4.25,,
1974-02-22,4.36,,
1974-02-25,4.25,,
1974-02-26,4.31,,
1974-02-27,4.3,,
1974-02-28,4.25,,
1974-03-01,4.28,,
1974-03-04,4.28,,
1974-03-05,4.31,,
1974-03-06,4.31,,
1974-03-07,4.33,,
1974-03-08,4.38,,
1974-03-11,4.44,,
1974-03-12,4.53,,
1974-03-13,4.63,,
1974-03-14,4.61,,
1974-03-15,4.53,,
1974-03-18,4.58,,
1974-03-19,4.38,,
1974-03-20,4.34,,
1974-03-21,4.25,,
1974-03-22,4.22,,
1974-03-25,4.2,,
1974-03-26,4.19,,
1974-03-27,4.16,,
1974-03-28,4.17,,
1974-03-29,4.19,,
1974-04-01,4.22,,
1974-04-02,4.25,,
1974-04-03,4.17,,
1974-04-04,4.22,,
1974-04-05,4.23,,
1974-04-08,4.2,,
1974-04-09,4.2,,
1974-04-10,4.2,,
1974-04-11,4.14,,
1974-04-15,4.13,,
1974-04-16,4.11,,
1974-04-17,4.16,,
1974-04-18,4.19,,
1974-04-19,4.09,,
1974-04-22,4.09,,
1974-04-23,4.05,,
1974-04-24,4.02,,
1974-04-25,3.97,,
1974-04-26,3.88,,
1974-04-29,3.91,,
1974-04-30,4.02,,
1974-05-01,4.06,,
1974-05-02,4.17,,
1974-05-03,4.23,,
1974-05-06,4.16,,
1974-05-07,4.17,,
1974-05-08,4.17,,
1974-05-09,4.17,,
1974-05-10,4.08,,
1974-05-13,3.95,,
1974-05-14,3.94,,
1974-05-15,3.92,,
1974-05-16,3.92,,
1974-05-17,3.91,,
1974-05-20,3.94,,
1974-05-21,3.91,,
1974-05-22,3.88,,
1974-05-23,3.81,,
1974-05-24,3.81,,
1974-05-28,3.81,,
1974-05-29,3.77,,
1974-05-30,3.72,,
1974-05-31,3.73,,
1974-06-03,3.8,,
1974-06-04,3.91,,
1974-06-05,4.06,,
1974-06-06,4.06,,
1974-06-07,4.13,,
1974-06-10,4.17,,
1974-06-11,4.17,,
1974-06-12,4.13,,
1974-06-13,4.13,,
1974-06-14,4.0,,
1974-06-17,4.0,,
1974-06-18,3.91,,
1974-06-19,3.88,,
1974-06-20,3.78,,
1974-06-21,3.78,,
1974-06-24,3.83,,
1974-06-25,3.88,,
1974-06-26,3.84,,
1974-06-27,3.88,,
1974-06-28,3.94,,
1974-07-01,4.03,,
1974-07-02,3.94,,
1974-07-03,3.94,,
1974-07-05,3.84,,
1974-07-08,3.78,,
1974-07-09,3.83,,
1974-07-10,3.67,,
1974-07-11,3.72,,
1974-07-12,3.75,,
1974-07-15,3.78,,
1974-07-16,3.75,,
1974-07-17,3.77,,
1974-07-18,3.73,,
1974-07-19,3.75,,
1974-07-22,3.64,,
1974-07-23,3.53,,
1974-07-24,3.5,,
1974-07-25,3.58,,
1974-07-26,3.52,,
1974-07-29,3.34,,
1974-07-30,3.34,,
1974-07-31,3.19,,
1974-08-01,3.13,,
1974-08-02,3.22,,
1974-08-05,3.22,,
1974-08-06,3.17,,
1974-08-07,3.25,,
1974-08-08,3.38,,
1974-08-09,3.34,,
1974-08-12,3.31,,
1974-08-13,3.33,,
1974-08-14,3.27,,
1974-08-15,3.25,,
1974-08-16,3.23,,
1974-08-19,3.23,,
1974-08-20,3.28,,
1974-08-21,3.31,,
1974-08-22,3.27,,
1974-08-23,3.36,,
1974-08-26,3.34,,
1974-08-27,3.38,,
1974-08-28,3.38,,
1974-08-29,3.16,,
1974-08-30,3.47,,
1974-09-03,3.47,,
1974-09-04,3.33,,
1974-09-05,3.28,,
1974-09-06,3.41,,
1974-09-09,3.28,,
1974-09-10,3.22,,
1974-09-11,3.19,,
1974-09-12,3.03,,
1974-09-13,2.89,,
1974-09-16,2.94,,
1974-09-17,3.0,,
1974-09-18,2.98,,
1974-09-19,3.03,,
1974-09-20,2.95,,
1974-09-23,2.92,,
1974-09-24,2.8,,
1974-09-25,2.56,,
1974-09-26,2.52,,
1974-09-27,2.5,,
1974-09-30,2.48,,
1974-10-01,2.38,,
1974-10-02,2.38,,
1974-10-03,2.25,,
1974-10-04,2.25,,
1974-10-07,2.31,,
1974-10-08,2.3,,
1974-10-09,2.28,,
1974-10-10,2.3,,
1974-10-11,2.38,,
1974-10-14,2.72,,
1974-10-15,2.84,,
1974-10-16,2.73,,
1974-10-17,2.72,,
1974-10-18,2.81,,
1974-10-21,2.8,,
1974-10-22,2.81,,
1974-10-23,2.7,,
1974-10-24,2.5,,
1974-10-25,2.44,,
1974-10-28,2.34,,
1974-10-29,2.42,,
1974-10-30,2.38,,
1974-10-31,2.31,,
1974-11-01,2.23,,
1974-11-04,2.16,,
1974-11-05,2.23,,
1974-11-06,2.3,,
1974-11-07,2.23,,
1974-11-08,2.13,,
1974-11-11,2.03,,
1974-11-12,2.0,,
1974-11-13,2.0,,
1974-11-14,1.97,,
1974-11-15,1.97,,
1974-11-18,1.92,,
1974-11-19,1.84,,
1974-11-20,1.7,,
1974-11-21,1.75,,
1974-11-22,1.75,,
1974-11-25,1.69,,
1974-11-26,1.75,,
1974-11-27,1.89,,
1974-11-29,1.98,,
1974-12-02,1.97,,
1974-12-03,1.75,,
1974-12-04,1.7,,
1974-12-05,1.61,,
1974-12-06,1.47,,
1974-12-09,1.55,,
1974-12-10,1.66,,
1974-12-11,1.66,,
1974-12-12,1.56,,
1974-12-13,1.66,,
1974-12-16,1.63,,
1974-12-17,1.66,,
1974-12-18,1.63,,
1974-12-19,1.63,,
1974-12-20,1.61,,
1974-12-23,1.66,,
1974-12-24,1.69,,
1974-12-26,1.75,,
1974-12-27,1.72,,
1974-12-30,1.91,,
1974-12-31,2.03,,
1975-01-02,2.06,,
1975-01-03,2.06,,
1975-01-06,2.08,,
1975-01-07,2.06,,
1975-01-08,2.06,,
1975-01-09,1.97,,
1975-01-10,2.06,,
1975-01-13,2.02,,
1975-01-14,2.06,,
1975-01-15,2.06,,
1975-01-16,2.03,,
1975-01-17,2.0,,
1975-01-20,2.13,,
1975-01-21,2.16,,
1975-01-22,2.38,,
1975-01-23,2.27,,
1975-01-24,2.19,,
1975-01-27,2.34,,
1975-01-28,2.19,,
1975-01-29,2.2,,
1975-01-30,2.23,,
1975-01-31,2.25,,
1975-02-03,2.25,,
1975-02-04,2.23,,
1975-02-05,2.23,,
1975-02-06,2.22,,
1975-02-07,2.22,,
1975-02-10,2.31,,
1975-02-11,2.28,,
1975-02-12,2.31,,
1975-02-13,2.36,,
1975-02-14,2.3,,
1975-02-18,2.3,,
1975-02-19,2.27,,
1975-02-20,2.28,,
1975-02-21,2.16,,
1975-02-24,2.19,,
1975-02-25,2.08,,
1975-02-26,2.09,,
1975-02-27,2.14,,
1975-02-28,2.13,,
1975-03-03,2.08,,
1975-03-04,2.14,,
1975-03-05,2.11,,
1975-03-06,2.11,,
1975-03-07,2.17,,
1975-03-10,2.23,,
1975-03-11,2.22,,
1975-03-12,2.2,,
1975-03-13,2.19,,
1975-03-14,2.36,,
1975-03-17,2.55,,
1975-03-18,2.55,,
1975-03-19,2.52,,
1975-03-20,2.52,,
1975-03-21,2.61,,
1975-03-24,2.5,,
1975-03-25,2.53,,
1975-03-26,2.56,,
1975-03-27,2.63,,
1975-03-31,2.7,,
1975-04-01,2.5,,
1975-04-02,2.47,,
1975-04-03,2.45,,
1975-04-04,2.44,,
1975-04-07,2.44,,
1975-04-08,2.47,,
1975-04-09,2.5,,
1975-04-10,2.61,,
1975-04-11,2.61,,
1975-04-14,2.69,,
1975-04-15,2.8,,
1975-04-16,2.75,,
1975-04-17,2.73,,
1975-04-18,2.86,,
1975-04-21,2.84,,
1975-04-22,2.8,,
1975-04-23,2.77,,
1975-04-24,2.72,,
1975-04-25,2.73,,
1975-04-28,2.78,,
1975-04-29,2.77,,
1975-04-30,2.88,,
1975-05-01,2.88,,
1975-05-02,2.81,,
1975-05-05,2.78,,
1975-05-06,2.75,,
1975-05-07,2.86,,
1975-05-08,2.94,,
1975-05-09,2.94,,
1975-05-12,2.97,,
1975-05-13,2.97,,
1975-05-14,2.94,,
1975-05-15,2.95,,
1975-05-16,2.89,,
1975-05-19,3.13,,
1975-05-20,3.13,,
1975-05-21,3.16,,
1975-05-22,3.14,,
1975-05-23,3.11,,
1975-05-27,3.13,,
1975-05-28,3.02,,
1975-05-29,3.02,,
1975-05-30,3.0,,
1975-06-02,2.97,,
1975-06-03,2.84,,
1975-06-04,2.84,,
1975-06-05,2.73,,
1975-06-06,2.59,,
1975-06-09,2.63,,
1975-06-10,2.67,,
1975-06-11,2.63,,
1975-06-12,2.59,,
1975-06-13,2.44,,
1975-06-16,2.42,,
1975-06-17,2.33,,
1975-06-18,2.33,,
1975-06-19,2.44,,
1975-06-20,2.55,,
1975-06-23,2.63,,
1975-06-24,2.5,,
1975-06-25,2.56,,
1975-06-26,2.72,,
1975-06-27,2.7,,
1975-06-30,2.83,,
1975-07-01,2.81,,
1975-07-02,2.78,,
1975-07-03,2.8,,
1975-07-07,2.8,,
1975-07-08,2.77,,
1975-07-09,2.8,,
1975-07-10,2.83,,
1975-07-11,2.78,,
1975-07-14,2.75,,
1975-07-15,2.75,,
1975-07-16,2.72,,
1975-07-17,2.73,,
1975-07-18,2.73,,
1975-07-21,2.72,,
1975-07-22,2.66,,
1975-07-23,2.67,,
1975-07-24,2.59,,
1975-07-25,2.55,,
1975-07-28,2.45,,
1975-07-29,2.38,,
1975-07-30,2.42,,
1975-07-31,2.55,,
1975-08-01,2.47,,
1975-08-04,2.47,,
1975-08-05,2.47,,
1975-08-06,2.45,,
1975-08-07,2.41,,
1975-08-08,2.41,,
1975-08-11,2.42,,
1975-08-12,2.42,,
1975-08-13,2.41,,
1975-08-14,2.42,,
1975-08-15,2.44,,
1975-08-18,2.39,,
1975-08-19,2.38,,
1975-08-20,2.41,,
1975-08-21,2.48,,
1975-08-22,2.48,,
1975-08-25,2.53,,
1975-08-26,2.56,,
1975-08-27,2.61,,
1975-08-28,2.64,,
1975-08-29,2.66,,
1975-09-02,2.63,,
1975-09-03,2.59,,
1975-09-04,2.63,,
1975-09-05,2.59,,
1975-09-08,2.59,,
1975-09-09,2.59,,
1975-09-10,2.55,,
1975-09-11,2.38,,
1975-09-12,2.39,,
1975-09-15,2.39,,
1975-09-16,2.36,,
1975-09-17,2.34,,
1975-09-18,2.36,,
1975-09-19,2.5,,
1975-09-22,2.55,,
1975-09-23,2.55,,
1975-09-24,2.55,,
1975-09-25,2.38,,
1975-09-26,2.38,,
1975-09-29,2.39,,
1975-09-30,2.42,,
1975-10-01,2.31,,
1975-10-02,2.36,,
1975-10-03,2.42,,
1975-10-06,2.44,,
1975-10-07,2.38,,
1975-10-08,2.39,,
1975-10-09,2.38,,
1975-10-10,2.45,,
1975-10-13,2.39,,
1975-10-14,2.44,,
1975-10-15,2.39,,
1975-10-16,2.38,,
1975-10-17,2.41,,
1975-10-20,2.39,,
1975-10-21,2.45,,
1975-10-22,2.42,,
1975-10-23,2.38,,
1975-10-24,2.38,,
1975-10-27,2.38,,
1975-10-28,2.41,,
1975-10-29,2.25,,
1975-10-30,2.16,,
1975-10-31,2.11,,
1975-11-03,2.09,,
1975-11-04,2.13,,
1975-11-05,2.13,,
1975-11-06,2.28,,
1975-11-07,2.27,,
1975-11-10,2.22,,
1975-11-11,2.22,,
1975-11-12,2.2,,
1975-11-13,2.17,,
1975-11-14,2.19,,
1975-11-17,2.19,,
1975-11-18,2.22,,
1975-11-19,2.2,,
1975-11-20,2.2,,
1975-11-21,2.16,,
1975-11-24,2.16,,
1975-11-25,2.13,,
1975-11-26,2.19,,
1975-11-28,2.22,,
1975-12-01,2.17,,
1975-12-02,2.23,,
1975-12-03,2.2,,
1975-12-04,2.19,,
1975-12-05,2.19,,
1975-12-08,2.14,,
1975-12-09,2.17,,
1975-12-10,2.08,,
1975-12-11,2.11,,
1975-12-12,2.13,,
1975-12-15,2.11,,
1975-12-16,2.19,,
1975-12-17,2.2,,
1975-12-18,2.2,,
1975-12-19,2.22,,
1975-12-22,2.2,,
1975-12-23,2.2,,
1975-12-24,2.23,,
1975-12-26,2.23,,
1975-12-29,2.31,,
1975-12-30,2.36,,
1975-12-31,2.44,,
1976-01-02,2.48,,
1976-01-05,2.56,,
1976-01-06,2.66,,
1976-01-07,2.7,,
1976-01-08,2.69,,
1976-01-09,2.69,,
1976-01-12,2.7,,
1976-01-13,2.69,,
1976-01-14,2.73,,
1976-01-15,2.66,,
1976-01-16,2.69,,
1976-01-19,2.56,,
1976-01-20,2.59,,
1976-01-21,2.66,,
1976-01-22,2.75,,
1976-01-23,2.88,,
1976-01-26,2.94,,
1976-01-27,3.03,,
1976-01-28,2.91,,
1976-01-29,3.0,,
1976-01-30,3.02,,
1976-02-02,3.02,,
1976-02-03,3.02,,
1976-02-04,2.94,,
1976-02-05,2.92,,
1976-02-06,2.91,,
1976-02-09,2.94,,
1976-02-10,2.98,,
1976-02-11,3.02,,
1976-02-12,3.11,,
1976-02-13,3.14,,
1976-02-17,3.13,,
1976-02-18,2.94,,
1976-02-19,3.31,,
1976-02-20,3.39,,
1976-02-23,3.47,,
1976-02-24,3.59,,
1976-02-25,3.75,,
1976-02-26,3.73,,
1976-02-27,3.84,,
1976-03-01,4.0,,
1976-03-02,4.13,,
1976-03-03,4.14,,
1976-03-04,3.98,,
1976-03-05,4.11,,
1976-03-08,4.08,,
1976-03-09,4.17,,
1976-03-10,4.09,,
1976-03-11,3.88,,
1976-03-12,3.86,,
1976-03-15,3.75,,
1976-03-16,3.89,,
1976-03-17,3.83,,
1976-03-18,3.88,,
1976-03-19,3.86,,
1976-03-22,3.8,,
1976-03-23,3.75,,
1976-03-24,3.77,,
1976-03-25,3.88,,
1976-03-26,3.94,,
1976-03-29,3.88,,
1976-03-30,3.92,,
1976-03-31,3.98,,
1976-04-01,4.0,,
1976-04-02,4.0,,
1976-04-05,4.05,,
1976-04-06,3.97,,
1976-04-07,3.95,,
1976-04-08,3.95,,
1976-04-09,3.91,,
1976-04-12,3.98,,
1976-04-13,3.88,,
1976-04-14,3.89,,
1976-04-15,3.94,,
1976-04-19,3.98,,
1976-04-20,3.98,,
1976-04-21,4.0,,
1976-04-22,3.94,,
1976-04-23,3.86,,
1976-04-26,3.88,,
1976-04-27,3.81,,
1976-04-28,3.88,,
1976-04-29,4.03,,
1976-04-30,4.13,,
1976-05-03,4.03,,
1976-05-04,4.06,,
1976-05-05,4.13,,
1976-05-06,4.48,,
1976-05-07,4.75,,
1976-05-10,4.72,,
1976-05-11,4.75,,
1976-05-12,4.72,,
1976-05-13,4.69,,
1976-05-14,4.53,,
1976-05-17,4.52,,
1976-05-18,4.52,,
1976-05-19,4.45,,
1976-05-20,4.39,,
1976-05-21,4.38,,
1976-05-24,4.36,,
1976-05-25,4.33,,
1976-05-26,4.34,,
1976-05-27,4.36,,
1976-05-28,4.5,,
1976-06-01,4.52,,
1976-06-02,4.52,,
1976-06-03,4.64,,
1976-06-04,4.39,,
1976-06-07,4.38,,
1976-06-08,4.53,,
1976-06-09,4.5,,
1976-06-10,4.5,,
1976-06-11,4.55,,
1976-06-14,4.66,,
1976-06-15,4.63,,
1976-06-16,4.67,,
1976-06-17,4.78,,
1976-06-18,4.84,,
1976-06-21,4.86,,
1976-06-22,4.92,,
1976-06-23,4.88,,
1976-06-24,4.88,,
1976-06-25,4.88,,
1976-06-28,4.84,,
1976-06-29,4.86,,
1976-06-30,4.92,,
1976-07-01,4.81,,
1976-07-02,4.86,,
1976-07-06,4.89,,
1976-07-07,4.81,,
1976-07-08,4.83,,
1976-07-09,4.94,,
1976-07-12,5.05,,
1976-07-13,5.06,,
1976-07-14,5.03,,
1976-07-15,5.0,,
1976-07-16,4.92,,
1976-07-19,4.81,,
1976-07-20,4.77,,
1976-07-21,4.78,,
1976-07-22,4.75,,
1976-07-23,4.81,,
1976-07-26,4.78,,
1976-07-27,4.98,,
1976-07-28,4.94,,
1976-07-29,4.98,,
1976-07-30,4.95,,
1976-08-02,5.09,,
1976-08-03,5.19,,
1976-08-04,5.13,,
1976-08-05,5.13,,
1976-08-06,5.17,,
1976-08-09,5.17,,
1976-08-10,5.17,,
1976-08-11,5.09,,
1976-08-12,5.03,,
1976-08-13,4.97,,
1976-08-16,4.98,,
1976-08-17,5.03,,
1976-08-18,5.03,,
1976-08-19,4.94,,
1976-08-20,4.88,,
1976-08-23,4.78,,
1976-08-24,4.88,,
1976-08-25,4.88,,
1976-08-26,4.81,,
1976-08-27,4.78,,
1976-08-30,4.91,,
1976-08-31,5.11,,
1976-09-01,5.13,,
1976-09-02,5.09,,
1976-09-03,5.09,,
1976-09-07,5.2,,
1976-09-08,5.27,,
1976-09-09,5.27,,
1976-09-10,5.23,,
1976-09-13,5.23,,
1976-09-14,5.22,,
1976-09-15,5.2,,
1976-09-16,5.14,,
1976-09-17,5.25,,
1976-09-20,5.44,,
1976-09-21,5.78,,
1976-09-22,5.81,,
1976-09-23,5.77,,
1976-09-24,5.63,,
1976-09-27,5.75,,
1976-09-28,5.59,,
1976-09-29,5.66,,
1976-09-30,5.69,,
1976-10-01,5.56,,
1976-10-04,5.58,,
1976-10-05,5.47,,
1976-10-06,5.28,,
1976-10-07,5.36,,
1976-10-08,5.28,,
1976-10-11,5.2,,
1976-10-12,5.2,,
1976-10-13,5.22,,
1976-10-14,5.16,,
1976-10-15,5.05,,
1976-10-18,5.09,,
1976-10-19,5.06,,
1976-10-20,5.08,,
1976-10-21,5.06,,
1976-10-22,5.06,,
1976-10-25,5.23,,
1976-10-26,5.25,,
1976-10-27,5.19,,
1976-10-28,5.17,,
1976-10-29,5.17,,
1976-11-01,5.16,,
1976-11-03,5.09,,
1976-11-04,5.17,,
1976-11-05,5.08,,
1976-11-08,5.02,,
1976-11-09,5.09,,
1976-11-10,5.09,,
1976-11-11,5.16,,
1976-11-12,5.09,,
1976-11-15,5.16,,
1976-11-16,5.22,,
1976-11-17,5.25,,
1976-11-18,5.3,,
1976-11-19,5.34,,
1976-11-22,5.34,,
1976-11-23,5.38,,
1976-11-24,5.41,,
1976-11-26,5.53,,
1976-11-29,5.48,,
1976-11-30,5.42,,
1976-12-01,5.48,,
1976-12-02,5.5,,
1976-12-03,5.53,,
1976-12-06,5.67,,
1976-12-07,5.75,,
1976-12-08,5.72,,
1976-12-09,5.69,,
1976-12-10,5.78,,
1976-12-13,5.72,,
1976-12-14,5.67,,
1976-12-15,5.56,,
1976-12-16,5.52,,
1976-12-17,5.56,,
1976-12-20,5.5,,
1976-12-21,5.53,,
1976-12-22,5.56,,
1976-12-23,5.64,,
1976-12-27,5.78,,
1976-12-28,5.86,,
1976-12-29,5.89,,
1976-12-30,6.08,,
1976-12-31,6.06,,
1977-01-03,6.03,,
1977-01-04,5.94,,
1977-01-05,5.98,,
1977-01-06,5.98,,
1977-01-07,5.94,,
1977-01-10,6.19,,
1977-01-11,6.16,,
1977-01-12,5.97,,
1977-01-13,6.03,,
1977-01-14,5.98,,
1977-01-17,5.94,,
1977-01-18,5.91,,
1977-01-19,6.11,,
1977-01-20,6.13,,
1977-01-21,6.09,,
1977-01-24,6.17,,
1977-01-25,6.2,,
1977-01-26,6.11,,
1977-01-27,5.95,,
1977-01-28,5.92,,
1977-01-31,5.72,,
1977-02-01,5.75,,
1977-02-02,5.78,,
1977-02-03,5.84,,
1977-02-04,5.94,,
1977-02-07,6.13,,
1977-02-08,6.08,,
1977-02-09,6.02,,
1977-02-10,6.14,,
1977-02-11,6.05,,
1977-02-14,6.06,,
1977-02-15,6.2,,
1977-02-16,6.19,,
1977-02-17,6.06,,
1977-02-18,6.05,,
1977-02-22,6.02,,
1977-02-23,5.92,,
1977-02-24,5.84,,
1977-02-25,5.88,,
1977-02-28,5.89,,
1977-03-01,5.92,,
1977-03-02,5.95,,
1977-03-03,5.88,,
1977-03-04,6.0,,
1977-03-07,6.05,,
1977-03-08,6.06,,
1977-03-09,6.0,,
1977-03-10,5.94,,
1977-03-11,6.02,,
1977-03-14,6.19,,
1977-03-15,6.42,,
1977-03-16,6.47,,
1977-03-17,6.25,,
1977-03-18,6.13,,
1977-03-21,6.2,,
1977-03-22,6.2,,
1977-03-23,6.2,,
1977-03-24,6.14,,
1977-03-25,6.23,,
1977-03-28,6.22,,
1977-03-29,6.25,,
1977-03-30,6.06,,
1977-03-31,6.03,,
1977-04-01,6.06,,
1977-04-04,6.03,,
1977-04-05,5.94,,
1977-04-06,5.94,,
1977-04-07,6.0,,
1977-04-11,6.13,,
1977-04-12,6.3,,
1977-04-13,6.25,,
1977-04-14,6.38,,
1977-04-15,6.48,,
1977-04-18,6.44,,
1977-04-19,6.55,,
1977-04-20,6.7,,
1977-04-21,6.63,,
1977-04-22,6.59,,
1977-04-25,6.45,,
1977-04-26,6.55,,
1977-04-27,6.56,,
1977-04-28,6.56,,
1977-04-29,6.5,,
1977-05-02,6.73,,
1977-05-03,6.73,,
1977-05-04,6.88,,
1977-05-05,7.0,,
1977-05-06,7.03,,
1977-05-09,7.0,,
1977-05-10,6.98,,
1977-05-11,6.88,,
1977-05-12,6.94,,
1977-05-13,6.95,,
1977-05-16,7.0,,
1977-05-17,6.95,,
1977-05-18,6.97,,
1977-05-19,6.98,,
